date, value
2000-01-01,6.58
2000-02-01,6.62
2000-03-01,6.39
2000-04-01,6
2000-05-01,6.29
2000-06-01,6.2
2000-07-01,6
2000-08-01,6
2000-09-01,5.68
2000-10-02,5.83
2000-11-01,5.74
2000-12-01,5.52
2001-01-02,4.92
2001-02-01,5.1
2001-03-01,4.87
2001-04-02,4.98
2001-05-01,5.3
2001-06-01,5.39
2001-07-02,5.37
2001-08-01,5.11
2001-09-04,4.99
2001-10-01,4.55
2001-11-01,4.24
2001-12-03,4.75
2002-01-02,5.2
2002-02-01,5.02
2002-03-01,4.98
2002-04-01,5.44
2002-05-01,5.08
2002-06-03,5.06
2002-07-01,4.85
2002-08-01,4.47
2002-09-03,3.98
2002-10-01,3.72
2002-11-01,4.01
2002-12-02,4.22
2003-01-02,4.07
2003-02-03,4.01
2003-03-03,3.68
2003-04-01,3.84
2003-05-01,3.88
2003-06-02,3.43
2003-07-01,3.56
2003-08-01,4.44
2003-09-02,4.61
2003-10-01,3.96
2003-11-03,4.4
2003-12-01,4.4
2004-01-02,4.38
2004-02-02,4.18
2004-03-01,4
2004-04-01,3.91
2004-05-03,4.53
2004-06-01,4.71
2004-07-01,4.57
2004-08-02,4.48
2004-09-01,4.13
2004-10-01,4.21
2004-11-01,4.11
2004-12-01,4.38
2005-01-03,4.23
2005-02-01,4.15
2005-03-01,4.38
2005-04-01,4.46
2005-05-02,4.21
2005-06-01,3.91
2005-07-01,4.06
2005-08-01,4.32
2005-09-01,4.02
2005-10-03,4.39
2005-11-01,4.58
2005-12-01,4.52
2006-01-03,4.37
2006-02-01,4.57
2006-03-01,4.59
2006-04-03,4.88
2006-05-01,5.14
2006-06-01,5.11
2006-07-03,5.15
2006-08-01,4.99
2006-09-01,4.73
2006-10-02,4.62
2006-11-01,4.57
2006-12-01,4.43
2007-01-02,4.68
2007-02-01,4.84
2007-03-01,4.56
2007-04-02,4.65
2007-05-01,4.64
2007-06-01,4.95
2007-07-02,5
2007-08-01,4.76
2007-09-04,4.56
2007-10-01,4.56
2007-11-01,4.36
2007-12-03,3.89
2008-01-02,3.91
2008-02-01,3.62
2008-03-03,3.54
2008-04-01,3.57
2008-05-01,3.78
2008-06-02,3.98
2008-07-01,4.01
2008-08-01,3.97
2008-09-02,3.74
2008-10-01,3.77
2008-11-03,3.96
2008-12-01,2.72
2009-01-02,2.46
2009-02-02,2.76
2009-03-02,2.91
2009-04-01,2.68
2009-05-01,3.21
2009-06-01,3.71
2009-07-01,3.55
2009-08-03,3.66
2009-09-01,3.38
2009-10-01,3.21
2009-11-02,3.45
2009-12-01,3.28
2010-01-04,3.85
2010-02-01,3.68
2010-03-01,3.61
2010-04-01,3.89
2010-05-03,3.72
2010-06-01,3.29
2010-07-01,2.96
2010-08-02,2.99
2010-09-01,2.58
2010-10-01,2.54
2010-11-01,2.66
2010-12-01,2.97
2011-01-03,3.36
2011-02-01,3.48
2011-03-01,3.41
2011-04-01,3.46
2011-05-02,3.31
2011-06-01,2.96
2011-07-01,3.22
2011-08-01,2.77
2011-09-01,2.15
2011-10-03,1.8
2011-11-01,2.01
2011-12-01,2.11
2012-01-03,1.97
2012-02-01,1.87
2012-03-01,2.03
2012-04-02,2.22
2012-05-01,1.98
2012-06-01,1.47
2012-07-02,1.61
2012-08-01,1.56
2012-09-04,1.59
2012-10-01,1.64
2012-11-01,1.75
2012-12-03,1.63
2013-01-02,1.86
2013-02-01,2.04
2013-03-01,1.86
2013-04-01,1.86
2013-05-01,1.66
2013-06-03,2.13
2013-07-01,2.5
2013-08-01,2.74
2013-09-03,2.86
2013-10-01,2.66
2013-11-01,2.65
2013-12-02,2.81
2014-01-02,3
2014-02-03,2.61
2014-03-03,2.6
2014-04-01,2.77
2014-05-01,2.63
2014-06-02,2.54
2014-07-01,2.58
2014-08-01,2.52
2014-09-02,2.42
2014-10-01,2.42
2014-11-03,2.36
2014-12-01,2.22
2015-01-02,2.12
2015-02-02,1.68
2015-03-02,2.08
2015-04-01,1.87
2015-05-01,2.12
2015-06-01,2.19
2015-07-01,2.43
2015-08-03,2.16
2015-09-01,2.17
2015-10-01,2.05
2015-11-02,2.2
2015-12-01,2.15
2016-01-04,2.24
2016-02-01,1.97
2016-03-01,1.83
2016-04-01,1.79
2016-05-02,1.88
2016-06-01,1.85
2016-07-01,1.46
2016-08-01,1.51
2016-09-01,1.5681
2016-10-03,1.6221
2016-11-01,1.8274
2016-12-01,2.4481
2017-01-02,2.4443
2017-02-01,2.4699
2017-03-01,2.4526
2017-04-03,2.3193
2017-05-01,2.318
2017-06-01,2.2114
2017-07-03,2.3499
2017-08-01,2.2532
2017-09-01,2.1657
2017-10-02,2.3408
2017-11-01,2.3721
2017-12-01,2.37
