Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",204.3,-0.98,-0.48%,205,202.12,18649100,04/26/19
ABBV,"Abbvie Inc",79.7,0.36,+0.45%,80.65,79.4,5789900,04/26/19
ABT,"Abbott Laboratories",78.56,0.45,+0.58%,78.57,77.53,4286500,04/26/19
ACN,"Accenture Plc",180.83,0.88,+0.49%,180.85,179.09,1010200,04/26/19
ADBE,"Adobe Systems Inc",281.96,4.3,+1.55%,282,275.79,2114200,04/26/19
AGN,"Allergan Plc",145.39,3.9,+2.76%,145.44,140.44,1460000,04/26/19
AIG,"American International Group",46.05,0.86,+1.90%,46.09,44.94,3070600,04/26/19
ALL,"Allstate Corp",97.41,0.94,+0.97%,97.53,96.37,1218500,04/26/19
AMGN,"Amgen Inc",181.47,0.99,+0.55%,181.85,180.03,2445400,04/26/19
AMZN,"Amazon.com Inc",1950.63,48.38,+2.54%,1951,1898,8432500,04/26/19
AXP,"American Express Company",117.6,1.72,+1.48%,117.73,116.1,2990600,04/26/19
BA,"Boeing Company",380.79,-2.01,-0.53%,384,378.14,4259600,04/26/19
BAC,"Bank of America Corp",30.35,0.27,+0.90%,30.39,30.05,40627500,04/26/19
BIIB,"Biogen Inc",230.53,0.64,+0.28%,231.44,226.69,1660700,04/26/19
BK,"Bank of New York Mellon Corp",48.43,-0.12,-0.25%,48.46,47.51,5431400,04/26/19
BKNG,"Booking Holdings Inc",1868,1.74,+0.09%,1883.5,1850.01,541000,04/26/19
BLK,Blackrock,478.98,4.53,+0.95%,479.46,471.85,469000,04/26/19
BMY,"Bristol-Myers Squibb Company",45.89,0.25,+0.55%,46.15,45.26,13671801,04/26/19
BRK.B,"Berkshire Hath Hld Cl B",214.22,2.27,+1.07%,214.22,211.81,3155300,04/26/19
C,"Citigroup Inc",69.51,0.78,+1.13%,69.58,68.51,10692601,04/26/19
CAT,"Caterpillar Inc",139.03,2.9,+2.13%,139.03,135.89,5119300,04/26/19
CELG,"Celgene Corp",94.22,0.3,+0.32%,94.4,93.65,3673600,04/26/19
CHTR,"Charter Communicatio",370.15,3.39,+0.92%,370.33,364.69,782300,04/26/19
