date, value
12/1/1928,37.88
12/1/1929,-11.91
12/1/1930,-28.48
12/1/1931,-47.07
12/1/1932,-15.15
12/1/1933,46.59
12/1/1934,-5.94
12/1/1935,41.37
12/1/1936,27.92
12/1/1937,-38.59
12/1/1938,25.21
12/1/1939,-5.45
12/1/1940,-15.29
12/1/1941,-17.86
12/1/1942,12.43
12/1/1943,19.45
12/1/1944,13.8
12/1/1945,30.72
12/1/1946,-11.87
12/1/1947,0
12/1/1948,-0.65
12/1/1949,10.26
12/1/1950,21.78
12/1/1951,16.46
12/1/1952,11.78
12/1/1953,-6.62
12/1/1954,45.02
12/1/1955,26.4
12/1/1956,2.62
12/1/1957,-14.31
12/1/1958,38.06
12/1/1959,8.48
12/1/1960,-2.97
12/1/1961,23.13
12/1/1962,-11.81
12/1/1963,18.89
12/1/1964,12.97
12/1/1965,9.06
12/1/1966,-13.09
12/1/1967,20.09
12/1/1968,7.66
12/1/1969,-11.36
12/1/1970,0.1
12/1/1971,10.79
12/1/1972,15.63
12/1/1973,-17.37
12/1/1974,-29.72
12/1/1975,31.55
12/1/1976,19.15
12/1/1977,-11.5
12/1/1978,1.06
12/1/1979,12.31
12/1/1980,25.77
12/1/1981,-9.73
12/1/1982,14.76
12/1/1983,17.27
12/1/1984,1.4
12/1/1985,26.33
12/1/1986,14.62
12/1/1987,2.03
12/1/1988,12.4
12/1/1989,27.25
12/1/1990,-6.56
12/1/1991,26.31
12/1/1992,4.46
12/1/1993,7.06
12/1/1994,-1.54
12/1/1995,34.11
12/1/1996,20.26
12/1/1997,31.01
12/1/1998,26.67
12/1/1999,19.53
12/1/2000,-10.14
12/1/2001,-13.04
12/1/2002,-23.37
12/1/2003,26.38
12/1/2004,8.99
12/1/2005,3
12/1/2006,13.62
12/1/2007,3.53
12/1/2008,-38.49
12/1/2009,23.45
12/1/2010,12.78
12/1/2011,0
12/1/2012,13.41
12/1/2013,29.6
12/1/2014,11.39
12/1/2015,-0.73
12/1/2016,9.54
12/1/2017,19.42
12/1/2018,-6.24
4/1/2019,16.73
