Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,10.884354,12.188209,10.487529,10.657597,7.167696,30474700
2000-02-01,10.657597,11.054421,9.126985,9.126985,6.138293,25706200
2000-03-01,9.013605,9.863946,7.993197,9.353742,6.319791,41542200
2000-04-01,9.580499,10.260771,8.616780,9.013605,6.089979,29956500
2000-05-01,9.183674,11.054421,8.956916,10.827664,7.315638,35246800
2000-06-01,10.884354,11.337869,8.843537,8.900227,6.045656,34134400
2000-07-01,8.843537,9.750566,8.446712,8.503402,5.776104,30612600
2000-08-01,8.616780,9.183674,8.095238,8.407714,5.711107,44180100
2000-09-01,8.392858,8.690476,7.797619,8.214286,5.611201,54499900
2000-10-01,8.392858,10.476191,8.214286,10.476191,7.156315,42616200
2000-11-01,10.416667,12.261905,10.238095,12.142858,8.294820,32002700
2000-12-01,12.142858,14.464286,11.607142,14.285714,9.805659,35694200
2001-01-01,14.285714,14.285714,12.738095,14.219048,9.759904,42095500
2001-02-01,14.171429,15.228572,13.761905,14.333333,9.872998,36588300
2001-03-01,14.428572,14.771428,11.952381,12.523809,8.626581,32716000
2001-04-01,12.514286,12.704762,10.238095,11.342857,7.813122,42602400
2001-05-01,11.438095,12.904762,10.923809,12.857142,8.856179,37737000
2001-06-01,12.714286,13.523809,12.380953,12.428572,8.595672,30969800
2001-07-01,12.666667,13.504762,12.323810,12.752381,8.819621,29534900
2001-08-01,12.714286,14.100000,12.380953,13.430000,9.288269,32176200
2001-09-01,13.650000,14.060000,11.600000,12.590000,8.742076,23129300
2001-10-01,12.350000,14.150000,11.800000,13.930000,9.672528,37037000
2001-11-01,13.730000,15.640000,13.730000,15.390000,10.686301,32108900
2001-12-01,15.240000,15.800000,14.160000,14.350000,9.997660,30206300
2002-01-01,14.220000,14.380000,13.120000,13.940000,9.712018,32616600
2002-02-01,13.940000,14.230000,12.950000,13.850000,9.649311,21495200
2002-03-01,13.900000,14.850000,13.300000,13.930000,9.741347,27067300
2002-04-01,13.930000,14.560000,12.990000,13.270000,9.279801,27512200
2002-05-01,13.350000,14.630000,13.200000,14.550000,10.174913,30202700
2002-06-01,14.550000,14.670000,12.470000,12.790000,8.977259,33746900
2002-07-01,12.600000,12.790000,10.000000,11.700000,8.212189,40969700
2002-08-01,11.600000,12.590000,10.920000,12.190000,8.556122,32927000
2002-09-01,11.950000,12.890000,11.850000,12.510000,8.824816,28091000
2002-10-01,12.540000,13.720000,11.950000,13.620000,9.607837,34669800
2002-11-01,13.670000,14.450000,13.160000,13.330000,9.403265,30106900
2002-12-01,13.330000,13.330000,12.120000,12.400000,8.785560,28710400
2003-01-01,12.500000,12.940000,11.780000,12.050000,8.537577,26032300
2003-02-01,12.030000,12.330000,10.510000,10.900000,7.722790,26944700
2003-03-01,11.350000,11.370000,10.500000,10.800000,7.690100,35543900
2003-04-01,10.840000,11.810000,10.680000,11.080000,7.889479,31766200
2003-05-01,11.130000,12.050000,10.770000,11.970000,8.523197,39238300
2003-06-01,12.200000,13.170000,12.030000,12.870000,9.214808,32781900
2003-07-01,12.820000,13.340000,11.950000,13.140000,9.408124,35624100
2003-08-01,13.140000,13.950000,12.780000,13.870000,9.930801,25810000
2003-09-01,13.870000,14.140000,12.850000,13.110000,9.428212,37037500
2003-10-01,13.150000,14.940000,13.110000,14.350000,10.319969,26814400
2003-11-01,14.350000,14.650000,14.050000,14.290000,10.276823,34181800
2003-12-01,14.300000,15.240000,14.050000,15.220000,10.991763,42768200
2004-01-01,15.230000,16.360001,14.900000,15.660000,11.309522,71075700
2004-02-01,15.980000,17.830000,15.750000,17.200001,12.421702,75532400
2004-03-01,17.250000,17.520000,16.070000,16.870001,12.237848,57214600
2004-04-01,16.790001,17.950001,16.540001,17.559999,12.738385,44971800
2004-05-01,17.670000,17.900000,15.820000,16.629999,12.063743,46354600
2004-06-01,16.629999,17.129999,16.049999,16.780001,12.226758,53383700
2004-07-01,16.730000,17.000000,14.950000,15.430000,11.243080,44953500
2004-08-01,15.520000,16.180000,15.420000,15.970000,11.636552,38196100
2004-09-01,15.980000,17.000000,15.850000,16.980000,12.430862,32571900
2004-10-01,17.000000,19.580000,16.719999,19.370001,14.180556,49675200
2004-11-01,19.170000,21.350000,18.629999,21.200001,15.520276,69793800
2004-12-01,21.250000,22.549999,20.850000,22.309999,16.392582,46377800
2005-01-01,22.469999,24.290001,21.350000,24.200001,17.781279,55773100
2005-02-01,24.230000,25.180000,21.430000,24.100000,17.707806,58145000
2005-03-01,24.049999,25.370001,23.700001,24.580000,18.123116,65333500
2005-04-01,24.719999,25.299999,17.500000,17.990000,13.264237,110106900
2005-05-01,18.030001,20.120001,18.000000,19.850000,14.635631,84947900
2005-06-01,19.900000,21.780001,19.850000,21.379999,15.832624,55816600
2005-07-01,21.530001,23.900000,20.440001,22.940001,16.987864,49953000
2005-08-01,22.799999,22.809999,19.750000,22.510000,16.669432,66377000
2005-09-01,22.590000,24.750000,21.600000,24.660000,18.337023,68790100
2005-10-01,24.660000,25.340000,23.000000,24.370001,18.121378,66633200
2005-11-01,24.600000,25.010000,23.540001,23.570000,17.526503,45385200
2005-12-01,23.590000,25.549999,23.370001,24.660000,18.402393,48621900
2006-01-01,24.750000,32.220001,24.049999,31.500000,23.506699,97036000
2006-02-01,30.610001,32.070000,29.500000,31.719999,23.670864,89814300
2006-03-01,31.719999,35.500000,30.750000,33.650002,25.192661,90947100
2006-04-01,34.750000,39.009998,34.599998,36.340000,27.206560,86939500
2006-05-01,36.849998,46.709999,36.849998,41.570000,31.122116,216657000
2006-06-01,42.220001,43.740002,37.450001,41.279999,30.975178,108431500
2006-07-01,41.700001,44.500000,39.119999,44.000000,33.016178,75794800
2006-08-01,44.500000,45.049999,39.689999,41.169998,30.892635,83507800
2006-09-01,41.419998,42.439999,36.439999,37.880001,28.493393,88849400
2006-10-01,37.880001,40.000000,35.770000,38.500000,28.959759,91500300
2006-11-01,38.369999,38.599998,32.169998,35.099998,26.402273,155266300
2006-12-01,35.230000,35.230000,31.200001,31.959999,24.107376,127115100
2007-01-01,32.279999,33.000000,30.200001,32.000000,24.137552,139730300
2007-02-01,34.310001,36.549999,32.990002,34.349998,25.910154,215155800
2007-03-01,33.730000,37.840000,32.830002,36.700001,27.774143,164761800
2007-04-01,36.669998,39.650002,36.529999,38.700001,29.287722,115721600
2007-05-01,36.980000,37.360001,34.860001,35.040001,26.517878,161809500
2007-06-01,35.049999,35.189999,32.049999,33.090000,25.122976,149447200
2007-07-01,33.840000,37.020000,33.580002,33.599998,25.510189,131722300
2007-08-01,33.939999,35.939999,31.280001,33.700001,25.586096,125526700
2007-09-01,33.869999,33.990002,32.049999,33.080002,25.199547,104647100
2007-10-01,33.080002,35.889999,32.430000,35.779999,27.256348,129231000
2007-11-01,35.500000,38.540001,34.200001,36.349998,27.690561,137515800
2007-12-01,36.599998,47.330002,35.799999,46.430000,35.481392,125245000
2008-01-01,46.380001,46.790001,38.110001,43.980000,33.609123,177283800
2008-02-01,44.240002,46.950001,40.200001,45.099998,34.465015,113996200
2008-03-01,45.000000,47.180000,39.990002,41.160000,31.547390,115570000
2008-04-01,41.060001,48.950001,40.680000,44.060001,33.770123,106285000
2008-05-01,44.080002,45.000000,39.070000,39.700001,30.428371,152301400
2008-06-01,39.720001,40.279999,31.650000,33.750000,25.945881,222270800
2008-07-01,33.299999,33.910000,27.139999,28.629999,22.009794,161840900
2008-08-01,28.799999,28.830000,24.400000,25.459999,19.572798,147977800
2008-09-01,25.520000,25.540001,19.700001,21.910000,16.930094,198288800
2008-10-01,21.750000,22.870001,13.530000,20.730000,16.018295,248743500
2008-11-01,21.000000,27.889999,20.000000,27.379999,21.156826,202723800
2008-12-01,26.280001,29.080000,23.430000,28.830000,22.390823,138962300
2009-01-01,28.930000,29.500000,24.080000,27.379999,21.264679,187663400
2009-02-01,26.700001,29.260000,24.990000,26.660000,20.705494,176077600
2009-03-01,26.309999,29.469999,24.959999,27.780001,21.681625,140946700
2009-04-01,27.350000,29.209999,23.129999,24.620001,19.215317,128608000
2009-05-01,24.660000,28.100000,23.379999,27.520000,21.478699,130792600
2009-06-01,27.870001,29.400000,25.770000,26.770000,21.011333,112852200
2009-07-01,26.980000,32.130001,26.000000,30.120001,23.640694,118260600
2009-08-01,30.660000,30.900000,27.030001,28.830000,22.628195,118452400
2009-09-01,28.670000,29.500000,27.049999,29.219999,23.053614,108378800
2009-10-01,29.049999,31.629999,27.660000,30.120001,23.763685,99247200
2009-11-01,30.150000,33.000000,30.030001,30.809999,24.308067,103353800
2009-12-01,31.250000,31.980000,29.910000,31.309999,24.811346,83181000
2010-01-01,31.480000,31.889999,29.520000,29.969999,23.749472,101222700
2010-02-01,30.070000,31.799999,29.080000,29.360001,23.266087,108641000
2010-03-01,29.490000,30.799999,28.059999,28.900000,23.017538,123461300
2010-04-01,28.969999,29.260000,27.850000,27.940001,22.252935,120631000
2010-05-01,28.230000,28.250000,24.219999,25.270000,20.126408,154511600
2010-06-01,25.049999,27.660000,24.420000,25.820000,20.678619,126560200
2010-07-01,26.030001,28.209999,25.020000,27.360001,21.911964,103594900
2010-08-01,27.639999,31.090000,27.580000,30.809999,24.674986,140744600
2010-09-01,31.250000,33.540001,31.160000,31.920000,25.692253,114512600
2010-10-01,31.889999,34.029999,31.360001,33.320000,26.819107,96335200
2010-11-01,33.430000,33.880001,28.530001,28.990000,23.333908,120453300
