Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,32.000000,34.437500,31.125000,33.500000,13.819576,8356200
2000-02-01,33.500000,34.937500,28.000000,28.125000,11.602257,10910900
2000-03-01,28.125000,31.125000,25.937500,29.812500,12.521408,11314500
2000-04-01,29.812500,38.500000,29.500000,36.625000,15.382690,10811400
2000-05-01,37.375000,37.375000,34.000000,35.562500,14.936439,11461400
2000-06-01,35.750000,35.937500,29.437500,29.625000,12.662071,15937800
2000-07-01,30.000000,34.500000,29.937500,32.812500,14.024444,14118500
2000-08-01,32.812500,36.187500,32.812500,35.140598,15.019501,16613000
2000-09-01,35.375000,40.000000,35.000000,39.140598,17.020409,21651500
2000-10-01,39.125000,42.375000,36.187500,41.500000,18.046402,20594600
2000-11-01,41.375000,46.250000,40.250000,46.000000,20.003239,24117900
2000-12-01,45.687500,48.937500,43.062500,46.500000,20.521435,24037400
2001-01-01,46.125000,46.625000,39.250000,43.250000,19.087141,25344500
2001-02-01,43.250000,48.099998,42.709999,47.540001,20.980415,16161800
2001-03-01,47.599998,47.990002,41.450001,47.000000,21.025528,20497100
2001-04-01,47.000000,50.400002,46.000000,49.340000,22.072332,19665400
2001-05-01,49.299999,51.200001,47.060001,50.200001,22.457052,19413800
2001-06-01,50.400002,50.400002,45.099998,46.169998,20.913481,18448500
2001-07-01,46.169998,48.599998,41.500000,45.000000,20.383512,22179200
2001-08-01,45.000000,46.900002,43.799999,45.770000,20.732302,17671200
2001-09-01,45.849998,48.900002,42.490002,43.230000,19.843130,14987000
2001-10-01,43.099998,46.950001,41.820000,41.900002,19.232647,20579300
2001-11-01,42.200001,44.840000,39.700001,41.250000,18.934290,29105900
2001-12-01,41.400002,44.000000,40.700001,43.529999,20.256758,23557900
2002-01-01,43.299999,44.610001,40.310001,41.740002,19.423784,21166900
2002-02-01,41.799999,43.860001,39.700001,43.849998,20.405664,21695800
2002-03-01,43.849998,47.080002,43.669998,46.090000,21.763477,18326400
2002-04-01,46.090000,48.799999,45.310001,45.799999,21.626520,21849000
2002-05-01,45.840000,46.790001,41.849998,42.730000,20.176888,29703000
2002-06-01,42.830002,42.840000,39.000000,40.020000,19.145021,50704100
2002-07-01,40.000000,40.369999,22.740000,32.910000,15.743691,75790700
2002-08-01,33.000000,36.790001,30.549999,34.099998,16.312975,41439300
2002-09-01,33.250000,33.650002,25.559999,28.510000,13.897759,57624400
2002-10-01,28.670000,30.350000,15.100000,25.639999,12.498718,164394500
2002-11-01,25.650000,30.549999,24.450001,28.420000,13.853887,51555700
2002-12-01,28.219999,28.850000,25.170000,27.330000,13.613855,45451300
2003-01-01,27.580000,30.629999,23.110001,23.620001,11.765799,77685300
2003-02-01,23.620001,24.170000,19.010000,21.780001,10.849241,81895000
2003-03-01,21.950001,23.250000,21.200001,22.850000,11.691821,46879100
2003-04-01,23.100000,26.490000,22.559999,26.379999,13.498037,50141800
2003-05-01,26.250000,29.299999,25.080000,29.040001,14.859099,41314200
2003-06-01,29.480000,31.510000,29.180000,29.830000,15.473641,27824900
2003-07-01,29.830000,29.900000,26.580000,28.059999,14.555495,30246900
2003-08-01,28.000000,28.740000,27.080000,28.309999,14.685179,24351800
2003-09-01,28.250000,30.000000,28.020000,30.000000,15.761637,20838400
2003-10-01,30.000000,30.430000,28.180000,28.190001,14.810681,26678700
2003-11-01,28.299999,28.469999,26.690001,27.690001,14.547990,25121100
2003-12-01,27.700001,30.590000,27.549999,30.510000,16.233370,27990000
2004-01-01,30.510000,33.220001,30.290001,32.650002,17.371994,24590400
2004-02-01,32.419998,34.529999,32.349998,34.500000,18.356327,24876700
2004-03-01,34.500000,35.099998,32.599998,32.919998,17.702557,26935600
2004-04-01,33.580002,33.580002,29.920000,30.440001,16.368950,31380900
2004-05-01,30.420000,31.870001,28.500000,31.770000,17.084156,26287000
2004-06-01,31.780001,32.799999,30.870001,32.000000,17.404781,21841500
2004-07-01,31.879999,32.160000,30.270000,31.110001,16.920713,20356000
2004-08-01,31.129999,32.730000,31.030001,32.730000,17.801826,21641300
2004-09-01,32.669998,33.209999,31.670000,31.959999,17.575319,20757800
2004-10-01,31.969999,33.299999,31.250000,32.930000,18.108732,25401700
2004-11-01,33.009998,35.529999,32.349998,34.169998,18.790636,27170700
2004-12-01,34.169998,35.259998,33.599998,34.340000,19.078465,30043100
2005-01-01,34.209999,35.500000,33.200001,35.250000,19.584030,32559900
2005-02-01,35.330002,35.869999,32.250000,33.400002,18.556210,29670700
2005-03-01,33.400002,34.779999,32.410000,34.060001,19.112288,38080200
2005-04-01,34.380001,35.549999,33.790001,35.220001,19.763203,33869700
2005-05-01,35.230000,35.849998,34.090000,35.689999,20.026941,30253200
2005-06-01,35.709999,37.000000,35.330002,36.869999,20.894970,25822000
2005-07-01,36.970001,39.340000,36.340000,38.700001,21.932066,29758200
2005-08-01,38.660000,39.169998,36.369999,37.180000,21.070646,37105400
2005-09-01,37.270000,39.840000,37.080002,39.700001,22.706993,47037700
2005-10-01,39.759998,40.799999,35.599998,37.959999,21.711781,37899800
2005-11-01,37.959999,37.959999,35.570000,36.540001,20.899591,35831500
2005-12-01,36.660000,37.959999,36.160000,37.090000,21.428457,28765000
2006-01-01,37.270000,38.480000,36.650002,37.320000,21.561329,27627300
2006-02-01,37.320000,37.349998,35.480000,36.500000,21.087591,27047800
2006-03-01,36.650002,36.650002,33.959999,34.020000,19.858835,36951500
2006-04-01,34.020000,34.700001,32.560001,33.459999,19.531942,39836600
2006-05-01,33.490002,34.459999,32.270000,34.270000,20.004770,57503700
2006-06-01,34.400002,35.189999,33.509998,34.250000,20.213652,41928100
2006-07-01,34.250000,36.480000,34.099998,36.119999,21.317286,34268600
2006-08-01,36.119999,37.299999,35.840000,36.480000,21.529753,33204700
2006-09-01,36.650002,37.020000,35.639999,36.369999,21.684282,32784800
2006-10-01,36.549999,41.849998,36.490002,41.430000,24.701124,59014300
