Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,9.656250,9.656250,8.562500,9.031250,5.665884,1799000
2000-02-01,9.000000,9.000000,7.500000,7.531250,4.724840,2224400
2000-03-01,7.500000,10.562500,7.281250,10.375000,6.508910,4426000
2000-04-01,10.187500,11.000000,9.375000,10.468750,6.659287,3541400
2000-05-01,10.406250,11.843750,10.406250,11.000000,6.997223,3232800
2000-06-01,11.031250,11.500000,9.875000,9.875000,6.281597,3606400
2000-07-01,10.000000,12.375000,10.000000,12.343750,7.929098,3015000
2000-08-01,12.312500,13.062500,11.875000,12.406250,7.969244,5041800
2000-09-01,12.437500,12.500000,9.250000,10.093750,6.483795,3916400
2000-10-01,10.187500,11.843750,9.312500,11.593750,7.517708,3768400
2000-11-01,11.687500,11.687500,10.031250,11.031250,7.152966,2575600
2000-12-01,11.062500,12.843750,10.781250,12.375000,8.024294,3326200
2001-01-01,12.312500,12.687500,11.000000,12.525000,8.217581,4134400
2001-02-01,12.505000,12.600000,11.225000,11.925000,7.823925,3226600
2001-03-01,11.825000,12.310000,10.600000,11.225000,7.364661,5191400
2001-04-01,11.325000,11.950000,10.755000,11.680000,7.748916,3080200
2001-05-01,11.680000,11.770000,10.600000,11.450000,7.596323,2394000
2001-06-01,11.450000,11.800000,10.625000,11.585000,7.685888,2532800
2001-07-01,11.585000,11.675000,10.130000,10.380000,6.967760,3597800
2001-08-01,10.280000,11.000000,9.940000,10.570000,7.095300,2885600
2001-09-01,10.545000,10.620000,8.250000,9.450000,6.343478,3299800
2001-10-01,9.450000,10.595000,8.680000,9.970000,6.875120,4626200
2001-11-01,10.080000,11.410000,9.950000,11.135000,7.678481,2599800
2001-12-01,11.125000,12.365000,10.800000,12.000000,8.274972,3478600
2002-01-01,12.000000,12.490000,10.950000,11.725000,8.175595,3833800
2002-02-01,11.765000,12.465000,11.405000,11.855000,8.266240,4256200
2002-03-01,11.900000,13.865000,11.850000,13.780000,9.608504,8241600
2002-04-01,13.780000,15.180000,13.335000,14.825000,10.443770,7528800
2002-05-01,14.775000,16.299999,14.500000,15.940000,11.229255,5909600
2002-06-01,15.940000,16.500000,14.795000,15.375000,10.831227,7850200
2002-07-01,15.550000,15.975000,12.850000,14.780000,10.496351,6252600
2002-08-01,14.900000,15.800000,14.130000,15.415000,10.947310,3670800
2002-09-01,15.300000,15.350000,12.400000,12.645000,8.980136,5488600
2002-10-01,12.850000,14.060000,11.800000,14.060000,10.080219,5851400
2002-11-01,14.200000,15.665000,13.950000,15.575000,11.166386,4229200
2002-12-01,15.675000,15.680000,13.775000,14.225000,10.198513,6344000
2003-01-01,14.200000,14.940000,12.710000,13.125000,9.496319,5420800
2003-02-01,13.140000,13.440000,11.800000,12.245000,8.859613,5374200
2003-03-01,12.295000,12.780000,11.050000,12.175000,8.808967,6214800
2003-04-01,12.275000,13.585000,11.860000,13.500000,9.890725,5269800
2003-05-01,13.450000,13.515000,12.765000,13.385000,9.806473,4162800
2003-06-01,13.500000,14.310000,13.275000,13.985000,10.246058,7443400
2003-07-01,13.985000,14.610000,13.350000,13.645000,10.101839,6368800
2003-08-01,13.600000,14.090000,12.995000,13.975000,10.346145,5095400
2003-09-01,13.985000,14.505000,13.600000,13.725000,10.161064,7186400
2003-10-01,13.745000,14.535000,12.815000,13.410000,10.027282,8258400
2003-11-01,13.410000,14.245000,13.280000,14.150000,10.580612,4957400
2003-12-01,14.250000,15.350000,13.935000,14.985000,11.204979,6960800
2004-01-01,15.050000,15.375000,14.750000,14.795000,11.174540,5983200
2004-02-01,14.795000,14.845000,13.600000,14.125000,10.668493,8396400
2004-03-01,14.150000,14.750000,13.620000,14.500000,10.951726,5810600
2004-04-01,14.550000,15.335000,14.235000,14.625000,11.158461,5490200
2004-05-01,14.600000,14.735000,13.485000,14.390000,10.979162,5222600
2004-06-01,14.325000,15.925000,14.225000,15.825000,12.074021,5769800
2004-07-01,15.825000,15.850000,14.750000,15.400000,11.868034,4808600
2004-08-01,15.325000,16.750000,15.050000,16.629999,12.815935,7505400
2004-09-01,16.629999,17.695000,16.465000,17.545000,13.521082,6064000
2004-10-01,17.575001,18.160000,16.475000,17.924999,13.932104,5841600
2004-11-01,17.930000,19.920000,17.760000,19.920000,15.482705,6006400
2004-12-01,20.000000,20.325001,19.250000,19.355000,15.043568,5621800
2005-01-01,19.504999,19.514999,16.799999,17.555000,13.749861,20379600
2005-02-01,17.555000,19.190001,17.105000,19.000000,14.881643,12920800
2005-03-01,19.025000,19.545000,17.629999,18.180000,14.239387,9418600
2005-04-01,18.375000,18.475000,16.020000,18.305000,14.452235,11716800
2005-05-01,18.275000,19.450001,17.885000,19.020000,15.016747,10315200
2005-06-01,19.110001,19.469999,17.219999,18.235001,14.396976,14037400
2005-07-01,18.225000,19.264999,17.424999,19.049999,15.167323,9713600
2005-08-01,19.055000,19.075001,17.350000,18.155001,14.454733,8036800
2005-09-01,18.184999,18.885000,16.975000,18.850000,15.008084,13650600
2005-10-01,18.889999,19.025000,16.700001,17.545000,14.095126,17461000
2005-11-01,17.495001,18.780001,17.480000,18.400000,14.782008,8993200
2005-12-01,18.500000,19.750000,18.500000,19.174999,15.404622,6995800
2006-01-01,19.290001,22.084999,19.290001,21.885000,17.733313,13817800
2006-02-01,21.785000,23.225000,20.799999,21.225000,17.198515,11544400
2006-03-01,21.225000,22.799999,20.844999,22.674999,18.373447,10286400
2006-04-01,22.674999,25.400000,22.334999,23.910000,19.527479,8871000
2006-05-01,24.360001,24.730000,21.605000,24.000000,19.600986,11723800
2006-06-01,24.049999,24.700001,21.920000,23.940001,19.551983,10123000
2006-07-01,23.940001,25.825001,22.100000,25.209999,20.742641,11061400
2006-08-01,25.205000,27.895000,24.945000,27.450001,22.585703,16326000
2006-09-01,27.450001,28.254999,25.620001,27.165001,22.351206,13064200
2006-10-01,27.025000,33.224998,26.799999,32.514999,26.934059,20147000
2006-11-01,32.950001,35.064999,31.799999,34.869999,28.884840,13619200
2006-12-01,35.000000,37.345001,34.990002,35.900002,29.738052,12021400
2007-01-01,36.500000,39.459999,34.020000,38.990002,32.458584,15816600
2007-02-01,39.250000,43.259998,38.955002,40.980000,34.115223,15700600
2007-03-01,40.924999,42.939999,39.380001,41.340000,34.414928,19597100
2007-04-01,41.520000,44.810001,39.299999,42.450001,35.426258,14499400
2007-05-01,42.400002,43.279999,39.299999,40.639999,33.915749,15894200
2007-06-01,40.849998,41.959999,36.500000,38.529999,32.154854,23265600
2007-07-01,38.869999,42.639999,38.419998,40.230000,33.663399,20796500
2007-08-01,40.020000,41.000000,32.919998,40.470001,33.864246,23212000
2007-09-01,40.250000,48.840000,37.410000,44.200001,36.985390,19253000
2007-10-01,44.200001,48.369999,43.599998,47.759998,40.070797,23391600
2007-11-01,47.130001,47.610001,38.060001,44.139999,37.033604,21941900
2007-12-01,44.320000,45.240002,40.200001,41.250000,34.608883,14236200
2008-01-01,41.139999,41.150002,31.990000,36.250000,30.488323,30926800
2008-02-01,36.180000,40.599998,36.000000,37.939999,31.909712,20045000
2008-03-01,37.630001,37.840000,34.090000,36.520000,30.715391,16749600
2008-04-01,37.139999,39.439999,34.730000,37.410000,31.566133,18177100
2008-05-01,37.400002,44.939999,36.610001,44.470001,37.523281,18049200
2008-06-01,44.200001,45.900002,39.799999,39.910000,33.675594,15335000
2008-07-01,39.400002,42.450001,35.709999,38.930000,32.940681,21449300
2008-08-01,38.730000,41.340000,37.680000,39.740002,33.626060,11206200
2008-09-01,39.830002,40.630001,29.709999,30.840000,26.095324,22893000
2008-10-01,30.600000,30.900000,18.969999,24.350000,20.675961,28305600
2008-11-01,24.280001,26.280001,16.160000,20.330000,17.262520,17567500
2008-12-01,19.980000,22.500000,16.750000,22.299999,18.935272,20026200
2009-01-01,22.240000,24.559999,20.320000,22.250000,19.001553,16280800
2009-02-01,21.870001,24.959999,18.180000,19.350000,16.524944,20015300
2009-03-01,18.850000,22.709999,15.540000,21.770000,18.591633,28521900
2009-04-01,21.290001,27.809999,20.990000,26.820000,23.072607,18633200
2009-05-01,27.020000,29.459999,25.070000,28.219999,24.276993,14761000
2009-06-01,28.730000,30.000000,24.320000,25.570000,21.997261,13603800
2009-07-01,25.740000,30.990000,23.309999,29.709999,25.674250,13689500
2009-08-01,30.020000,32.860001,29.959999,32.230000,27.851934,13048100
2009-09-01,32.110001,35.400002,30.600000,34.599998,29.899990,12754800
2009-10-01,34.410000,35.310001,31.209999,31.580000,27.390366,15859400
2009-11-01,31.750000,35.480000,31.000000,33.750000,29.272484,10566800
2009-12-01,34.130001,37.619999,33.380001,36.369999,31.544901,12203100
2010-01-01,36.910000,38.889999,35.720001,35.720001,31.089172,11401800
2010-02-01,35.950001,38.340000,34.490002,37.490002,32.629696,12413300
2010-03-01,37.560001,43.799999,37.560001,42.630001,37.103336,14400200
2010-04-01,43.160000,46.970001,42.459999,45.660000,39.875591,15516100
2010-05-01,46.000000,46.340000,38.209999,43.060001,37.604988,27573700
2010-06-01,42.750000,44.099998,38.669998,39.709999,34.679363,23063100
2010-07-01,39.630001,46.310001,38.470001,43.619999,38.221954,17421800
2010-08-01,44.459999,45.950001,38.750000,40.090000,35.128796,16429000
2010-09-01,40.939999,47.150002,40.599998,46.810001,41.017185,16460000
2010-10-01,47.180000,51.150002,46.160000,50.130001,44.076683,15522000
2010-11-01,50.590000,54.570000,49.889999,54.090000,47.558502,11442800
2010-12-01,55.020000,57.340000,54.090000,55.779999,49.044426,12097700
2011-01-01,56.119999,60.700001,53.759998,56.160000,49.503674,20667900
2011-02-01,57.099998,59.709999,55.169998,57.560001,50.737743,16495700
2011-03-01,57.900002,59.980000,52.639999,59.770000,52.685810,19740500
2011-04-01,60.259998,70.739998,56.279999,70.550003,62.375629,22752800
2011-05-01,71.180000,71.790001,64.559998,70.839996,62.632042,16460300
2011-06-01,70.790001,71.160004,64.120003,69.199997,61.182056,13463200
2011-07-01,69.550003,71.209999,65.800003,66.580002,59.014240,18480400
2011-08-01,67.489998,67.580002,45.200001,50.709999,44.947624,41365600
2011-09-01,50.900002,51.509998,39.759998,40.400002,35.809189,24859200
2011-10-01,40.160000,56.919998,38.020000,53.290001,47.409481,35011200
2011-11-01,51.830002,55.250000,46.619999,54.529999,48.512653,18232500
2011-12-01,54.130001,54.880001,47.820000,51.509998,45.825912,14372400
2012-01-01,52.910000,64.459999,52.270000,64.309998,57.410786,14251700
2012-02-01,65.160004,68.510002,64.199997,66.519997,59.383690,12423000
2012-03-01,66.949997,68.260002,59.410000,63.919998,57.062611,12043400
2012-04-01,63.650002,66.519997,61.220001,65.300003,58.480968,14128000
2012-05-01,65.300003,67.139999,57.869999,60.700001,54.361332,25959800
2012-06-01,58.209999,62.959999,55.860001,59.639999,53.412014,17317900
2012-07-01,59.939999,62.340000,53.180000,58.220001,52.315571,18168700
2012-08-01,58.470001,61.450001,54.040001,54.730000,49.179508,18555600
2012-09-01,54.439999,57.029999,50.880001,52.680000,47.337410,20755100
2012-10-01,53.160000,56.259998,51.770000,55.110001,49.696030,20666100
2012-11-01,55.380001,60.709999,53.599998,59.790001,53.916256,15925300
2012-12-01,60.110001,62.509998,58.490002,62.119999,56.017365,10749900
2013-01-01,63.689999,67.750000,60.709999,61.310001,55.472157,15942600
2013-02-01,61.970001,66.830002,61.119999,65.080002,58.883175,11449000
2013-03-01,64.410004,65.820000,60.740002,62.520000,56.566936,13581300
2013-04-01,62.220001,63.270000,56.639999,61.250000,55.623562,20390000
2013-05-01,60.820000,69.029999,59.029999,66.919998,60.772709,14285700
2013-06-01,66.900002,67.070000,60.250000,62.290001,56.568024,12734400
2013-07-01,62.590000,66.389999,60.160000,62.009998,56.529633,18311200
2013-08-01,62.490002,63.639999,61.869999,62.369999,56.857819,15068900
2013-09-01,63.049999,64.389999,60.889999,62.939999,57.377453,14548300
2013-10-01,62.650002,67.980003,62.500000,66.190002,60.567032,18113900
2013-11-01,66.120003,69.500000,66.110001,68.709999,62.872959,8065800
2013-12-01,68.870003,70.000000,62.020000,63.389999,58.004890,13219800
2014-01-01,63.380001,67.309998,62.389999,64.180000,58.931316,14067900
2014-02-01,64.480003,66.470001,60.919998,65.989998,60.593292,10450600
2014-03-01,65.230003,67.250000,63.439999,66.419998,60.988117,11594500
2014-04-01,66.589996,68.230003,64.550003,67.040001,61.816795,11170200
2014-05-01,67.540001,69.889999,67.019997,69.190002,63.799301,10377900
2014-06-01,69.290001,72.690002,68.860001,71.500000,65.929314,10102200
2014-07-01,71.820000,76.279999,59.860001,61.340000,56.777096,41084600
2014-08-01,60.970001,63.860001,60.130001,63.580002,58.850475,24991000
2014-09-01,63.650002,65.449997,58.369999,58.900002,54.518589,20909200
2014-10-01,58.730000,60.900002,51.349998,58.380001,54.267941,35893500
2014-11-01,58.459999,62.540001,58.259998,59.040001,54.881454,25027300
2014-12-01,59.000000,63.380001,54.290001,60.130001,55.894669,27120300
2015-01-01,60.369999,62.230000,46.779999,48.259998,45.070824,59587400
2015-02-01,48.439999,56.990002,47.310001,56.570000,52.831676,31066800
2015-03-01,56.570000,57.080002,50.840000,52.840000,49.348167,26246100
2015-04-01,52.549999,60.779999,52.230000,59.700001,56.058475,22274200
2015-05-01,60.139999,64.989998,59.590000,60.150002,56.481030,23944300
2015-06-01,60.380001,61.950001,54.910000,55.270000,51.898697,19992900
2015-07-01,55.459999,55.830002,49.029999,54.200001,51.135250,22204200
2015-08-01,54.099998,54.310001,42.310001,45.209999,42.653580,29046300
2015-09-01,44.139999,47.189999,41.369999,44.099998,41.606346,39883600
2015-10-01,44.290001,54.590000,44.099998,53.520000,50.844769,31252000
2015-11-01,54.259998,55.480000,46.490002,53.560001,50.882774,34565300
2015-12-01,53.680000,57.990002,46.340000,56.009998,53.210312,25480400
2016-01-01,54.970001,56.099998,45.779999,52.639999,50.305206,28308600
2016-02-01,51.869999,57.950001,47.490002,56.220001,53.726425,28707100
2016-03-01,57.119999,64.330002,56.029999,63.930000,61.094456,27908700
2016-04-01,63.439999,68.750000,63.400002,66.160004,63.542019,28481200
2016-05-01,66.419998,80.209999,66.180000,78.500000,75.393715,34811500
2016-06-01,78.500000,84.989998,74.860001,79.309998,76.171661,55965600
2016-07-01,79.449997,87.290001,78.809998,84.169998,81.149384,21694200
2016-08-01,84.220001,86.500000,79.709999,79.970001,77.100098,31971200
2016-09-01,79.949997,85.839996,75.110001,85.489998,82.422012,27230700
2016-10-01,85.199997,85.449997,79.080002,83.550003,80.870140,14985800
2016-11-01,83.570000,88.730003,76.320000,87.779999,84.964462,23097200
2016-12-01,88.290001,92.239998,84.370003,90.690002,87.781120,17705300
2017-01-01,87.150002,95.889999,86.980003,92.639999,89.969063,17796800
2017-02-01,93.190002,102.559998,90.349998,101.510002,98.583351,18416900
2017-03-01,102.900002,107.559998,98.629997,105.639999,102.594276,27655500
2017-04-01,105.730003,109.230003,103.419998,108.910004,106.099457,16612200
2017-05-01,109.089996,113.730003,107.000000,113.599998,110.668419,18588800
2017-06-01,113.680000,116.639999,103.629997,105.540001,102.816422,28983700
2017-07-01,106.339996,119.589996,105.339996,115.800003,113.137253,25171400
2017-08-01,116.059998,123.480003,108.599998,116.260002,113.586685,33982400
2017-09-01,117.059998,137.479996,116.160004,136.309998,133.175629,30796500
2017-10-01,136.250000,141.399994,133.839996,140.889999,138.001923,25224600
2017-11-01,142.000000,144.990005,130.630005,134.320007,131.566574,27965000
2017-12-01,134.860001,135.399994,126.309998,127.889999,125.268387,22425200
