Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,18.125000,18.187500,13.437500,13.500000,13.500000,2025000
2001-02-01,13.125000,14.562500,7.125000,7.500000,7.500000,12337000
2001-03-01,7.484300,10.500000,6.125000,7.250000,7.250000,7244800
2001-04-01,7.296800,9.400000,5.350000,8.750000,8.750000,3155600
2001-05-01,9.000000,12.450000,7.900000,10.000000,10.000000,7957700
2001-06-01,10.000000,10.530000,7.600000,7.840000,7.840000,5532100
2001-07-01,8.020000,8.100000,6.500000,7.460000,7.460000,6629800
2001-08-01,7.500000,8.250000,6.480000,6.600000,6.600000,4726300
2001-09-01,6.730000,7.250000,2.180000,2.180000,2.180000,7072000
2001-10-01,2.430000,5.790000,2.140000,4.360000,4.360000,7439200
2001-11-01,4.350000,5.500000,2.950000,4.000000,4.000000,4217600
2001-12-01,4.000000,5.160000,3.600000,4.500000,4.500000,2439200
2002-01-01,4.500000,6.250000,4.000000,4.880000,4.880000,9522800
2002-02-01,4.890000,5.580000,4.100000,4.250000,4.250000,3194500
2002-03-01,4.250000,5.400000,4.030000,5.300000,5.300000,3407000
2002-04-01,5.340000,5.520000,3.330000,3.850000,3.850000,4833000
2002-05-01,3.830000,4.080000,3.510000,3.850000,3.850000,2635800
2002-06-01,3.860000,4.150000,3.090000,3.920000,3.920000,5225100
2002-07-01,3.920000,3.920000,1.530000,2.350000,2.350000,5747800
2002-08-01,2.350000,3.740000,2.180000,3.000000,3.000000,1872800
2002-09-01,2.950000,3.400000,2.520000,2.750000,2.750000,2081300
2002-10-01,2.800000,3.080000,1.660000,1.770000,1.770000,2765000
2002-11-01,2.020000,3.620000,1.260000,3.590000,3.590000,7927800
2002-12-01,3.490000,3.510000,2.380000,2.760000,2.760000,3148300
2003-01-01,2.950000,3.350000,2.540000,3.300000,3.300000,2232000
2003-02-01,3.300000,4.990000,3.110000,4.710000,4.710000,4309400
2003-03-01,4.650000,6.240000,4.100000,6.050000,6.050000,5050500
2003-04-01,6.130000,7.660000,5.530000,7.520000,7.520000,8055100
2003-05-01,7.660000,11.400000,6.800000,10.130000,10.130000,10898000
2003-06-01,10.170000,12.690000,9.250000,12.600000,12.600000,8403500
2003-07-01,13.040000,14.770000,9.940000,13.000000,13.000000,11289400
2003-08-01,12.840000,13.000000,10.150000,11.070000,11.070000,6526600
2003-09-01,11.000000,14.250000,10.850000,12.510000,12.510000,7122200
2003-10-01,12.500000,16.270000,12.490000,15.410000,15.410000,12589100
2003-11-01,15.220000,18.010000,15.100000,17.940001,17.940001,11978300
2003-12-01,18.040001,18.969999,15.520000,16.510000,16.510000,8255100
2004-01-01,16.740000,21.900000,16.469999,20.750000,20.750000,14226400
2004-02-01,21.000000,21.799999,19.120001,19.670000,19.670000,9179000
2004-03-01,19.620001,20.230000,17.450001,19.010000,19.010000,7151500
2004-04-01,19.219999,22.809999,17.320000,17.360001,17.360001,11377600
2004-05-01,17.670000,20.190001,17.250000,19.059999,19.059999,8240900
2004-06-01,19.000000,19.299999,17.299999,19.000000,19.000000,11333000
2004-07-01,18.910000,19.150000,15.230000,17.180000,17.180000,17804300
2004-08-01,17.340000,17.350000,13.600000,15.320000,15.320000,12438700
2004-09-01,15.200000,16.750000,14.540000,15.280000,15.280000,8828400
2004-10-01,15.430000,16.340000,8.850000,10.380000,10.380000,33137400
2004-11-01,10.530000,11.490000,10.100000,10.570000,10.570000,16938000
2004-12-01,11.060000,12.000000,10.250000,10.750000,10.750000,15754000
2005-01-01,10.870000,10.870000,7.780000,8.660000,8.660000,25401200
2005-02-01,8.660000,8.890000,7.340000,7.570000,7.570000,19786900
2005-03-01,7.570000,8.010000,5.840000,6.240000,6.240000,19672500
2005-04-01,6.260000,8.840000,5.750000,8.420000,8.420000,38179900
2005-05-01,8.420000,8.900000,6.960000,7.270000,7.270000,18094100
2005-06-01,7.300000,7.760000,6.920000,7.370000,7.370000,10626000
2005-07-01,7.350000,8.410000,5.630000,6.520000,6.520000,18686600
2005-08-01,6.530000,6.960000,6.060000,6.810000,6.810000,17164700
2005-09-01,6.830000,7.440000,6.200000,6.720000,6.720000,10208600
2005-10-01,6.720000,7.690000,6.310000,7.380000,7.380000,14426400
2005-11-01,7.300000,7.300000,6.200000,6.920000,6.920000,13681100
2005-12-01,6.920000,7.130000,6.270000,6.470000,6.470000,10094000
2006-01-01,6.350000,8.690000,5.960000,8.180000,8.180000,22400300
2006-02-01,8.060000,8.560000,7.750000,8.160000,8.160000,12355700
2006-03-01,8.110000,9.450000,7.970000,9.170000,9.170000,11808000
2006-04-01,9.150000,9.750000,8.200000,8.790000,8.790000,11249900
2006-05-01,8.790000,9.400000,6.980000,7.390000,7.390000,10104600
2006-06-01,7.430000,8.150000,7.020000,7.390000,7.390000,9540500
2006-07-01,7.420000,7.680000,6.150000,6.760000,6.760000,7092200
2006-08-01,6.610000,6.880000,5.620000,6.250000,6.250000,9568500
2006-09-01,6.260000,13.340000,6.060000,11.380000,11.380000,36251500
2006-10-01,11.300000,15.330000,11.000000,13.860000,13.860000,36899700
2006-11-01,13.780000,13.850000,12.550000,13.120000,13.120000,13892400
2006-12-01,13.050000,14.340000,12.780000,13.970000,13.970000,13489900
2007-01-01,13.970000,17.010000,13.070000,16.559999,16.559999,20594400
2007-02-01,16.030001,17.950001,15.900000,16.420000,16.420000,15797300
2007-03-01,16.080000,16.969999,15.720000,15.860000,15.860000,12944800
2007-04-01,15.880000,24.280001,15.450000,22.660000,22.660000,25872600
2007-05-01,22.700001,24.190001,21.990000,22.790001,22.790001,18799900
2007-06-01,22.990000,25.290001,21.790001,24.160000,24.160000,18722400
2007-07-01,24.230000,29.709999,24.090000,26.100000,26.100000,24039700
2007-08-01,25.959999,28.340000,21.549999,22.730000,22.730000,34055100
2007-09-01,22.650000,26.240000,22.600000,25.330000,25.330000,16158200
2007-10-01,25.219999,29.299999,18.000000,20.700001,20.700001,41610800
2007-11-01,20.480000,20.690001,14.620000,16.889999,16.889999,24770800
2007-12-01,16.820000,19.879999,16.240000,16.680000,16.680000,12629100
2008-01-01,16.680000,17.219999,10.800000,11.780000,11.780000,42594000
2008-02-01,11.590000,13.620000,11.570000,12.350000,12.350000,26020800
2008-03-01,12.380000,12.900000,10.340000,11.110000,11.110000,14429700
2008-04-01,11.230000,12.790000,9.650000,12.280000,12.280000,27405500
2008-05-01,12.170000,13.420000,11.980000,13.170000,13.170000,17764800
2008-06-01,13.200000,13.450000,10.470000,10.490000,10.490000,16044400
2008-07-01,10.380000,12.240000,9.020000,10.010000,10.010000,24632200
2008-08-01,9.940000,13.190000,9.910000,13.040000,13.040000,15733300
2008-09-01,13.180000,13.740000,10.450000,10.830000,10.830000,18052000
2008-10-01,10.750000,10.880000,4.880000,6.930000,6.930000,25855800
2008-11-01,6.900000,7.510000,5.670000,7.000000,7.000000,11861100
2008-12-01,6.790000,8.810000,6.630000,8.750000,8.750000,12507600
2009-01-01,8.520000,9.670000,7.480000,7.880000,7.880000,12237500
2009-02-01,7.710000,9.190000,6.850000,6.850000,6.850000,9778000
2009-03-01,6.810000,8.370000,6.100000,7.930000,7.930000,11709500
2009-04-01,7.830000,12.830000,7.620000,12.410000,12.410000,18300900
2009-05-01,12.570000,12.710000,11.070000,11.830000,11.830000,10430500
2009-06-01,12.080000,12.910000,9.430000,10.600000,10.600000,22054500
2009-07-01,10.720000,12.070000,9.150000,10.910000,10.910000,18147700
2009-08-01,10.880000,14.000000,9.750000,13.400000,13.400000,22095200
2009-09-01,13.260000,14.910000,12.700000,14.220000,14.220000,9651900
