Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,39.375000,42.750000,22.750000,25.875000,18.530136,48931400
2000-02-01,26.125000,28.437500,20.687500,21.062500,15.083715,22038900
2000-03-01,21.000000,33.250000,20.937500,32.250000,23.274487,27535400
2000-04-01,32.250000,32.500000,24.437500,27.062500,19.530714,19971500
2000-05-01,27.125000,35.812500,26.000000,35.125000,25.564102,17027600
2000-06-01,35.000000,36.937500,30.500000,31.062500,22.607405,15957800
2000-07-01,31.125000,36.625000,29.000000,36.000000,26.200933,17390900
2000-08-01,35.875000,39.625000,34.500000,37.203098,27.242165,17562600
2000-09-01,37.625000,42.000000,35.000000,39.250000,28.741018,19702000
2000-10-01,39.000000,42.312500,35.937500,41.437500,30.342834,18496600
2000-11-01,41.562500,42.125000,28.125000,31.062500,22.865637,61425600
2000-12-01,31.250000,34.937500,30.000000,34.250000,25.212009,22164400
2001-01-01,34.250000,35.750000,30.812500,35.150002,25.874506,21091700
2001-02-01,35.160000,38.180000,32.200001,34.270000,25.226725,17675300
2001-03-01,34.500000,37.200001,32.060001,35.500000,26.295671,18827000
2001-04-01,35.750000,36.000000,29.750000,33.240002,24.621637,27103100
2001-05-01,32.950001,35.099998,32.150002,35.000000,25.925301,22494800
2001-06-01,34.919998,36.509998,34.500000,35.000000,26.101982,18873900
2001-07-01,34.849998,35.900002,33.259998,35.450001,26.437593,18136900
2001-08-01,35.549999,39.299999,35.240002,37.150002,27.884962,20945700
2001-09-01,37.349998,42.000000,33.900002,42.000000,31.525402,26900900
2001-10-01,41.500000,44.799999,37.570000,38.040001,28.553003,27654800
2001-11-01,38.240002,40.330002,32.500000,35.830002,27.042860,30723400
2001-12-01,35.820000,36.270000,33.950001,35.520000,26.808886,20663800
2002-01-01,35.730000,36.230000,32.549999,33.299999,25.133327,21772600
2002-02-01,33.200001,35.240002,31.760000,34.630001,26.137163,17171300
2002-03-01,34.750000,35.799999,34.009998,35.000000,26.602650,14576900
2002-04-01,34.799999,39.630001,34.500000,35.730000,27.157499,27528900
2002-05-01,35.750000,36.250000,33.049999,33.430000,25.570950,15158900
2002-06-01,33.400002,33.900002,28.000000,29.480000,22.549541,20310300
2002-07-01,29.480000,29.830000,20.500000,23.750000,18.166620,34115100
2002-08-01,23.750000,24.549999,13.300000,19.760000,15.259927,71873500
2002-09-01,19.760000,21.799999,19.580000,20.490000,15.823676,30693000
2002-10-01,20.490000,21.950001,16.950001,18.330000,14.155589,37044700
2002-11-01,18.100000,19.190001,15.590000,18.240000,14.086089,73939300
2002-12-01,18.350000,19.850000,17.959999,18.889999,14.709419,28521600
2003-01-01,19.100000,21.340000,18.610001,18.930000,14.740569,28286400
2003-02-01,19.100000,20.600000,17.719999,19.450001,15.145492,24453500
2003-03-01,19.600000,20.850000,17.410000,20.680000,16.239586,25559800
2003-04-01,20.680000,23.540001,20.549999,22.160000,17.401802,30377800
2003-05-01,22.200001,25.990000,21.719999,25.660000,20.285213,31216400
2003-06-01,25.770000,26.790001,24.080000,24.080000,19.036169,24244300
2003-07-01,24.080000,24.450001,22.700001,24.049999,19.012449,36307100
2003-08-01,23.760000,23.850000,20.850000,22.200001,17.549952,30660900
2003-09-01,22.400000,22.799999,20.410000,20.850000,16.586174,27121400
2003-10-01,20.950001,22.240000,20.629999,21.900000,17.421440,32022600
2003-11-01,21.799999,22.549999,20.320000,21.940001,17.572811,25572500
2003-12-01,22.049999,24.100000,21.750000,23.940001,19.174706,23034500
2004-01-01,24.059999,25.110001,23.469999,24.570000,19.679312,25809400
2004-02-01,24.600000,26.670000,24.100000,26.230000,21.008883,21774100
2004-03-01,26.230000,29.100000,26.200001,27.910000,22.492182,26103100
2004-04-01,27.830000,29.040001,25.950001,26.059999,21.001295,34589100
2004-05-01,26.030001,27.629999,25.150000,27.629999,22.394745,24051700
2004-06-01,27.530001,28.780001,27.400000,28.469999,23.075594,22303400
2004-07-01,28.400000,28.459999,25.440001,26.440001,21.430227,20876400
2004-08-01,26.450001,26.910000,24.459999,25.950001,21.151461,24683000
2004-09-01,26.049999,29.440001,25.889999,28.740000,23.425545,18608800
2004-10-01,28.750000,29.049999,18.150000,20.410000,16.635889,95290400
2004-11-01,20.410000,21.200001,19.719999,21.120001,17.335428,45476700
2004-12-01,21.250000,24.000000,21.200001,23.860001,19.584440,33252600
2005-01-01,24.100000,24.240000,21.350000,22.740000,18.665127,29203600
2005-02-01,22.799999,25.440001,21.559999,24.510000,20.117958,32791700
2005-03-01,24.420000,25.200001,22.389999,22.840000,18.871704,27219800
2005-04-01,23.030001,23.320000,20.700001,20.850000,17.227446,26829800
2005-05-01,20.850000,26.100000,20.639999,24.930000,20.746338,44225300
2005-06-01,24.830000,25.450001,24.250000,25.040001,20.837883,26609000
2005-07-01,25.030001,25.959999,24.799999,25.440001,21.170753,25637400
2005-08-01,25.610001,30.270000,25.059999,29.920000,25.045866,33626100
2005-09-01,29.770000,32.869999,29.690001,32.080002,26.853991,38988200
2005-10-01,32.189999,34.570000,30.620001,33.849998,28.335640,38623400
2005-11-01,33.700001,37.139999,33.500000,36.410000,30.614840,43237900
2005-12-01,36.480000,36.900002,35.130001,35.950001,30.228064,23068700
2006-01-01,36.020000,38.299999,34.189999,34.220001,28.773409,36858600
2006-02-01,34.230000,40.139999,33.450001,39.610001,33.445339,44790600
2006-03-01,39.650002,42.160000,39.169998,41.509998,35.049633,40025500
2006-04-01,41.450001,42.500000,39.830002,41.910000,35.387367,24572500
2006-05-01,41.910000,42.759998,34.970001,35.650002,30.210051,54514000
2006-06-01,35.799999,36.549999,32.939999,34.820000,29.506701,41152500
2006-07-01,35.000000,35.299999,32.540001,34.230000,29.006729,24662600
2006-08-01,34.230000,35.130001,31.010000,34.570000,29.424057,38193100
2006-09-01,34.810001,35.029999,33.580002,33.869999,28.828251,28740000
2006-10-01,33.740002,36.410000,33.349998,34.790001,29.611305,33033000
2006-11-01,34.759998,35.990002,33.049999,35.680000,30.500072,33093800
2006-12-01,35.680000,37.110001,34.869999,35.340000,30.209423,39576700
2007-01-01,35.299999,36.200001,34.299999,35.860001,30.653936,40492500
2007-02-01,35.869999,39.209999,35.689999,37.639999,32.311584,33822200
2007-03-01,37.400002,39.270000,36.189999,37.959999,32.586285,33370300
2007-04-01,37.799999,40.270000,37.669998,38.750000,33.264450,30942100
2007-05-01,38.900002,44.259998,38.630001,42.919998,36.984657,52405400
2007-06-01,42.919998,43.220001,41.169998,42.610001,36.717529,29326300
2007-07-01,42.660000,43.090000,39.310001,40.040001,34.502934,39653800
2007-08-01,40.480000,45.150002,38.650002,43.320000,37.468941,59806300
2007-09-01,43.330002,45.139999,42.000000,44.810001,38.757694,30775700
2007-10-01,44.930000,46.950001,42.230000,45.320000,39.198807,35125900
2007-11-01,45.959999,51.320000,44.900002,49.970001,43.363743,47643500
2007-12-01,49.840000,51.000000,47.320000,47.689999,41.385174,40906000
2008-01-01,47.570000,47.770000,41.549999,43.330002,37.601585,50638800
2008-02-01,43.470001,44.990002,40.709999,41.610001,36.233761,52883900
2008-03-01,41.470001,41.950001,38.349998,40.200001,35.005939,48801900
2008-04-01,40.730000,47.270000,40.720001,45.389999,39.525383,56128200
2008-05-01,45.660000,47.779999,45.500000,47.189999,41.225491,38359600
2008-06-01,47.200001,48.570000,45.570000,45.939999,40.133488,44884800
2008-07-01,45.630001,48.580002,43.320000,45.799999,40.011189,70594900
2008-08-01,46.000000,48.099998,44.259998,47.490002,41.626347,54610400
2008-09-01,48.020000,50.000000,43.709999,44.959999,39.408726,72164400
2008-10-01,44.799999,49.919998,32.830002,42.299999,37.077148,99477700
2008-11-01,41.959999,45.709999,39.180000,45.299999,39.862419,79468700
2008-12-01,45.799999,46.500000,39.270000,45.680000,40.196793,72028000
2009-01-01,46.189999,46.189999,36.759998,37.049999,32.602692,63429000
2009-02-01,36.580002,41.529999,35.779999,38.240002,33.780018,87386600
2009-03-01,37.810001,40.980000,36.650002,40.820000,36.059113,100069400
2009-04-01,40.070000,42.500000,37.930000,42.200001,37.278160,83296300
2009-05-01,39.200001,39.200001,34.810001,36.000000,31.919399,113923300
2009-06-01,36.250000,38.000000,35.419998,37.869999,33.577442,59859300
2009-07-01,37.889999,40.580002,36.360001,39.450001,34.978355,62058400
2009-08-01,39.759998,42.840000,39.180000,41.759998,37.166256,51650100
2009-09-01,41.709999,42.919998,40.270000,40.689999,36.213982,44752900
2009-10-01,40.820000,42.320000,36.810001,38.509998,34.273785,51072900
2009-11-01,38.759998,41.000000,38.160000,38.730000,34.597939,56882700
2009-12-01,39.450001,39.450001,37.400002,38.340000,34.249542,35582200
2010-01-01,38.450001,39.290001,37.330002,38.900002,34.749809,42792100
2010-02-01,39.099998,41.130001,38.450001,40.939999,36.712715,38033200
2010-03-01,40.830002,43.160000,40.630001,42.709999,38.299953,30894100
2010-04-01,42.810001,44.340000,42.090000,42.459999,38.075752,29297000
2010-05-01,42.689999,43.029999,38.110001,39.470001,35.517063,45901700
2010-06-01,39.250000,40.040001,37.060001,37.119999,33.402405,40785600
2010-07-01,37.009998,38.389999,35.099998,37.669998,33.897339,121863200
2010-08-01,38.080002,38.770000,35.959999,36.240002,32.744568,67384600
2010-09-01,36.560001,40.080002,36.369999,39.110001,35.337742,51682500
2010-10-01,39.389999,40.980000,38.720001,39.750000,35.916008,66664100
2010-11-01,40.009998,41.939999,39.560001,40.119999,36.383842,47176900
2010-12-01,40.490002,46.240002,40.490002,46.009998,41.725353,49329800
2011-01-01,46.259998,46.330002,43.310001,45.740002,41.480492,49024100
2011-02-01,45.889999,53.049999,45.590000,52.639999,47.894424,49750500
2011-03-01,52.840000,53.169998,49.360001,52.959999,48.185562,53444900
2011-04-01,53.200001,54.580002,51.259998,52.169998,47.466793,36646500
2011-05-01,53.450001,53.450001,50.950001,52.150002,47.584015,41007700
2011-06-01,51.970001,52.490002,48.660000,51.299999,46.808426,42924000
2011-07-01,51.369999,52.169998,47.709999,48.119999,43.906857,34886100
2011-08-01,48.619999,48.759998,41.759998,46.730000,42.767040,71231500
2011-09-01,46.810001,47.279999,39.680000,41.980000,38.419861,59943800
2011-10-01,41.630001,51.110001,39.900002,46.619999,42.666363,74838700
