Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,4.214844,5.062500,3.789063,4.242188,3.755126,41040000
2000-02-01,4.242188,5.125000,4.093750,4.996094,4.422473,36632000
2000-03-01,5.000000,6.515625,4.585938,6.390625,5.656893,49148800
2000-04-01,6.359375,8.000000,5.656250,7.968750,7.053828,50222400
2000-05-01,7.781250,7.781250,5.398438,5.718750,5.062160,100716800
2000-06-01,5.812500,8.312500,5.812500,8.261712,7.313157,58088800
2000-07-01,8.273438,8.796875,6.046875,6.554688,5.802122,50535200
2000-08-01,6.656250,8.421875,6.343750,8.000000,7.081492,38852000
2000-09-01,8.062500,8.593750,6.687500,7.117188,6.300036,26228000
2000-10-01,7.250000,8.531250,6.250000,8.031250,7.109154,34960800
2000-11-01,8.078125,8.203125,5.960938,6.671875,5.905855,27511200
2000-12-01,6.750000,7.523438,4.000000,4.898438,4.336029,91620800
2001-01-01,4.835938,6.343750,4.562500,6.050000,5.355378,58468800
2001-02-01,6.112500,6.156250,4.443750,4.462500,3.950144,42017600
2001-03-01,4.462500,4.937500,3.537500,3.937500,3.485422,70689600
2001-04-01,3.937500,5.500000,3.638750,5.262500,4.658293,47875200
2001-05-01,5.262500,7.248750,5.243750,6.328750,5.602123,58444000
2001-06-01,6.437500,6.450000,4.283750,5.006250,4.431465,58390400
2001-07-01,5.018750,5.387500,4.768750,5.185000,4.589692,43776000
2001-08-01,5.187500,5.743750,4.800000,5.053750,4.473511,36432800
2001-09-01,5.053750,5.053750,4.000000,4.343750,3.845029,39214400
2001-10-01,4.342500,5.708750,4.062500,5.568750,4.929382,51715200
2001-11-01,5.568750,6.191250,5.565000,5.925000,5.244728,32516800
2001-12-01,5.906250,6.618750,5.857500,6.006250,5.316651,32011200
2002-01-01,6.025000,6.468750,5.437500,5.750000,5.089822,37928800
2002-02-01,5.737500,5.747500,5.031250,5.272500,4.667143,19572000
2002-03-01,5.272500,6.087500,5.272500,5.850000,5.178340,20281600
2002-04-01,5.850000,5.993750,5.347500,5.481250,4.851927,28609600
2002-05-01,5.500000,6.125000,5.296250,5.618750,4.973642,16425600
2002-06-01,5.618750,5.621250,4.437500,4.500000,3.983339,27281600
2002-07-01,4.526250,5.012500,4.055000,4.706250,4.165909,41170400
2002-08-01,4.707500,5.307500,4.411250,4.852500,4.295364,26138400
2002-09-01,4.821250,5.131250,3.763750,3.875000,3.430097,33243200
2002-10-01,3.893750,4.865000,3.433750,4.812500,4.259959,51780800
2002-11-01,4.781250,5.726250,4.703750,5.543750,4.907252,35468000
2002-12-01,5.600000,5.643750,4.637500,4.750000,4.204637,30697600
2003-01-01,4.750000,5.493750,4.712500,5.093750,4.508917,33129600
2003-02-01,5.093750,5.212500,4.705000,5.098750,4.513345,16722400
2003-03-01,5.123750,5.251250,4.625000,5.093750,4.508917,18210400
2003-04-01,5.112500,5.772500,4.845000,5.536250,4.900612,23752800
2003-05-01,5.525000,6.000000,5.375000,5.906250,5.228132,26241600
2003-06-01,6.030000,6.175000,5.558750,5.852500,5.180554,23388800
2003-07-01,5.837500,7.208750,5.762500,6.750000,5.975008,44292000
2003-08-01,6.762500,6.917500,6.237500,6.816250,6.033652,110954400
2003-09-01,6.906250,7.118750,6.406250,6.506250,5.759245,37636000
2003-10-01,6.525000,7.425000,6.507500,7.343750,6.500585,45349600
2003-11-01,7.350000,7.718750,7.337500,7.565000,6.696434,17256000
2003-12-01,7.602500,8.016250,7.486250,7.991250,7.073746,27738400
2004-01-01,7.875000,8.675000,7.750000,8.258750,7.310531,37908800
2004-02-01,8.250000,8.448750,7.411250,7.731250,6.843597,76560000
2004-03-01,7.712500,7.993750,7.032500,7.425000,6.572508,62560000
2004-04-01,7.487500,8.622500,7.450000,7.902500,6.995185,59864000
2004-05-01,7.940000,8.437500,7.635000,8.150000,7.214269,35697200
2004-06-01,8.127500,8.340000,7.437500,8.330000,7.373603,38534000
2004-07-01,8.280000,8.312500,6.975000,7.857500,6.955353,63162400
2004-08-01,7.800000,8.000000,7.037500,7.515000,6.652177,42356800
2004-09-01,7.512500,8.592500,7.357500,8.565000,7.581621,87154800
2004-10-01,8.565000,8.775000,8.057500,8.582500,7.597112,77852000
2004-11-01,8.607500,9.380000,8.550000,8.777500,7.769726,43307200
2004-12-01,8.807500,9.280000,8.600000,9.185000,8.130438,36496400
2005-01-01,9.190000,9.875000,8.310000,9.832500,8.703598,53818000
2005-02-01,9.962500,10.485000,9.802500,9.975000,8.829734,37736000
2005-03-01,10.067500,10.435000,9.122500,9.260000,8.196826,44748800
2005-04-01,9.285000,10.177500,8.947500,9.860000,8.754034,53138000
2005-05-01,9.885000,10.640000,9.732500,10.597500,9.408806,49972800
2005-06-01,10.547500,10.800000,10.005000,10.042500,8.916063,35090000
2005-07-01,10.072500,11.550000,10.005000,11.135000,9.913878,39133600
2005-08-01,11.160000,11.212500,10.320000,10.602500,9.439777,37396400
2005-09-01,10.580000,10.712500,9.142500,10.085000,8.979025,53775200
2005-10-01,10.085000,10.312500,9.595000,9.992500,8.922076,69310800
2005-11-01,9.962500,10.575000,9.640000,10.442500,9.323874,44548000
2005-12-01,10.475000,11.280000,10.350000,11.065000,9.879689,41137600
2006-01-01,11.177500,12.780000,10.970000,12.707500,11.377800,49651600
2006-02-01,12.727500,12.935000,11.857500,12.557500,11.243497,29959200
2006-03-01,12.587500,13.125000,12.200000,13.045000,11.679987,39277600
2006-04-01,13.037500,15.217500,12.562500,14.450000,12.968943,51411200
2006-05-01,14.587500,15.405000,13.200000,13.887500,12.464092,51372000
2006-06-01,13.910000,14.502500,12.332500,13.990000,12.556088,59334800
2006-07-01,13.990000,14.345000,12.575000,14.020000,12.611620,48978400
2006-08-01,13.975000,15.080000,13.567500,14.367500,12.924212,34667200
2006-09-01,14.402500,16.097500,14.147500,15.482500,13.927210,41606800
2006-10-01,15.620000,17.622499,15.220000,16.975000,15.301634,57196400
2006-11-01,16.975000,17.360001,16.025000,17.032499,15.353466,42203200
2006-12-01,17.165001,17.397499,15.502500,15.520000,13.990064,51803600
2007-01-01,15.575000,17.115000,15.302500,16.930000,15.287962,82155200
2007-02-01,16.952499,17.157499,16.012501,16.155001,14.588138,37274800
2007-03-01,15.917500,16.674999,15.500000,16.142500,14.576846,48340000
2007-04-01,16.209999,18.270000,16.135000,17.555000,15.881795,50479200
2007-05-01,17.520000,18.195000,16.820000,17.889999,16.184868,39355000
2007-06-01,17.920000,18.495001,17.285000,17.825001,16.126059,30269400
2007-07-01,17.940001,19.250000,16.549999,17.129999,15.510321,39565000
2007-08-01,17.590000,18.410000,16.065001,18.055000,16.347860,49829200
2007-09-01,18.070000,20.230000,17.879999,19.879999,18.000303,32181600
2007-10-01,19.965000,22.915001,19.490000,22.135000,20.058100,46845200
2007-11-01,21.799999,22.045000,19.754999,21.674999,19.641260,38100800
2007-12-01,21.905001,23.620001,21.514999,23.184999,21.009579,31258200
