Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,26.187500,29.437500,25.250000,26.187500,19.330523,15199700
2000-02-01,26.312500,34.437500,24.000000,31.000000,22.882910,29113700
2000-03-01,30.937500,33.000000,26.250000,26.312500,19.422794,33680700
2000-04-01,26.562500,29.875000,24.937500,25.625000,18.974554,19964200
2000-05-01,25.125000,30.000000,25.125000,29.187500,21.612478,18268200
2000-06-01,29.000000,29.500000,26.750000,28.687500,21.242243,16060200
2000-07-01,28.687500,30.000000,23.750000,25.250000,18.756067,21241600
2000-08-01,25.500000,30.937500,24.687500,30.015600,22.296022,22144200
2000-09-01,30.125000,30.187500,21.750000,26.437500,19.638163,28218100
2000-10-01,26.250000,34.062500,25.812500,33.500000,24.964775,23602500
2000-11-01,33.250000,34.250000,30.562500,34.000000,25.337389,20175100
2000-12-01,33.875000,35.312500,30.625000,34.625000,25.803150,16226000
2001-01-01,34.375000,35.750000,30.937500,34.380001,25.692181,17785000
2001-02-01,34.630001,39.250000,34.150002,35.980000,26.887861,23441200
2001-03-01,36.230000,36.349998,31.100000,35.320000,26.394655,23271600
2001-04-01,35.900002,36.450001,31.150000,32.349998,24.241199,19498100
2001-05-01,32.599998,34.500000,29.959999,34.330002,25.724905,30535500
2001-06-01,34.299999,36.500000,34.080002,35.790001,26.818935,18654300
2001-07-01,36.040001,37.820000,33.400002,34.560001,25.965916,17108200
2001-08-01,34.549999,37.980000,33.000000,35.930000,26.995245,14787900
2001-09-01,35.700001,38.189999,33.200001,37.000000,27.799154,14034900
2001-10-01,37.000000,38.619999,34.810001,35.799999,26.967957,17189200
2001-11-01,35.900002,38.000000,30.750000,33.869999,25.514090,30436400
2001-12-01,33.700001,34.820000,31.990000,33.150002,24.971731,15125000
2002-01-01,33.049999,36.220001,31.920000,36.220001,27.366438,18326200
2002-02-01,36.290001,37.990002,35.700001,36.689999,27.721544,21675800
2002-03-01,36.480000,37.919998,35.689999,37.720001,28.499783,16941000
2002-04-01,37.720001,38.599998,36.099998,37.169998,28.159035,16489700
2002-05-01,37.070000,38.119999,36.049999,37.599998,28.484791,12886800
2002-06-01,37.849998,38.380001,33.509998,34.450001,26.098433,18276000
2002-07-01,34.250000,34.709999,24.700001,29.059999,22.072950,36581700
2002-08-01,29.059999,31.639999,28.030001,30.530001,23.189518,16107000
2002-09-01,30.200001,31.170000,27.809999,28.400000,21.571636,15656700
2002-10-01,28.549999,30.900000,28.350000,29.510000,22.487122,20707700
2002-11-01,29.420000,31.920000,28.850000,29.670000,22.609049,19491600
2002-12-01,29.980000,31.350000,29.530001,30.690001,23.386295,15086500
2003-01-01,30.920000,33.840000,28.820000,32.799999,25.075281,33291600
2003-02-01,32.900002,34.500000,31.010000,34.400002,26.298466,27247400
2003-03-01,34.349998,35.770000,31.910000,34.439999,26.329046,30115400
2003-04-01,34.389999,35.750000,31.520000,35.400002,27.143270,26061200
2003-05-01,35.349998,40.000000,34.750000,40.000000,30.670351,22657500
2003-06-01,40.000000,40.790001,36.849998,38.849998,29.788589,25392400
2003-07-01,38.939999,40.000000,36.500000,36.630001,28.156071,21446300
2003-08-01,36.610001,39.700001,35.599998,36.540001,28.086885,23293000
2003-09-01,36.650002,38.349998,34.099998,36.119999,27.764048,23298100
2003-10-01,36.369999,38.000000,35.439999,36.560001,28.178734,22199400
2003-11-01,36.540001,40.090000,35.209999,40.029999,30.853231,21462300
2003-12-01,40.000000,41.820000,39.000000,41.139999,31.708790,27220300
2004-01-01,41.000000,45.349998,40.900002,45.060001,34.863323,17145900
2004-02-01,45.000000,50.000000,44.099998,48.650002,37.640942,28451700
2004-03-01,48.900002,50.250000,46.830002,48.480000,37.509426,29063600
2004-04-01,48.700001,54.099998,48.430000,50.549999,39.231537,24839400
2004-05-01,50.349998,51.990002,47.590000,50.320000,39.053036,20812500
2004-06-01,50.009998,53.619999,49.900002,51.799999,40.201641,20437300
2004-07-01,51.480000,51.480000,45.740002,47.230000,36.764370,23516100
2004-08-01,46.799999,48.450001,45.639999,48.119999,37.457150,23146300
2004-09-01,47.990002,52.509998,47.880001,51.700001,40.243877,18181400
2004-10-01,51.599998,52.849998,49.439999,52.500000,40.990871,16969900
2004-11-01,52.250000,55.250000,50.250000,54.779999,42.771053,22500300
2004-12-01,54.779999,58.180000,54.779999,56.799999,44.348225,20297000
2005-01-01,56.000000,56.900002,53.750000,56.650002,44.373623,20237100
2005-02-01,56.650002,59.959999,56.590000,59.869999,46.895824,21953300
2005-03-01,59.869999,60.369999,57.709999,58.419998,45.760044,21365200
2005-04-01,58.500000,59.500000,56.040001,58.520000,45.977818,20036400
2005-05-01,58.520000,59.889999,57.279999,57.450001,45.137142,20807600
2005-06-01,57.400002,58.000000,51.000000,52.470001,41.224472,25531600
2005-07-01,52.490002,56.150002,51.259998,55.369999,43.642765,23377900
2005-08-01,55.470001,55.779999,51.209999,52.630001,41.483086,16559000
2005-09-01,52.430000,54.450001,51.660000,52.430000,41.325443,17130000
2005-10-01,52.430000,53.689999,49.709999,50.750000,40.135189,18038000
2005-11-01,50.650002,59.770000,50.480000,58.230000,46.050701,25394800
2005-12-01,58.299999,61.169998,57.080002,60.080002,47.513763,18891900
2006-01-01,59.990002,64.800003,58.689999,64.800003,51.436020,22916100
2006-02-01,64.139999,65.769997,62.349998,63.849998,50.681942,15326600
2006-03-01,63.650002,65.459999,61.180000,61.580002,48.880100,18992100
2006-04-01,61.480000,65.559998,61.160000,63.040001,50.211197,20143000
2006-05-01,62.270000,63.160000,59.130001,60.430000,48.132339,19157700
2006-06-01,60.470001,61.459999,58.080002,61.130001,48.689896,16837800
2006-07-01,61.240002,66.199997,58.439999,65.919998,52.691936,16251900
2006-08-01,65.599998,69.860001,64.820000,69.699997,55.713409,20708500
2006-09-01,69.949997,70.930000,67.970001,70.669998,56.488758,17850400
2006-10-01,70.599998,74.250000,69.800003,70.029999,56.150257,19151000
2006-11-01,70.099998,74.000000,68.790001,71.720001,57.505314,21900000
2006-12-01,72.099998,73.300003,69.980003,70.150002,56.246483,18074100
2007-01-01,70.540001,77.300003,69.300003,76.940002,61.898392,26666900
2007-02-01,77.480003,78.830002,74.599998,75.949997,61.101940,22793900
2007-03-01,75.190002,77.019997,73.290001,76.889999,61.858154,20898000
2007-04-01,77.000000,80.000000,76.889999,78.690002,63.515087,18806400
2007-05-01,79.000000,81.080002,75.900002,76.250000,61.545624,21229500
2007-06-01,76.120003,76.959999,72.400002,74.500000,60.133095,25834600
2007-07-01,74.900002,79.419998,72.970001,76.360001,61.834942,23817700
2007-08-01,76.459999,79.489998,72.150002,76.940002,62.304642,37159700
2007-09-01,77.070000,84.900002,76.000000,82.050003,66.442612,24735000
2007-10-01,82.430000,84.699997,80.629997,83.459999,67.800049,19773300
2007-11-01,84.029999,85.889999,78.910004,82.730003,67.207054,35179900
2007-12-01,83.000000,85.540001,80.160004,83.580002,67.897583,20156400
2008-01-01,84.949997,93.239998,81.059998,86.440002,70.463799,46494000
2008-02-01,86.879997,92.120003,86.400002,90.419998,73.708191,32313100
2008-03-01,90.250000,91.000000,83.720001,85.849998,69.982887,31250500
2008-04-01,86.309998,89.910004,81.559998,89.400002,73.110001,30532700
2008-05-01,89.989998,89.989998,83.290001,84.449997,69.061935,25943000
2008-06-01,84.290001,84.860001,77.419998,81.300003,66.485954,28189300
2008-07-01,81.260002,87.959999,79.300003,84.910004,69.674164,49070400
2008-08-01,85.000000,88.620003,83.230003,87.379997,71.700951,24740900
2008-09-01,88.050003,89.239998,76.019997,80.260002,65.858566,33325000
2008-10-01,79.809998,81.879997,63.130001,69.400002,57.137051,51664400
2008-11-01,69.370003,72.559998,58.139999,63.529999,52.304272,40627400
2008-12-01,62.500000,69.550003,61.150002,68.389999,56.305496,32874000
2009-01-01,68.589996,77.110001,66.910004,72.669998,60.144615,41696200
2009-02-01,72.089996,75.610001,61.820000,61.889999,51.222656,31813400
2009-03-01,63.419998,68.660004,61.169998,67.239998,55.650532,41673400
2009-04-01,66.680000,69.989998,60.480000,60.480000,50.315327,43320300
2009-05-01,60.610001,67.739998,60.400002,67.680000,56.305237,55185700
2009-06-01,67.790001,71.940002,66.580002,71.309998,59.325169,33126200
2009-07-01,71.500000,75.250000,65.000000,65.150002,54.466663,45844400
2009-08-01,65.239998,71.589996,63.410000,69.620003,58.203674,49170300
2009-09-01,69.529999,71.589996,68.010002,69.750000,58.312347,32941100
2009-10-01,69.500000,69.809998,66.199997,68.360001,57.424915,40021700
2009-11-01,68.269997,76.089996,67.669998,74.800003,62.834770,37189200
2009-12-01,75.260002,79.970001,73.489998,78.860001,66.245323,28793500
2010-01-01,78.989998,79.680000,74.750000,75.370003,63.619370,26668700
2010-02-01,75.430000,78.900002,73.849998,77.870003,65.729591,27007300
2010-03-01,78.110001,80.559998,77.550003,78.730003,66.455528,25823100
2010-04-01,78.930000,79.919998,75.279999,76.370003,64.768349,31421800
2010-05-01,76.379997,76.699997,69.580002,71.300003,60.468552,35845600
2010-06-01,71.089996,72.879997,67.000000,67.620003,57.347599,36506700
2010-07-01,67.730003,71.019997,66.470001,68.800003,58.658051,35827800
2010-08-01,69.550003,72.690002,68.070000,68.190002,58.137955,26000300
2010-09-01,68.839996,74.900002,68.830002,74.099998,63.176754,20204900
2010-10-01,74.559998,77.639999,73.389999,75.519997,64.726540,21102000
2010-11-01,75.919998,78.760002,74.650002,77.930000,66.792114,28609000
2010-12-01,78.610001,85.500000,78.339996,84.519997,72.440269,31546800
2011-01-01,85.169998,85.690002,81.559998,82.949997,71.454620,24350300
2011-02-01,83.379997,85.900002,78.570000,80.000000,68.913445,31848000
2011-03-01,80.129997,81.269997,75.440002,79.620003,68.586113,29456200
2011-04-01,79.949997,86.339996,79.300003,85.940002,74.414482,26446900
2011-05-01,86.209999,89.730003,85.459999,87.550003,75.808563,23659900
2011-06-01,87.300003,87.669998,84.190002,86.169998,74.613625,20208300
2011-07-01,86.330002,89.750000,82.209999,83.610001,72.746986,24942200
2011-08-01,84.160004,84.160004,75.000000,81.379997,70.806717,44278000
2011-09-01,81.209999,82.180000,71.709999,73.320000,63.793911,36372000
2011-10-01,72.800003,79.809998,69.589996,78.230003,68.423683,29824700
2011-11-01,76.870003,77.180000,70.610001,73.779999,64.531487,42719500
2011-12-01,73.769997,75.389999,70.050003,74.720001,65.353653,32644600
2012-01-01,75.589996,80.250000,72.300003,78.410004,69.000023,32120600
2012-02-01,78.610001,80.559998,76.040001,76.220001,67.072830,26173800
2012-03-01,76.220001,78.239998,74.949997,77.650002,68.331223,23019200
2012-04-01,77.419998,78.570000,74.629997,78.449997,69.449501,20525300
2012-05-01,78.150002,78.349998,72.800003,73.129997,64.739845,23111300
2012-06-01,72.480003,75.040001,71.559998,74.750000,66.173996,24485000
2012-07-01,75.120003,76.440002,72.680000,75.709999,67.441940,18522500
2012-08-01,74.629997,77.250000,74.099998,75.980003,67.682442,24939000
2012-09-01,76.080002,79.680000,75.809998,78.559998,69.980698,20003700
2012-10-01,78.650002,79.660004,74.849998,75.680000,67.813683,17197200
2012-11-01,75.489998,78.510002,74.180000,76.669998,68.700790,23992000
2012-12-01,76.720001,79.339996,76.029999,78.190002,70.062782,18933200
2013-01-01,79.260002,85.000000,78.730003,84.040001,75.789513,20239900
2013-02-01,84.860001,89.160004,84.459999,88.059998,79.414856,25468500
2013-03-01,88.000000,95.730003,87.540001,95.610001,86.223648,23179100
2013-04-01,95.650002,97.139999,93.059998,94.300003,85.516861,23866600
2013-05-01,94.309998,102.720001,93.309998,98.620003,89.434502,22998900
2013-06-01,98.959999,100.660004,94.250000,98.830002,89.624947,18675900
2013-07-01,99.430000,104.980003,96.779999,103.720001,94.535172,17950100
2013-08-01,104.000000,104.000000,96.949997,97.379997,88.756615,19646100
2013-09-01,98.419998,102.989998,96.730003,100.019997,91.162834,13340300
2013-10-01,100.110001,106.989998,98.300003,105.129997,96.303200,13694400
2013-11-01,105.559998,110.129997,104.599998,108.589996,99.472687,15130100
2013-12-01,108.760002,110.940002,104.940002,110.489998,101.213165,16256700
2014-01-01,110.410004,112.709999,106.330002,108.120003,99.549202,17756100
2014-02-01,108.320000,116.360001,105.209999,115.220001,106.086395,20980300
2014-03-01,114.680000,117.260002,113.139999,117.080002,107.798943,16930000
2014-04-01,118.000000,118.769997,111.169998,113.029999,104.560066,16892400
2014-05-01,112.930000,118.529999,111.070000,117.699997,108.880112,16722800
2014-06-01,117.680000,120.660004,116.980003,118.300003,109.435150,15212500
2014-07-01,118.800003,120.410004,115.940002,116.239998,108.023323,12635400
2014-08-01,115.839996,118.809998,114.360001,117.169998,108.887589,12425900
2014-09-01,117.300003,117.830002,112.150002,113.809998,105.765099,19844800
2014-10-01,114.029999,130.210007,112.980003,128.699997,120.165092,54292600
2014-11-01,128.539993,142.330002,125.349998,140.330002,131.023865,22459900
2014-12-01,140.029999,142.559998,134.000000,139.160004,129.931442,24178800
2015-01-01,140.270004,146.740005,138.009995,138.080002,129.481369,25297400
2015-02-01,137.509995,149.139999,136.020004,146.720001,137.583298,22772600
2015-03-01,146.720001,149.979996,140.169998,143.589996,134.648224,30952600
2015-04-01,143.630005,146.089996,139.800003,140.869995,132.629883,21865600
2015-05-01,141.050003,144.750000,138.119995,140.509995,132.290970,20746000
2015-06-01,141.399994,143.839996,137.699997,141.649994,133.364273,23484300
2015-07-01,143.059998,152.880005,140.770004,152.149994,143.865845,20193300
2015-08-01,151.789993,154.979996,133.500000,142.949997,135.166733,30861600
2015-09-01,138.500000,141.330002,128.869995,132.660004,125.437019,25006300
2015-10-01,132.490005,143.990005,130.199997,142.520004,135.355011,19103200
2015-11-01,143.470001,153.250000,143.059998,150.250000,142.696396,18359100
2015-12-01,151.100006,157.500000,149.350006,154.089996,146.343323,23626100
2016-01-01,150.619995,151.449997,137.690002,145.369995,138.657440,26069000
2016-02-01,144.110001,150.169998,129.500000,147.449997,140.641373,26224200
2016-03-01,148.600006,152.820007,145.779999,151.820007,144.809616,22135400
2016-04-01,151.240005,162.979996,150.710007,161.259995,154.499527,18117200
2016-05-01,160.669998,169.080002,157.600006,166.449997,159.471939,23042900
2016-06-01,166.449997,172.199997,162.389999,169.589996,162.480331,19513100
2016-07-01,169.589996,177.500000,169.210007,176.000000,169.278870,14906500
2016-08-01,174.990005,178.789993,166.350006,177.210007,170.442688,20046500
2016-09-01,177.710007,181.759995,170.259995,179.729996,172.866425,15762400
2016-10-01,178.669998,180.029999,166.580002,167.910004,162.099258,18972200
2016-11-01,167.639999,179.830002,162.440002,169.100006,163.248123,30679100
2016-12-01,168.710007,171.940002,161.289993,165.550003,159.820938,20080600
