Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,31.687500,35.625000,28.187500,31.625000,26.089951,24209400
2000-02-01,31.437500,40.125000,30.250000,32.250000,26.605556,33595700
2000-03-01,33.125000,44.750000,32.375000,37.875000,31.246065,57160400
2000-04-01,38.250000,40.375000,29.250000,38.375000,31.658550,20293000
2000-05-01,38.812500,39.000000,23.062500,26.187500,21.604126,22274300
2000-06-01,27.000000,39.375000,26.500000,36.500000,30.111719,19845100
2000-07-01,35.875000,39.687500,28.625000,34.000000,28.049269,29883300
2000-08-01,34.125000,38.750000,33.250000,34.687500,28.616438,17751200
2000-09-01,35.000000,35.000000,24.500000,31.062500,25.625893,28078000
2000-10-01,31.062500,31.437500,21.375000,30.312500,25.007160,21445000
2000-11-01,29.531200,32.250000,23.062500,23.812500,19.644806,19175300
2000-12-01,24.437500,29.375000,21.812500,27.062500,22.325981,21467800
2001-01-01,27.125000,30.125000,24.187500,27.937500,23.047844,34833800
2001-02-01,28.187500,28.937500,22.625000,25.125000,20.727587,24990200
2001-03-01,25.000000,25.562500,13.875000,14.812500,12.219995,37176500
2001-04-01,15.000000,25.760000,11.187500,24.490000,20.203726,26408800
2001-05-01,24.500000,24.500000,15.750000,16.600000,13.694643,17194300
2001-06-01,16.500000,16.840000,13.200000,16.400000,13.529648,16197300
2001-07-01,16.150000,16.150000,9.600000,9.750000,8.043540,19263400
2001-08-01,9.750000,10.600000,7.400000,10.190000,8.406533,38532300
2001-09-01,10.190000,10.190000,7.400000,9.000000,7.424807,15826200
2001-10-01,8.900000,12.500000,8.140000,11.700000,9.652249,28242100
2001-11-01,11.700000,12.350000,9.900000,10.890000,8.984015,25730400
2001-12-01,10.600000,11.200000,8.900000,10.680000,8.810769,25283800
2002-01-01,10.700000,11.550000,5.900000,7.270000,5.997594,53907300
2002-02-01,7.220000,7.680000,5.100000,6.210000,5.123116,26509500
2002-03-01,6.400000,10.040000,6.220000,6.610000,5.453108,35385800
2002-04-01,6.650000,7.300000,5.230000,7.300000,6.022343,40238800
2002-05-01,7.250000,7.260000,4.050000,4.500000,3.712404,47777200
2002-06-01,4.450000,4.600000,3.620000,3.930000,3.242166,47345500
2002-07-01,3.940000,4.050000,2.260000,2.300000,1.897451,34177300
2002-08-01,2.350000,2.500000,1.000000,2.300000,1.897451,56687600
2002-09-01,2.300000,2.740000,1.860000,2.170000,1.790204,14718200
2002-10-01,2.170000,3.590000,1.680000,3.500000,2.887426,17639100
2002-11-01,3.480000,4.100000,2.950000,3.960000,3.266915,20632600
2002-12-01,4.050000,4.380000,3.050000,3.750000,3.093670,23325400
2003-01-01,3.800000,4.900000,3.160000,3.950000,3.258666,17924300
2003-02-01,4.000000,4.250000,3.210000,3.880000,3.200917,16338300
2003-03-01,3.950000,5.750000,3.800000,5.500000,4.537382,21872100
2003-04-01,5.530000,6.630000,5.250000,6.370000,5.255113,14562000
2003-05-01,6.370000,8.560000,6.090000,8.330000,6.872071,20765600
2003-06-01,8.600000,9.000000,7.210000,7.770000,6.410083,44310200
2003-07-01,7.750000,10.410000,7.700000,9.900000,8.167288,49922900
2003-08-01,10.100000,10.970000,9.470000,10.750000,8.868520,39285200
2003-09-01,10.750000,11.050000,9.000000,9.410000,7.763048,33308600
2003-10-01,9.440000,13.100000,9.350000,12.660000,10.444226,37424200
2003-11-01,12.600000,13.030000,11.400000,12.410000,10.237985,18266100
2003-12-01,12.480000,12.800000,10.800000,11.030000,9.099513,22578900
2004-01-01,11.020000,13.230000,10.900000,12.400000,10.229734,46770500
2004-02-01,12.300000,12.980000,11.350000,12.050000,9.940991,30593800
2004-03-01,12.200000,13.860000,11.750000,12.630000,10.419478,37895300
2004-04-01,12.620000,15.800000,12.510000,13.950000,11.508451,32587900
2004-05-01,14.250000,15.050000,12.990000,14.730000,12.151934,22468800
2004-06-01,14.600000,17.100000,13.660000,14.750000,12.168433,46098200
2004-07-01,14.760000,15.240000,12.550000,14.120000,11.648697,35901000
2004-08-01,14.100000,14.450000,12.650000,14.310000,11.805444,26093900
2004-09-01,14.210000,15.040000,14.050000,14.880000,12.275681,18736500
2004-10-01,14.950000,15.850000,14.600000,15.310000,12.630422,24996600
2004-11-01,15.250000,17.000000,15.000000,16.879999,13.925637,30887000
2004-12-01,16.879999,17.549999,15.930000,16.639999,13.727643,26493900
2005-01-01,16.629999,17.520000,15.940000,16.400000,13.529648,23672600
2005-02-01,16.400000,16.879999,15.500000,16.340000,13.480151,23971500
2005-03-01,16.340000,16.650000,15.400000,16.059999,13.249155,25843900
2005-04-01,16.059999,16.900000,15.710000,16.129999,13.306903,22055500
2005-05-01,16.129999,17.969999,16.000000,17.780001,14.668118,22046200
2005-06-01,17.770000,20.750000,17.700001,20.320000,16.763563,35775300
2005-07-01,20.320000,22.500000,19.809999,21.760000,17.951532,25292400
2005-08-01,21.760000,24.879999,21.309999,24.760000,20.426474,25302400
2005-09-01,24.809999,25.430000,23.059999,24.629999,20.319221,25424000
2005-10-01,24.650000,24.969999,23.469999,24.520000,20.228476,28126100
