Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,2.916667,3.395833,2.291667,2.906250,2.906250,158551200
2000-02-01,2.958333,7.114583,2.833333,6.895833,6.895833,317966400
2000-03-01,6.895833,7.791667,3.468750,4.148438,4.148438,276643200
2000-04-01,4.526042,6.109375,2.895833,5.882813,5.882813,256004800
2000-05-01,6.117188,6.437500,3.875000,4.593750,4.593750,201591200
2000-06-01,4.718750,8.562500,4.578125,7.359375,7.359375,192949600
2000-07-01,7.312500,7.343750,5.218750,6.492188,6.492188,160384800
2000-08-01,6.406250,9.375000,6.125000,9.250000,9.250000,137203200
2000-09-01,9.359375,9.500000,6.574213,7.437500,7.437500,216893600
2000-10-01,7.343750,9.296875,5.484375,8.046875,8.046875,184932000
2000-11-01,8.000000,9.359375,6.140625,7.132813,7.132813,187998400
2000-12-01,7.250000,8.750000,3.359375,4.062500,4.062500,342899200
2001-01-01,4.148438,4.187500,2.343750,3.468750,3.468750,561700000
2001-02-01,3.574213,3.671875,2.742188,3.265625,3.265625,144588000
2001-03-01,3.218750,3.500000,2.117188,3.125000,3.125000,220736800
2001-04-01,3.093750,3.107413,1.800000,2.208750,2.208750,483010400
2001-05-01,2.186250,3.808750,1.922500,3.546250,3.546250,432348800
2001-06-01,3.725000,4.560000,3.125000,3.606250,3.606250,447897600
2001-07-01,3.625000,3.687500,3.050000,3.272500,3.272500,180126400
2001-08-01,3.356250,3.687500,2.582500,3.476250,3.476250,179925600
2001-09-01,3.523750,3.682500,2.562500,3.303750,3.303750,120696000
2001-10-01,3.215000,4.298750,2.931250,4.115000,4.115000,276012000
2001-11-01,4.207500,4.860000,4.117500,4.361250,4.361250,277528000
2001-12-01,4.385000,4.625000,3.600000,3.990000,3.990000,278407200
2002-01-01,4.012500,4.025000,2.831250,3.427500,3.427500,220044800
2002-02-01,3.456250,3.712500,3.061250,3.261250,3.261250,206164000
2002-03-01,3.255000,3.475000,2.690000,3.093750,3.093750,220514400
2002-04-01,3.075000,3.150000,2.297500,2.472500,2.472500,152312800
2002-05-01,2.480000,2.681250,2.193750,2.250000,2.250000,133076000
2002-06-01,2.251250,2.338750,1.415000,1.912500,1.912500,175650400
2002-07-01,1.906250,2.247500,1.421250,2.146250,2.146250,214336800
2002-08-01,2.145000,2.668750,1.963750,2.172500,2.172500,131210400
2002-09-01,2.156250,2.297500,1.856250,2.105000,2.105000,100916000
2002-10-01,2.108750,2.792500,1.882500,2.768750,2.768750,156053600
2002-11-01,2.776250,3.187500,2.605000,3.075000,3.075000,140479200
2002-12-01,3.086250,3.182500,2.562500,2.683750,2.683750,133817600
2003-01-01,2.691250,3.131250,2.588750,2.798750,2.798750,147997600
2003-02-01,2.805000,2.856250,2.518750,2.737500,2.737500,99313600
2003-03-01,2.728750,3.493750,2.725000,3.260000,3.260000,190624000
2003-04-01,3.262500,3.637500,3.090000,3.326250,3.326250,267469600
2003-05-01,3.320000,4.481250,3.215000,3.935000,3.935000,447925600
2003-06-01,3.981250,4.641250,3.751250,3.792500,3.792500,324723200
2003-07-01,3.825000,4.725000,3.565000,4.573750,4.573750,251281600
2003-08-01,4.571250,5.000000,4.087500,4.811250,4.811250,169704000
2003-09-01,4.805000,6.110000,4.747500,5.412500,5.412500,347165600
2003-10-01,5.416250,5.856250,4.811250,5.211250,5.211250,320068000
2003-11-01,5.282500,5.812500,4.565000,5.716250,5.716250,248871200
2003-12-01,5.740000,6.018750,5.353750,5.610000,5.610000,225228000
2004-01-01,5.627500,6.000000,4.815000,5.058750,5.058750,393834400
2004-02-01,5.027500,5.365000,4.685000,5.123750,5.123750,203434400
2004-03-01,5.153750,6.115000,5.137500,5.956250,5.956250,238035200
2004-04-01,5.967500,7.575000,5.625000,6.450000,6.450000,338849600
2004-05-01,6.437500,7.161250,6.271250,7.125000,7.125000,215235200
2004-06-01,7.106250,7.543750,6.636250,7.157500,7.157500,216761600
2004-07-01,7.172500,7.225000,5.831250,6.666250,6.666250,225590400
2004-08-01,6.682500,7.223750,6.125000,7.093750,7.093750,162944000
2004-09-01,7.081250,7.522500,6.943750,7.278750,7.278750,151481600
2004-10-01,7.325000,7.968750,6.880000,7.405000,7.405000,232983600
2004-11-01,7.375000,8.145000,6.580000,6.855000,6.855000,268795200
2004-12-01,6.937500,7.447500,6.437500,6.630000,6.630000,166978000
2005-01-01,6.667500,7.500000,6.175000,6.835000,6.835000,173790800
2005-02-01,6.837500,7.245000,6.552500,6.837500,6.837500,90869200
2005-03-01,6.862500,8.810000,6.815000,8.512500,8.512500,226812800
2005-04-01,8.562500,10.225000,8.302500,9.477500,9.477500,227358000
2005-05-01,9.572500,10.585000,9.005000,10.585000,10.585000,262813200
2005-06-01,10.650000,10.807500,9.750000,10.175000,10.175000,196212800
2005-07-01,10.242500,12.342500,9.887500,11.962500,11.962500,213098400
2005-08-01,11.965000,12.550000,11.400000,12.547500,12.547500,128031600
2005-09-01,12.562500,14.705000,12.537500,13.580000,13.580000,310981200
2005-10-01,13.000000,14.072500,11.295000,14.025000,14.025000,206756000
2005-11-01,14.037500,15.817500,13.832500,15.230000,15.230000,133780400
2005-12-01,15.302500,16.340000,14.000000,16.200001,16.200001,226795200
2006-01-01,16.250000,18.047501,15.752500,17.787500,17.787500,243446400
2006-02-01,17.750000,19.400000,16.742500,19.000000,19.000000,124354600
2006-03-01,19.344999,22.110001,18.799999,22.110001,22.110001,132549200
2006-04-01,22.184999,22.370001,18.010000,21.080000,21.080000,168279200
2006-05-01,21.035000,21.770000,18.639999,20.725000,20.725000,163699400
2006-06-01,20.840000,24.200001,20.129999,23.715000,23.715000,176830800
2006-07-01,23.795000,24.705000,21.615000,23.945000,23.945000,153928400
2006-08-01,23.799999,23.985001,20.240000,20.344999,20.344999,164175400
2006-09-01,20.764999,22.000000,19.655001,21.650000,21.650000,147292800
2006-10-01,21.695000,26.750000,20.840000,26.719999,26.719999,168475200
2006-11-01,26.709999,28.379999,25.000000,27.865000,27.865000,211270800
2006-12-01,27.735001,30.059999,26.750000,28.764999,28.764999,149569400
2007-01-01,29.049999,29.299999,26.344999,26.840000,26.840000,156505000
2007-02-01,27.129999,28.705000,26.150000,26.650000,26.650000,130161000
2007-03-01,26.200001,27.745001,24.730000,26.230000,26.230000,181209800
2007-04-01,26.225000,31.590000,26.200001,30.580000,30.580000,169108200
2007-05-01,30.725000,33.474998,29.684999,30.600000,30.600000,183110000
2007-06-01,30.655001,31.270000,27.950001,28.665001,28.665001,190085400
2007-07-01,28.750000,31.549999,28.250000,30.280001,30.280001,181401600
