Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,4.510417,4.625000,3.614583,3.677083,1.752406,12052400
2000-02-01,3.697917,3.697917,2.541667,2.843750,1.355261,27978400
2000-03-01,2.843750,3.020833,2.447917,2.864583,1.395461,29508800
2000-04-01,2.864583,3.062500,2.666667,2.979167,1.451279,13291600
2000-05-01,2.989583,3.281250,2.906250,3.031250,1.476652,9518400
2000-06-01,3.020833,3.479167,3.000000,3.000000,1.494377,11228400
2000-07-01,2.958333,3.270833,2.937500,2.958333,1.473622,8653600
2000-08-01,2.947917,3.250000,2.885417,2.989583,1.489188,8891200
2000-09-01,3.000000,3.130200,2.604167,3.062500,1.562913,11028800
2000-10-01,3.052083,3.322917,2.833333,3.291667,1.679866,10276000
2000-11-01,3.291667,3.739583,3.270833,3.531250,1.802135,8446000
2000-12-01,3.510417,3.927083,3.416667,3.708333,1.932620,10909200
2001-01-01,3.708333,4.165000,3.260417,4.165000,2.170614,15665600
2001-02-01,4.143333,4.155000,3.418333,3.643333,1.898745,17513200
2001-03-01,3.633333,3.791667,3.366667,3.621667,1.931634,12668400
2001-04-01,3.621667,4.208333,3.621667,3.998333,2.132530,14137600
2001-05-01,3.998333,4.500000,3.933333,4.241667,2.262314,15676400
2001-06-01,4.233333,4.493333,3.948333,4.241667,2.301093,11978800
2001-07-01,4.241667,4.255000,3.923333,4.228333,2.293860,8963200
2001-08-01,4.200000,4.630000,4.173333,4.540000,2.462938,9963200
2001-09-01,4.516667,4.740000,4.266667,4.308333,2.379414,11597200
2001-10-01,4.250000,4.498333,4.058333,4.333333,2.393222,14214000
2001-11-01,4.375000,4.530000,4.190000,4.383333,2.420836,10683600
2001-12-01,4.400000,4.498333,4.236667,4.438334,2.492757,12456800
2002-01-01,4.391667,4.998333,4.256667,4.905000,2.754857,22373600
2002-02-01,4.905000,5.300000,4.608333,5.150000,2.892458,16486000
2002-03-01,5.151667,5.250000,4.646667,4.910000,2.800590,16623200
2002-04-01,4.910000,5.250000,4.675000,4.766667,2.718834,12604800
2002-05-01,4.766667,6.083333,4.753334,5.795000,3.305380,26579200
2002-06-01,5.796667,5.900000,5.200000,5.221667,3.017687,23143200
2002-07-01,5.280000,5.430000,4.405000,4.671667,2.699833,25060400
2002-08-01,4.671667,5.426667,4.671667,5.216667,3.014798,17095600
2002-09-01,5.216667,5.583333,5.045000,5.525000,3.241253,15716000
2002-10-01,5.526667,6.000000,5.475000,5.763333,3.381071,25834400
2002-11-01,5.763333,5.795000,4.666667,5.020000,2.944993,32162000
2002-12-01,5.021667,5.111667,4.858333,5.071667,3.019859,16159600
2003-01-01,5.100000,5.238333,4.598333,4.863333,2.895809,17402800
2003-02-01,4.841667,5.243333,4.741667,4.966667,2.957338,15852000
2003-03-01,4.991667,5.145000,4.690000,5.060000,3.060905,11232400
2003-04-01,5.075000,5.311666,4.975000,5.245000,3.172815,12642800
2003-05-01,5.258333,5.483333,5.116667,5.298333,3.205079,18200000
2003-06-01,5.358333,5.573333,5.258333,5.455000,3.347186,17334400
2003-07-01,5.478333,5.665000,5.353333,5.400000,3.313437,15760000
2003-08-01,5.400000,5.773334,5.266667,5.325000,3.267417,30031200
2003-09-01,5.325000,5.886667,5.250000,5.831666,3.631565,24256800
2003-10-01,5.831666,6.285000,5.728333,6.211667,3.868204,17303200
2003-11-01,6.441667,6.783333,6.308333,6.751667,4.204480,16776400
2003-12-01,6.751667,6.915000,6.361667,6.600000,4.161482,17930800
2004-01-01,6.575000,6.698333,6.403333,6.641667,4.187754,12372000
2004-02-01,6.645000,7.035000,6.566667,6.946667,4.380065,15638000
2004-03-01,6.963333,7.230000,6.766667,7.218333,4.605413,18232400
2004-04-01,7.233333,7.563334,7.033333,7.491667,4.779803,16857200
2004-05-01,7.483333,7.863333,7.250000,7.566667,4.827655,24996000
2004-06-01,7.575000,7.691667,7.333333,7.630000,4.920894,19858800
2004-07-01,7.625000,7.988333,7.275000,7.363333,4.748910,25104400
2004-08-01,7.333333,7.746666,6.986667,7.495000,4.833829,27730800
2004-09-01,7.495000,7.820000,6.862500,7.015000,4.559865,19977600
2004-10-01,7.000000,7.062500,6.712500,6.805000,4.423361,18765600
2004-11-01,6.805000,7.907500,6.715000,7.805000,5.073378,31380800
2004-12-01,7.782500,8.412500,7.700000,8.405000,5.506420,21743600
2005-01-01,8.387500,8.612500,8.030000,8.607500,5.639086,21643200
2005-02-01,8.607500,9.217500,8.490000,8.842500,5.793044,27996000
2005-03-01,8.855000,9.040000,8.677500,8.867500,5.849430,20242400
2005-04-01,8.850000,9.297500,8.812500,9.005000,5.940133,16852000
2005-05-01,9.050000,9.372500,8.287500,9.040000,5.963219,35117200
2005-06-01,8.995000,9.672500,8.682500,9.050000,6.010096,29683200
2005-07-01,9.080000,9.577500,8.942500,9.387500,6.234229,16491600
2005-08-01,9.387500,9.750000,9.042500,9.540000,6.335504,22665200
2005-09-01,9.537500,9.905000,8.845000,9.235000,6.172297,21548800
2005-10-01,9.235000,9.252500,8.525000,8.762500,5.856499,22013200
2005-11-01,8.750000,9.000000,8.150000,8.305000,5.550723,33411200
2005-12-01,8.312500,8.487500,8.162500,8.257500,5.557548,22496400
2006-01-01,8.282500,9.295000,8.175000,9.200000,6.191879,23259200
2006-02-01,9.192500,9.192500,8.237500,8.632500,5.809935,31196800
2006-03-01,8.677500,9.417500,8.597500,9.230000,6.253290,23200000
2006-04-01,9.245000,9.270000,8.837500,9.167500,6.210945,16213600
2006-05-01,9.150000,9.635000,8.785000,9.037500,6.122873,29438400
2006-06-01,9.037500,9.145000,8.682500,9.105000,6.208136,23800400
2006-07-01,9.100000,9.232500,8.787500,9.125000,6.221770,21272800
2006-08-01,9.110000,9.625000,9.057500,9.625000,6.562688,22469600
2006-09-01,9.632500,9.900000,9.500000,9.777500,6.716542,15668000
2006-10-01,9.775000,10.252500,9.690000,10.142500,6.967273,20877600
2006-11-01,10.160000,10.742500,10.027500,10.477500,7.197401,19066400
2006-12-01,10.480000,10.892500,10.380000,10.662500,7.373653,18885200
2007-01-01,10.750000,11.392500,10.705000,11.327500,7.833532,21447600
2007-02-01,11.337500,12.067500,10.965000,11.987500,8.289956,27865600
2007-03-01,11.985000,12.587500,11.675000,12.587500,8.759575,32427600
2007-04-01,13.000000,13.232500,12.632500,12.682500,8.825681,24213200
2007-05-01,12.682500,13.185000,12.050000,12.502500,8.700420,33421200
2007-06-01,12.550000,12.665000,12.035000,12.115000,8.477812,24522800
2007-07-01,12.167500,12.625000,11.955000,12.265000,8.582782,41371600
2007-08-01,12.197500,12.712500,11.000000,11.232500,7.860261,50760000
2007-09-01,11.220000,11.810000,10.590000,11.760000,8.284647,32436000
2007-10-01,11.760000,11.987500,11.450000,11.827500,8.332199,22414800
2007-11-01,11.737500,14.107500,11.587500,14.030000,9.883807,44657200
2007-12-01,13.972500,14.297500,13.490000,13.517500,9.582858,36205600
2008-01-01,13.490000,14.167500,12.500000,13.305000,9.432210,48909200
2008-02-01,13.307500,13.997500,13.082500,13.365000,9.474749,35913200
2008-03-01,13.272500,13.590000,12.850000,13.560000,9.670295,32886000
2008-04-01,13.637500,14.427500,13.637500,14.205000,10.130274,32247600
2008-05-01,14.160000,14.607500,13.350000,14.232500,10.149884,42162400
2008-06-01,14.237500,14.405000,13.562500,14.087500,10.106036,31431200
2008-07-01,13.992500,14.105000,12.177500,13.717500,9.840605,57588000
2008-08-01,13.785000,15.825000,13.645000,15.625000,11.209004,49458800
2008-09-01,15.730000,16.385000,14.630000,15.522500,11.201362,42459200
2008-10-01,15.445000,16.022499,11.897500,14.772500,10.660145,83962400
2008-11-01,14.830000,15.372500,13.395000,14.860000,10.723284,74582000
2008-12-01,14.590000,14.640000,12.402500,14.030000,10.187497,64170800
2009-01-01,14.037500,14.037500,12.847500,13.307500,9.662874,40255200
2009-02-01,13.242500,13.710000,11.940000,12.230000,8.880477,49567600
2009-03-01,12.057500,13.210000,11.352500,13.057500,9.545036,64213200
2009-04-01,12.912500,13.770000,12.805000,13.602500,9.943433,50401600
2009-05-01,13.615000,14.625000,12.317500,12.567500,9.186844,60231600
2009-06-01,12.610000,13.952500,12.427500,13.577500,9.990837,54768400
2009-07-01,13.602500,14.995000,13.130000,14.745000,10.849927,41591200
2009-08-01,14.745000,15.285000,14.125000,14.282500,10.509606,55860000
2009-09-01,14.177500,14.390000,13.677500,14.185000,10.540570,42778000
