Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,11.984375,12.500000,9.437500,9.562500,3.504422,22876400
2000-02-01,9.375000,10.500000,8.250000,8.328125,3.052053,29988800
2000-03-01,8.390625,9.765625,7.531250,9.390625,3.564986,27374000
2000-04-01,9.515625,9.984375,8.765625,8.890625,3.375171,19548800
2000-05-01,8.859375,9.000000,8.015625,8.132800,3.087475,13698000
2000-06-01,8.156250,8.546875,6.808575,6.808575,2.683459,22681200
2000-07-01,6.921875,9.343750,6.765625,7.992175,3.149949,42602000
2000-08-01,8.062500,9.250000,8.015625,8.875000,3.497897,22915200
2000-09-01,8.921875,9.187500,7.437500,7.484375,3.051711,20110800
2000-10-01,7.468750,8.593750,7.125000,8.500000,3.465827,19360400
2000-11-01,8.562500,8.859375,8.078125,8.828125,3.599617,16162000
2000-12-01,8.937500,9.703125,8.109375,9.484375,4.012277,28172400
2001-01-01,9.546875,10.109375,8.656250,9.380000,3.968122,23339200
2001-02-01,9.442500,9.812500,8.600000,9.237500,3.907838,19502400
2001-03-01,9.500000,10.817500,8.875000,9.385000,4.098758,31697600
2001-04-01,9.335000,10.625000,8.942500,10.350000,4.520208,20788800
2001-05-01,10.287500,11.375000,10.137500,10.587500,4.623933,21612800
2001-06-01,10.500000,11.000000,9.435000,9.675000,4.347239,64686800
2001-07-01,9.875000,10.875000,9.575000,10.177500,4.573027,22653600
2001-08-01,10.225000,10.500000,9.200000,9.437500,4.240526,20694400
2001-09-01,9.475000,9.677500,7.000000,8.250000,3.822550,26228000
2001-10-01,8.305000,8.950000,7.687500,7.827500,3.626789,28512800
2001-11-01,7.817500,9.182500,7.735000,9.065000,4.200171,22364400
2001-12-01,9.052500,9.912500,8.937500,9.635000,4.615309,20217200
2002-01-01,9.650000,9.997500,8.370000,9.422500,4.513518,26668800
2002-02-01,9.380000,10.850000,9.212500,10.395000,4.979360,35310400
2002-03-01,10.395000,11.995000,10.307500,11.807500,5.819950,46041600
2002-04-01,11.762500,12.572500,10.382500,10.637500,5.243253,60434000
2002-05-01,10.712500,10.870000,9.000000,9.202500,4.535938,46001200
2002-06-01,9.202500,9.245000,7.587500,8.275000,4.205901,52156400
2002-07-01,8.275000,8.400000,6.797500,8.075000,4.104248,53997600
2002-08-01,8.012500,8.105000,7.140000,7.447500,3.785310,34057600
2002-09-01,7.250000,7.437500,5.727500,5.905000,3.120569,38821600
2002-10-01,5.902500,6.505000,4.900000,5.990000,3.165487,79196000
2002-11-01,5.962500,7.950000,5.900000,7.860000,4.153710,45752000
2002-12-01,8.000000,8.085000,6.860000,7.032500,3.870724,41893600
2003-01-01,7.050000,7.387500,5.912500,6.175000,3.398751,49396400
2003-02-01,6.175000,6.492500,5.762500,5.992500,3.298301,34676800
2003-03-01,6.010000,6.912500,5.430000,6.150000,3.559326,70054800
2003-04-01,6.062500,6.835000,5.625000,6.777500,3.922492,53178800
2003-05-01,6.777500,8.680000,6.660000,8.570000,4.959905,68774400
2003-06-01,8.662500,10.465000,8.662500,8.972500,5.404806,89063600
2003-07-01,8.875000,11.625000,8.562500,11.582500,6.977004,86274800
2003-08-01,11.575000,12.515000,11.402500,12.460000,7.505589,68242000
2003-09-01,12.460000,12.725000,10.950000,11.107500,6.860875,77825200
2003-10-01,11.107500,13.077500,11.107500,11.850000,7.319500,73778800
2003-11-01,11.852500,11.930000,10.887500,11.612500,7.172801,45276000
2003-12-01,11.637500,12.525000,11.297500,12.235000,7.765691,38438000
2004-01-01,12.225000,13.740000,12.165000,12.682500,8.049723,44590000
2004-02-01,12.662500,13.375000,12.030000,12.350000,7.838683,46418400
2004-03-01,12.350000,14.710000,12.350000,14.612500,9.493287,52438400
2004-04-01,14.615000,16.665001,14.572500,14.952500,9.714176,73000000
2004-05-01,14.952500,15.475000,13.332500,14.560000,9.459180,81424000
2004-06-01,14.537500,16.000000,14.535000,15.625000,10.376531,42751200
2004-07-01,15.625000,17.572500,14.770000,17.357500,11.527080,83753200
2004-08-01,17.312500,17.655001,16.257500,16.822500,11.171788,58812400
2004-09-01,16.822500,18.547501,16.822500,18.472500,12.496920,46434400
2004-10-01,18.420000,19.237499,16.434999,17.520000,11.852542,72633600
2004-11-01,17.520000,20.000000,17.125000,19.905001,13.466030,52627200
