Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,17.723860,17.771505,14.960463,15.579844,6.375649,38405700
2000-02-01,15.579844,15.770424,13.697876,14.531659,5.946708,43119900
2000-03-01,14.579304,17.962084,14.102857,17.628571,7.386289,53642800
2000-04-01,17.580925,19.010269,17.342701,18.081196,7.575942,37489100
2000-05-01,18.200308,21.940424,18.176485,21.821312,9.310823,67539000
2000-06-01,21.702200,21.988068,19.200848,19.319960,8.243529,48879000
2000-07-01,19.391428,20.296679,17.842972,19.361620,8.261308,43109900
2000-08-01,19.439072,23.822392,19.081736,23.578184,10.251966,65324800
2000-09-01,23.584169,26.681080,22.464516,23.917683,10.399581,65480600
2000-10-01,24.012972,26.014053,22.845675,23.536524,10.233851,49759700
2000-11-01,23.631813,24.108261,21.297218,21.535442,9.498933,46107100
2000-12-01,21.821312,22.655096,19.629652,21.678377,9.561980,67715000
2001-01-01,21.773666,22.488338,20.201389,22.347309,9.857035,55531900
2001-02-01,22.297760,22.377802,19.705883,20.319548,8.962620,172419700
2001-03-01,20.205200,22.164354,19.877405,20.982763,9.404694,115935600
2001-04-01,21.005632,23.041018,20.117535,22.717033,10.182008,128542300
2001-05-01,22.720844,25.918762,21.116169,24.676188,11.227464,133859900
2001-06-01,24.622826,24.962055,21.062807,21.726023,9.885158,97333300
2001-07-01,21.794630,22.164354,20.048925,21.760326,9.900766,97282800
2001-08-01,22.050007,22.770395,21.344864,21.916601,10.144162,89999400
2001-09-01,22.107180,22.816135,19.057915,20.559677,9.516105,78659300
2001-10-01,20.559677,22.202469,19.915520,20.738821,9.599025,95850500
2001-11-01,20.792185,21.726023,19.309479,21.203835,9.976976,101128900
2001-12-01,21.203835,23.231598,20.917967,22.968597,10.807345,77129800
2002-01-01,22.930483,23.136307,21.844181,22.286325,10.486318,94936200
2002-02-01,22.202469,22.793264,21.078053,22.530266,10.601099,65690900
2002-03-01,22.697975,24.317898,22.259644,23.936741,11.448839,87060600
2002-04-01,23.990103,24.432245,22.069065,22.797077,10.903739,83192100
