Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,2.296875,2.312500,1.520833,1.567708,1.532914,41150400
2000-02-01,1.653646,2.809896,1.583333,2.273438,2.222980,69062400
2000-03-01,2.291667,3.005208,1.876302,2.604167,2.546368,80769600
2000-04-01,2.545571,2.604167,1.010417,1.911458,1.869034,39590400
2000-05-01,2.013021,2.708333,1.945313,2.333333,2.281546,37569600
2000-06-01,2.286458,2.500000,1.354167,1.382813,1.352121,52401600
2000-07-01,1.385417,2.041667,1.289063,1.713542,1.675510,58156800
2000-08-01,1.708333,1.933592,1.635417,1.781250,1.741716,19068000
2000-09-01,1.791667,1.802083,1.312500,1.625000,1.588934,51067200
2000-10-01,1.617188,1.708333,1.390625,1.708333,1.670418,46860000
2000-11-01,1.677083,1.875000,1.494792,1.541667,1.507450,52744800
2000-12-01,1.546875,1.848958,1.203125,1.513021,1.479440,46077600
2001-01-01,1.519529,2.239583,1.312500,2.052083,2.006538,31624800
2001-02-01,2.028646,2.080729,1.601563,1.750000,1.711159,23839200
2001-03-01,1.739583,1.770833,1.158854,1.252604,1.224803,53872800
2001-04-01,1.252604,1.983333,1.160417,1.761667,1.722567,85197600
2001-05-01,1.758333,1.885417,1.610417,1.700417,1.662677,27564000
2001-06-01,1.706250,1.866667,1.542083,1.768750,1.729493,38404800
2001-07-01,1.756250,1.918750,1.588333,1.843750,1.802829,52178400
2001-08-01,1.843750,1.910417,1.647917,1.762083,1.722975,34596000
2001-09-01,1.762083,1.762083,0.760417,0.933333,0.912618,73238400
2001-10-01,0.937500,1.322500,0.737500,1.175833,1.149736,85360800
2001-11-01,1.176250,1.462917,1.100833,1.333750,1.304148,30480000
2001-12-01,1.341250,1.887917,1.335417,1.707500,1.669603,52413600
2002-01-01,1.705000,1.737917,1.352083,1.529583,1.495635,78868800
2002-02-01,1.533333,1.543333,1.347917,1.477500,1.444708,31824000
2002-03-01,1.485833,1.768750,1.475000,1.754167,1.715234,29719200
2002-04-01,1.760417,2.004167,1.563750,1.958333,1.914869,65186400
2002-05-01,1.949583,2.312500,1.882500,2.032083,1.986982,90588000
2002-06-01,2.005417,2.250000,1.679167,2.239583,2.189877,123254400
2002-07-01,2.216250,2.520833,1.948750,2.438333,2.384216,224400000
2002-08-01,2.472917,2.555833,1.946250,2.392083,2.338992,247473600
2002-09-01,2.370833,2.700833,2.219167,2.394583,2.341437,251299200
2002-10-01,2.402083,2.934583,1.970417,2.757083,2.695891,511795200
2002-11-01,2.760000,3.115833,2.666667,2.974583,2.908564,275472000
2002-12-01,3.025417,3.187917,2.845833,3.009583,2.942787,161035200
2003-01-01,3.029167,3.057083,2.320000,2.511250,2.455514,565320000
2003-02-01,2.582083,2.932917,2.497083,2.925000,2.860081,737325600
2003-03-01,2.921250,2.966667,2.568750,2.804583,2.742337,366079200
2003-04-01,2.812500,2.926250,2.225000,2.245000,2.195173,543576800
2003-05-01,2.225000,2.668750,2.140000,2.593750,2.536183,232364000
2003-06-01,2.607500,3.300000,2.356250,3.048750,2.981084,275908000
2003-07-01,3.018750,4.098750,3.000000,3.851250,3.765773,248640000
2003-08-01,3.851250,4.417500,3.540000,4.353750,4.257120,134274400
2003-09-01,4.405000,5.103750,4.396250,4.557500,4.456348,190459200
2003-10-01,4.573750,5.748750,4.567500,5.673750,5.547824,198324000
2003-11-01,5.717500,5.962500,5.392500,5.733750,5.606492,110220000
2003-12-01,5.740000,6.198750,5.101250,5.705000,5.578380,198512800
2004-01-01,5.772500,7.148750,5.740000,6.768750,6.618520,285208000
2004-02-01,6.781250,6.867500,5.757500,5.908750,5.777608,201618400
2004-03-01,5.886250,6.020000,5.043750,5.656250,5.530712,214019200
