Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,9.097801,9.168878,7.190580,8.173806,5.034172,54099900
2000-02-01,8.161960,8.387035,7.107657,7.735500,4.764221,45451400
2000-03-01,7.771039,9.713799,6.906274,9.666414,5.953455,63031000
2000-04-01,9.666414,10.981331,9.038571,10.827332,6.680382,35088100
2000-05-01,10.732563,11.170868,9.097801,9.133340,5.635205,41755800
2000-06-01,9.038571,9.630876,8.872725,9.370261,5.781382,40452200
2000-07-01,9.358416,9.654568,8.564727,9.654568,5.966419,40193100
2000-08-01,9.654568,10.756255,9.228108,10.649640,6.581366,40373900
2000-09-01,10.697024,10.732563,8.837187,9.429492,5.827326,45520400
2000-10-01,9.382108,11.964557,9.287339,11.964557,7.410260,54103900
2000-11-01,11.940865,12.473939,11.360406,12.355477,7.652378,44992100
2000-12-01,12.402862,13.232089,11.692097,12.959628,8.026557,53028000
2001-01-01,12.959628,13.018859,10.910254,12.221380,7.581504,95435200
2001-02-01,12.221380,12.600455,11.775967,12.024261,7.459222,50959400
2001-03-01,12.024261,12.329416,9.895755,10.341167,6.415119,77941700
2001-04-01,10.386657,11.192191,9.763078,10.615997,6.597767,69720700
2001-05-01,10.703184,12.357847,10.111827,11.937074,7.418811,93481100
2001-06-01,11.865049,12.412813,10.519333,10.614101,6.596585,80869100
2001-07-01,10.642532,11.220622,10.367702,10.725928,6.676896,67580700
2001-08-01,10.216073,11.141016,10.149734,10.532600,6.556550,222410200
2001-09-01,10.443518,10.784685,8.320698,8.942381,5.566638,140461400
2001-10-01,8.908264,11.334344,8.637225,10.564822,6.590913,199770900
2001-11-01,10.591357,11.713419,10.485216,11.116376,6.935002,103510500
2001-12-01,10.955269,12.149356,10.633056,11.431008,7.131285,134188600
2002-01-01,11.372252,12.177786,11.089841,12.081122,7.550236,123949800
2002-02-01,11.978772,13.256255,11.239575,12.742608,7.963638,132343800
2002-03-01,12.746399,14.073161,12.621304,13.460956,8.412578,158754400
2002-04-01,13.476118,14.302502,12.998484,13.567097,8.491659,101464400
2002-05-01,13.542457,13.798332,12.757771,13.195602,8.259142,89521000
2002-06-01,13.197498,13.239197,11.614860,12.575815,7.871215,140412100
2002-07-01,12.575815,12.577710,10.253981,11.760803,7.373287,139858800
2002-08-01,11.762699,12.149356,10.536391,11.400682,7.147515,92536200
2002-09-01,11.353298,11.561790,9.969674,10.775208,6.755382,123230600
2002-10-01,10.898408,11.565580,10.041698,10.964746,6.890880,207399100
2002-11-01,10.936316,12.096285,10.498484,11.910539,7.485272,112191400
2002-12-01,12.130402,12.735026,11.393101,12.452616,7.825946,100593300
2003-01-01,12.482942,12.973844,11.286960,11.639500,7.329524,109414100
2003-02-01,11.648976,12.414708,11.438590,12.323730,7.760393,93255100
2003-03-01,12.355951,12.983320,11.755117,12.463988,7.848717,134795700
2003-04-01,12.500000,13.468536,12.319940,13.074299,8.249116,136054600
2003-05-01,13.074299,13.614481,12.145565,12.683851,8.002771,131534400
2003-06-01,12.746399,13.694086,12.746399,12.898028,8.137904,124738200
2003-07-01,12.898028,13.855193,12.380591,13.684609,8.650606,120242100
2003-08-01,13.686505,14.698635,13.392722,14.641774,9.255670,101049100
2003-09-01,14.689158,14.901441,13.804018,13.999242,8.849498,94212600
2003-10-01,13.987869,15.845337,13.978393,15.703184,9.943945,95382800
2003-11-01,15.864291,16.165655,15.119409,15.769523,9.985951,71289900
2003-12-01,15.807430,17.503790,15.608416,17.390068,11.012156,98241800
2004-01-01,17.409021,18.093252,16.635710,17.352161,11.004018,124660800
2004-02-01,17.494314,17.977634,16.961714,16.988249,10.773237,80978100
2004-03-01,17.134193,18.233511,16.612965,17.697119,11.222775,112120900
2004-04-01,17.655420,18.233511,17.437452,17.536013,11.137111,95143100
2004-05-01,17.536013,18.006065,16.728582,17.827900,11.322488,92218200
2004-06-01,17.755877,19.711903,17.691433,19.655043,12.482903,75809100
2004-07-01,19.655043,19.719484,18.309326,19.200151,12.203732,79347400
2004-08-01,19.200151,19.499620,18.062927,19.492039,12.389262,61412900
2004-09-01,19.492039,20.075815,18.885519,19.438969,12.355524,75717400
