Date,Open,High,Low,Close,Adj Close,Volume
2005-07-01,7.920286,8.329075,7.020950,7.291773,7.291773,176088400
2005-08-01,7.235565,8.201328,6.903424,7.736331,7.736331,152116500
2005-09-01,7.690342,7.894737,7.235565,7.373531,7.373531,63254300
2005-10-01,7.368421,7.465508,6.995401,7.199796,7.199796,83830800
2005-11-01,7.158916,8.155340,7.041390,7.976495,7.976495,55308000
2005-12-01,8.007154,8.293306,7.700562,7.741441,7.741441,70472600
2006-01-01,7.726111,7.996934,7.695452,7.746551,7.746551,46629800
2006-02-01,7.690342,7.756771,7.317322,7.460399,7.460399,35453700
2006-03-01,7.501277,7.721002,7.092488,7.664793,7.664793,57775300
2006-04-01,7.746551,7.756771,7.322433,7.613695,7.613695,49949000
2006-05-01,7.613695,7.695452,6.959632,7.087379,7.087379,61159500
2006-06-01,7.066939,7.634134,6.954522,7.475728,7.475728,49963200
2006-07-01,7.460399,7.572815,6.775677,6.806336,6.806336,40720700
2006-08-01,6.796116,7.388861,6.545733,7.158916,7.158916,39215900
2006-09-01,7.158916,7.439959,6.847215,7.388861,7.388861,33521000
2006-10-01,7.358202,7.756771,7.245784,7.583035,7.583035,38736300
2006-11-01,7.613695,8.109351,7.439959,7.838528,7.838528,34566100
2006-12-01,7.838528,8.666326,7.669903,8.221768,8.221768,47526400
2007-01-01,8.262647,8.911599,8.221768,8.467041,8.467041,50497400
2007-02-01,8.461931,8.610118,8.114461,8.206438,8.206438,40397300
2007-03-01,8.078691,9.954011,7.930506,9.775167,9.775167,98659000
2007-04-01,9.775167,11.338784,9.770056,11.113950,11.113950,100210300
2007-05-01,11.113950,12.130813,10.853347,11.946857,11.946857,98597100
2007-06-01,11.936638,12.621359,11.568727,11.747573,11.747573,80360300
2007-07-01,11.773122,13.285642,11.624936,12.120593,12.120593,105024300
2007-08-01,12.074604,13.357180,11.200817,12.835974,12.835974,102832900
2007-09-01,12.902402,14.987226,12.708227,14.741952,14.741952,80566700
2007-10-01,14.777721,15.232499,13.847726,14.568216,14.568216,79072600
2007-11-01,14.532448,14.690853,11.522738,12.498722,12.498722,105501400
2007-12-01,12.871742,14.486459,12.570261,12.846193,12.846193,72620900
2008-01-01,12.764436,13.035258,11.369443,11.865100,11.865100,80773600
2008-02-01,11.946857,12.396525,10.899336,11.532959,11.532959,101345300
2008-03-01,11.532959,11.768012,10.000000,10.843127,10.843127,89763800
2008-04-01,10.909555,11.992846,10.802248,11.834440,11.834440,84381200
2008-05-01,11.747573,13.638222,11.747573,13.382729,13.382729,93214800
2008-06-01,13.403168,13.709760,11.190598,11.221257,11.221257,116136100
2008-07-01,11.221257,11.246806,9.908023,10.158405,10.158405,117197000
2008-08-01,10.286152,10.546755,9.075115,10.337251,10.337251,157838800
2008-09-01,10.510986,10.786919,6.944303,7.281553,7.281553,119813000
2008-10-01,7.225345,7.506387,5.120082,6.969852,6.969852,99294000
2008-11-01,6.745018,7.812979,5.774144,7.664793,7.664793,97138200
2008-12-01,7.296883,7.792540,6.356668,7.235565,7.235565,108321400
2009-01-01,7.220235,7.864078,6.969852,7.409300,7.409300,65144800
2009-02-01,7.271334,7.966275,6.366888,7.925396,7.925396,77942100
2009-03-01,7.823199,8.834951,7.363311,8.185999,8.185999,86047900
2009-04-01,8.201328,10.163516,8.175779,9.703628,9.703628,86080600
2009-05-01,9.729177,11.492080,9.202862,11.471641,11.471641,77653400
2009-06-01,11.532959,12.304547,10.158405,11.502299,11.502299,77952400
2009-07-01,11.548288,12.606030,10.945325,12.519162,12.519162,63188400
2009-08-01,12.519162,13.806848,12.330097,13.244762,13.244762,68236900
2009-09-01,13.157895,15.252938,12.897292,14.762391,14.762391,57652500
2009-10-01,14.900357,16.019417,13.970363,14.052120,14.052120,74178500
