Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,25.500000,29.562500,24.812500,29.125000,17.108471,23510900
2000-02-01,29.375000,30.000000,25.000000,26.250000,15.580282,16871900
2000-03-01,26.000000,26.187500,15.250000,16.562500,9.830419,65844500
2000-04-01,16.375000,19.437500,16.312500,19.062500,11.314252,27943600
2000-05-01,18.812500,21.812500,18.625000,21.375000,12.904975,26782100
2000-06-01,21.437500,21.937500,19.875000,20.500000,12.376695,21771400
2000-07-01,20.500000,21.000000,19.000000,19.687500,12.046294,18939500
2000-08-01,20.250000,21.625000,19.500000,20.703100,12.667716,19426500
2000-09-01,20.500000,26.625000,19.187500,19.328100,11.826385,45759800
2000-10-01,19.437500,24.000000,19.000000,23.875000,14.608525,43058500
2000-11-01,24.250000,24.437500,21.687500,22.937500,14.234169,20721500
2000-12-01,22.937500,22.937500,14.125000,15.625000,9.696304,74527700
2001-01-01,15.500000,15.812500,6.250000,13.340000,8.278316,160692200
2001-02-01,12.900000,15.440000,11.650000,14.900000,9.246396,44130700
2001-03-01,14.530000,15.490000,10.840000,12.640000,7.843918,40010700
2001-04-01,12.100000,12.980000,7.510000,9.850000,6.112550,46990400
2001-05-01,9.750000,12.030000,8.860000,10.830000,6.720702,34558800
2001-06-01,10.930000,12.050000,9.870000,11.150000,6.919281,31366400
2001-07-01,11.400000,15.080000,11.050000,14.040000,8.712708,39138200
2001-08-01,14.040000,14.600000,13.200000,13.610000,8.445866,24231700
2001-09-01,13.500000,14.040000,10.460000,13.160000,8.166614,29453200
2001-10-01,13.160000,16.120001,13.010000,14.210000,8.818203,33759100
2001-11-01,14.390000,15.480000,13.800000,15.100000,9.370505,16579100
2001-12-01,15.100000,15.700000,14.600000,15.100000,9.370505,17822000
2002-01-01,15.100000,15.870000,14.950000,15.450000,9.587704,18444700
2002-02-01,15.450000,16.680000,14.820000,15.800000,9.804900,35685400
2002-03-01,15.920000,17.559999,15.780000,16.750000,10.394436,34986200
2002-04-01,16.650000,18.280001,16.450001,18.150000,11.263221,30063100
2002-05-01,18.000000,19.600000,17.860001,18.660000,11.579709,39568400
2002-06-01,18.660000,19.250000,16.260000,17.000000,10.549575,39127800
2002-07-01,16.860001,17.240000,10.700000,13.100000,8.129379,42769700
2002-08-01,13.000000,13.770000,10.500000,11.980000,7.434348,45770200
2002-09-01,11.800000,12.000000,8.800000,10.000000,6.205635,56212600
2002-10-01,10.000000,10.800000,7.800000,10.050000,6.236663,46646600
2002-11-01,10.750000,12.150000,10.100000,11.090000,6.882050,33611500
2002-12-01,11.200000,12.250000,10.100000,11.850000,7.353677,24913800
2003-01-01,11.850000,13.490000,11.490000,12.330000,7.651546,24455400
2003-02-01,12.200000,12.950000,10.570000,12.360000,7.670164,23465300
2003-03-01,12.650000,14.000000,12.140000,13.690000,8.495512,29923400
2003-04-01,13.690000,15.130000,13.300000,14.590000,9.054020,22046700
