Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,4.296875,4.484375,3.687500,3.968750,3.144634,76659200
2000-02-01,3.937500,4.203125,3.421875,3.812500,3.043131,69859200
2000-03-01,3.875000,6.015625,3.812500,5.296875,4.227957,103470800
2000-04-01,5.500000,6.234375,5.437500,6.218750,4.963796,78097600
2000-05-01,6.250000,8.156250,6.218750,8.125000,6.551072,143030000
2000-06-01,8.218750,8.718750,7.406250,8.351550,6.733733,84105600
2000-07-01,8.390625,8.453125,6.671875,7.390625,5.958954,111028400
2000-08-01,7.375000,9.875000,7.359375,9.562500,7.744592,93316400
2000-09-01,9.625000,10.218750,8.968750,9.718750,7.871140,82743600
2000-10-01,9.859375,10.968750,8.828125,9.843750,7.972377,112742000
2000-11-01,10.734375,11.593750,9.703125,10.609375,8.621101,173028000
2000-12-01,10.671875,14.171875,10.625000,13.656250,11.096972,118491200
2001-01-01,13.609375,13.875000,10.265625,10.935000,8.885707,147109200
2001-02-01,11.037500,12.187500,10.550000,10.900000,8.883377,76456800
2001-03-01,10.812500,12.675000,9.825000,10.307500,8.400497,118121600
2001-04-01,10.370000,12.255000,9.415000,11.597500,9.451833,110824800
2001-05-01,11.560000,12.465000,10.287500,11.222500,9.180390,122328400
2001-06-01,11.262500,11.517500,8.727500,8.887500,7.270281,126129200
2001-07-01,9.012500,9.247500,7.687500,8.837500,7.229384,110695200
2001-08-01,8.925000,9.072500,7.752500,7.905000,6.497823,93158800
2001-09-01,8.125000,8.297500,6.450000,7.232500,5.945037,78523600
2001-10-01,7.152500,9.850000,6.912500,8.842500,7.268437,166248800
2001-11-01,8.775000,9.500000,7.625000,8.745000,7.222270,128629200
2001-12-01,8.375000,9.915000,8.350000,9.777500,8.074987,99983200
2002-01-01,9.550000,9.602500,7.625000,8.497500,7.017869,117022400
2002-02-01,8.497500,8.925000,7.790000,8.797500,7.299383,67069600
2002-03-01,8.875000,10.330000,8.675000,10.140000,8.413271,88554000
2002-04-01,10.215000,10.737500,9.432500,10.637500,8.826053,65260000
2002-05-01,10.325000,11.037500,10.097500,10.250000,8.538670,64254800
2002-06-01,10.285000,10.285000,9.277500,9.925000,8.267931,70748800
2002-07-01,9.900000,9.920000,7.505000,8.572500,7.141243,73934400
2002-08-01,8.672500,9.100000,7.967500,8.710000,7.288895,50583600
2002-09-01,8.585000,9.087500,8.172500,8.990000,7.523213,51441600
2002-10-01,8.775000,9.832500,8.100000,9.000000,7.531584,81855600
2002-11-01,9.212500,10.182500,8.830000,9.692500,8.147532,76826800
2002-12-01,9.865000,10.500000,9.665000,9.980000,8.389202,68196400
2003-01-01,10.112500,10.362500,8.925000,9.690000,8.145427,83664000
2003-02-01,9.692500,10.707500,9.452500,10.325000,8.715027,76728400
2003-03-01,10.325000,10.707500,9.575000,9.890000,8.347857,92742400
2003-04-01,9.952500,10.070000,9.140000,9.345000,7.887839,87342800
2003-05-01,9.322500,10.775000,9.177500,10.775000,9.133059,98438400
2003-06-01,10.795000,11.390000,10.132500,10.460000,8.866063,107668800
2003-07-01,10.460000,10.460000,9.425000,9.695000,8.217635,81519600
2003-08-01,9.695000,10.610000,9.467500,10.600000,9.031613,78952400
2003-09-01,10.600000,10.717500,10.072500,10.435000,8.891027,70432400
2003-10-01,10.360000,10.737500,10.212500,10.535000,8.976231,71176000
2003-11-01,10.560000,10.915000,10.315000,10.485000,8.975954,56550800
2003-12-01,10.500000,11.880000,10.487500,11.542500,9.881255,72480800
2004-01-01,11.512500,11.862500,11.122500,11.325000,9.695057,75945600
2004-02-01,11.297500,11.455000,10.612500,11.122500,9.563715,70877200
2004-03-01,11.187500,11.572500,10.820000,11.472500,9.864666,82733200
2004-04-01,11.487500,12.697500,11.330000,12.312500,10.586944,84140800
2004-05-01,12.362500,13.820000,12.277500,13.357500,11.543948,116021200
2004-06-01,13.500000,15.922500,12.957500,14.927500,12.900791,99714400
2004-07-01,14.965000,15.950000,14.825000,15.887500,13.730452,87344400
2004-08-01,15.887500,16.525000,13.800000,14.442500,12.530370,110648400
2004-09-01,14.475000,16.717501,14.437500,16.462500,14.282932,90129600
2004-10-01,16.462500,18.120001,16.219999,16.639999,14.436930,96406400
2004-11-01,16.775000,19.125000,16.037500,18.767500,16.340281,116153200
2004-12-01,18.767500,18.837500,17.092501,17.840000,15.532737,92142800
2005-01-01,17.840000,18.700001,16.025000,18.562500,16.161789,120494400
2005-02-01,18.687500,23.325001,18.682501,22.780001,19.905193,131787200
2005-03-01,22.600000,24.420000,21.867500,24.370001,21.294529,119624400
2005-04-01,24.625000,26.250000,21.400000,23.775000,20.774622,111899600
2005-05-01,23.475000,25.500000,21.200001,24.945000,21.833822,103817200
2005-06-01,25.275000,28.969999,24.565001,28.400000,24.857912,89089000
2005-07-01,28.840000,32.939999,28.590000,30.549999,26.739769,87007000
2005-08-01,31.525000,32.605000,29.375000,31.915001,27.970999,91334600
2005-09-01,32.549999,38.500000,32.165001,37.450001,32.821999,114064000
2005-10-01,38.025002,39.185001,29.980000,33.889999,29.701925,142970800
2005-11-01,33.500000,36.849998,31.065001,35.875000,31.478498,122870800
2005-12-01,36.244999,41.000000,35.895000,36.685001,32.189240,108237200
2006-01-01,37.000000,43.160000,37.000000,42.270000,37.089794,127415400
2006-02-01,42.575001,43.455002,32.805000,33.700001,29.600258,168630200
2006-03-01,33.779999,37.610001,32.060001,36.000000,31.620449,157772000
2006-04-01,36.700001,39.619999,34.244999,35.115002,30.843119,101217400
2006-05-01,35.615002,38.645000,29.799999,32.830002,28.882998,158957800
2006-06-01,32.064999,34.990002,28.155001,34.669998,30.501785,183611000
2006-07-01,35.105000,37.779999,32.150002,37.075001,32.617634,133260000
2006-08-01,36.084999,36.825001,32.064999,32.410000,28.562290,138642200
2006-09-01,32.424999,33.410000,29.225000,32.525002,28.663626,165122600
2006-10-01,32.650002,35.535000,29.940001,33.264999,29.315779,176773200
2006-11-01,33.125000,36.134998,32.290001,35.264999,31.136974,139388000
2006-12-01,34.955002,35.360001,30.934999,31.225000,27.569902,96757200
2007-01-01,30.905001,34.875000,29.605000,34.564999,30.518930,155091400
2007-02-01,34.750000,34.974998,32.200001,33.869999,29.965248,103623800
2007-03-01,33.185001,36.544998,32.000000,35.669998,31.557732,106911600
2007-04-01,35.740002,38.855000,35.575001,36.720001,32.486694,89391600
2007-05-01,37.365002,39.605000,36.900002,38.450001,34.098843,103401400
2007-06-01,38.955002,40.744999,35.665001,36.529999,32.396122,111156000
2007-07-01,36.709999,38.459999,34.150002,35.049999,31.083601,118339000
2007-08-01,35.320000,37.915001,32.645000,33.680000,29.940905,143479600
2007-09-01,33.680000,37.625000,33.430000,36.165001,32.150009,86871000
2007-10-01,36.205002,44.855000,36.099998,44.299999,39.381889,130518800
2007-11-01,43.735001,45.365002,40.395000,41.389999,36.876518,111270200
2007-12-01,41.250000,45.814999,40.785000,44.625000,39.758732,80194800
2008-01-01,45.000000,47.180000,38.590000,43.665001,38.903431,125311400
2008-02-01,43.709999,64.949997,43.435001,59.494999,53.109810,173058200
2008-03-01,59.535000,64.074997,52.950001,60.000000,53.560616,153188800
2008-04-01,60.610001,70.245003,58.880001,65.239998,58.238258,107433800
2008-05-01,64.595001,72.495003,61.360001,64.315002,57.521820,133263400
2008-06-01,63.950001,68.625000,61.305000,65.599998,58.671066,146527200
2008-07-01,65.764999,66.945000,49.000000,50.264999,44.955830,189734800
2008-08-01,50.814999,55.770000,45.529999,52.209999,46.789722,156031000
2008-09-01,49.459999,51.110001,39.900002,44.730000,40.086266,211787400
2008-10-01,44.044998,45.400002,27.209999,40.459999,36.259552,263528600
2008-11-01,38.915001,44.439999,32.000000,42.509998,38.242290,185183200
2008-12-01,40.755001,41.400002,29.945000,33.290001,29.947924,167797000
2009-01-01,33.970001,36.415001,30.145000,33.884998,30.483179,156962800
2009-02-01,33.180000,35.860001,24.430000,25.020000,22.599127,171095200
2009-03-01,24.135000,33.325001,22.514999,27.379999,24.730782,215053000
2009-04-01,26.879999,33.465000,26.545000,31.740000,28.668917,146405200
2009-05-01,31.754999,39.560001,31.639999,36.595001,33.209576,154538800
2009-06-01,37.369999,39.255001,32.849998,33.959999,30.818340,177517600
2009-07-01,34.369999,37.480000,30.145000,37.014999,33.590725,140785200
2009-08-01,37.599998,39.825001,35.509998,36.000000,32.816765,96625200
2009-09-01,35.869999,42.215000,34.314999,41.755001,38.062904,118719800
2009-10-01,41.790001,47.930000,39.685001,40.830002,37.219700,138024800
2009-11-01,40.869999,46.330002,40.185001,43.244999,39.549114,117775800
2009-12-01,43.805000,50.880001,42.000000,48.650002,44.492176,108681000
2010-01-01,49.674999,50.220001,44.685001,45.209999,41.346176,89305000
2010-02-01,45.630001,49.110001,43.389999,47.025002,43.137169,101447000
2010-03-01,47.235001,49.689999,43.764999,46.470001,42.628036,117824400
2010-04-01,47.014999,57.474998,47.005001,56.060001,51.425186,133162400
2010-05-01,56.410000,57.450001,46.639999,52.419998,48.225353,133034800
2010-06-01,51.794998,56.950001,49.025002,49.185001,45.249218,157345400
2010-07-01,49.259998,54.235001,47.889999,48.750000,44.849014,104501400
2010-08-01,49.654999,51.875000,42.709999,43.435001,40.075642,129505400
2010-09-01,44.139999,47.424999,43.634998,46.485001,42.889755,115432600
2010-10-01,47.055000,51.029999,46.830002,47.860001,44.158394,88396400
2010-11-01,48.439999,49.180000,43.000000,44.474998,41.164219,135612800
2010-12-01,45.244999,48.035000,44.764999,45.705002,42.302670,73647600
2011-01-01,46.224998,53.290001,45.419998,53.195000,49.235088,93810400
2011-02-01,53.360001,57.584999,51.169998,56.154999,52.141850,85629600
2011-03-01,54.750000,60.720001,51.000000,59.255001,55.020309,134038600
2011-04-01,59.584999,59.910000,53.919998,56.525002,52.485416,71862000
2011-05-01,56.740002,56.900002,50.919998,54.570000,50.819004,84704000
2011-06-01,54.755001,56.020000,48.310001,52.275002,48.681767,107480400
2011-07-01,52.185001,53.939999,48.200001,51.000000,47.494392,94015600
2011-08-01,51.945000,52.160000,42.790001,46.294998,43.252769,164413600
2011-09-01,46.660000,47.080002,34.775002,35.505001,33.171825,111806000
2011-10-01,35.070000,47.630001,33.404999,44.715000,41.776588,137533200
2011-11-01,42.994999,52.235001,41.939999,51.869999,48.653736,123036200
2011-12-01,51.814999,53.099998,46.505001,49.255001,46.200893,98013200
2012-01-01,50.305000,53.750000,49.910000,53.070000,49.779331,91064600
2012-02-01,53.474998,59.985001,52.340000,56.930000,53.566139,105450400
2012-03-01,57.125000,58.985001,53.575001,55.549999,52.267677,83760400
2012-04-01,55.494999,57.165001,50.294998,54.904999,51.660797,87192800
2012-05-01,55.150002,56.119999,47.889999,49.650002,46.871094,101104200
2012-06-01,47.939999,48.700001,41.240002,45.055000,42.533276,145698200
2012-07-01,44.770000,50.810001,43.770000,49.005001,46.262188,95116200
2012-08-01,49.465000,55.779999,47.639999,54.150002,51.310844,87050400
2012-09-01,54.130001,59.845001,53.595001,56.025002,53.087524,63408200
2012-10-01,56.494999,58.285000,53.880001,58.244999,55.191135,67922200
2012-11-01,58.244999,62.244999,56.360001,58.810001,55.901234,82898000
2012-12-01,59.119999,62.250000,58.285000,60.395000,57.407837,57130400
2013-01-01,61.700001,64.714996,60.720001,62.490002,59.399212,60239800
2013-02-01,63.320000,69.099998,60.380001,62.855000,59.909554,75449600
2013-03-01,62.320000,66.419998,60.500000,64.035004,61.034260,68097600
2013-04-01,64.035004,65.099998,56.025002,60.580002,57.741169,88243200
2013-05-01,60.195000,69.500000,58.880001,64.550003,61.705544,93817600
2013-06-01,65.074997,68.995003,62.264999,65.839996,62.938690,62152600
2013-07-01,66.894997,75.025002,66.620003,72.745003,69.539413,75041600
2013-08-01,73.785004,80.735001,73.785004,78.525002,75.259735,70216600
2013-09-01,79.730003,86.959999,78.525002,84.639999,81.120453,56347200
2013-10-01,84.305000,94.150002,84.275002,89.199997,85.490845,79018600
2013-11-01,89.305000,91.800003,82.095001,82.500000,79.233551,77279400
2013-12-01,83.000000,85.250000,78.004997,83.919998,80.597328,85691600
2014-01-01,83.285004,86.639999,80.629997,82.620003,79.348816,70765000
2014-02-01,82.305000,95.540001,80.750000,94.709999,91.162872,87900800
2014-03-01,94.525002,99.750000,90.830002,98.084999,94.411499,84702200
2014-04-01,99.379997,105.500000,96.529999,98.000000,94.329666,85676000
2014-05-01,98.330002,106.709999,96.010002,105.800003,101.966766,68746700
2014-06-01,105.949997,118.889999,104.949997,116.860001,112.626068,64411500
2014-07-01,117.440002,118.809998,109.370003,109.440002,105.474899,56337000
2014-08-01,108.650002,112.120003,103.570000,109.879997,106.013474,62161800
2014-09-01,109.570000,109.849998,97.449997,99.019997,95.535614,85033700
2014-10-01,99.209999,99.730003,81.070000,95.050003,91.705338,166937300
2014-11-01,95.050003,103.040001,85.190002,86.720001,83.835938,112956600
2014-12-01,85.519997,97.269997,83.660004,92.070000,89.008026,145748300
2015-01-01,91.010002,94.410004,82.720001,89.029999,86.069107,107779300
2015-02-01,90.989998,97.879997,86.580002,89.720001,86.907310,117997600
2015-03-01,89.720001,92.500000,84.099998,91.690002,88.815559,87646400
2015-04-01,92.040001,100.440002,89.230003,98.949997,95.847931,76278300
2015-05-01,99.209999,101.360001,88.000000,88.690002,86.061836,87736300
2015-06-01,89.019997,91.480003,86.150002,87.550003,84.955612,81251600
2015-07-01,87.849998,87.849998,72.860001,77.190002,74.902626,110324800
2015-08-01,76.199997,80.879997,68.150002,78.309998,76.139069,131906000
2015-09-01,76.019997,81.180000,69.099998,72.800003,70.781807,98405700
2015-10-01,73.800003,88.300003,71.589996,85.849998,83.470047,101723100
2015-11-01,85.139999,89.519997,80.500000,83.430000,81.276756,70942900
2015-12-01,83.449997,84.129997,69.300003,70.790001,68.963005,103848200
2016-01-01,70.800003,71.180000,57.150002,71.019997,69.187065,121721800
2016-02-01,69.300003,72.769997,63.060001,64.739998,63.237469,108202700
2016-03-01,65.099998,77.699997,62.529999,72.580002,70.895538,108916100
2016-04-01,70.849998,85.430000,69.660004,82.620003,80.702507,79566700
2016-05-01,82.330002,83.940002,77.040001,81.360001,79.643860,71283900
2016-06-01,80.650002,86.870003,78.110001,83.419998,81.660408,67601600
2016-07-01,83.779999,85.959999,78.040001,81.699997,79.976685,49873600
2016-08-01,81.040001,92.099998,78.260002,88.489998,86.794220,70931600
2016-09-01,88.309998,97.199997,87.180000,96.709999,94.856705,76207200
2016-10-01,96.269997,98.320000,90.180000,90.419998,88.687233,51844100
2016-11-01,91.320000,103.070000,88.940002,102.519997,100.730568,85458700
2016-12-01,105.709999,109.370003,100.540001,101.099998,99.335350,79462000
2017-01-01,102.629997,106.790001,99.570000,101.580002,99.806992,59545300
2017-02-01,102.190002,102.629997,95.269997,96.989998,95.449471,65775000
2017-03-01,98.250000,100.540001,92.910004,97.550003,96.000580,86531400
2017-04-01,97.500000,100.529999,91.160004,92.500000,91.030785,48164700
2017-05-01,92.529999,96.650002,88.199997,90.309998,89.026871,76152600
2017-06-01,90.639999,91.980003,85.879997,90.519997,89.233871,80380600
2017-07-01,91.000000,96.900002,87.040001,95.139999,93.788239,58067600
2017-08-01,94.910004,95.580002,81.989998,84.989998,83.937683,75863100
2017-09-01,85.000000,98.370003,84.589996,96.739998,95.542206,55940200
2017-10-01,95.519997,100.410004,94.870003,99.870003,98.633453,47902200
2017-11-01,100.790001,107.949997,96.709999,101.430000,100.348099,95287200
2017-12-01,103.320000,109.660004,98.470001,107.910004,106.758980,46400700
