Date,Open,High,Low,Close,Adj Close,Volume
2000-08-01,408.000000,528.000000,382.000000,518.000000,436.376434,1376700
2000-09-01,516.000000,520.000000,276.000000,284.000000,239.248856,424000
2000-10-01,300.000000,328.000000,130.000000,312.000000,262.836761,401300
2000-11-01,311.497589,336.000000,136.000000,140.000000,117.939552,226200
2000-12-01,140.000000,244.000000,104.000000,140.000000,117.939552,177200
2001-01-01,141.497604,240.000000,104.000000,190.000000,160.060837,174100
2001-02-01,190.000000,224.000000,116.000000,120.000000,101.091072,138700
2001-03-01,118.998398,136.000000,34.000000,40.000000,33.697025,291500
2001-04-01,44.000000,59.200001,16.000000,42.240002,35.584061,572500
2001-05-01,43.200001,61.119999,32.000000,41.599998,35.044899,229500
2001-06-01,44.160000,49.919998,32.320000,34.240002,28.844654,266600
2001-07-01,35.200001,49.599998,32.000000,44.799999,37.740662,132800
2001-08-01,41.279999,44.480000,23.040001,23.360001,19.679058,107900
2001-09-01,24.000000,24.959999,10.560000,14.400000,12.130927,331800
2001-10-01,14.080000,24.320000,11.200000,17.280001,14.557114,353500
2001-11-01,17.280001,66.239998,15.360000,52.799999,44.480068,412700
2001-12-01,54.400002,111.360001,40.639999,92.800003,78.177094,435000
2002-01-01,90.559998,112.959999,63.040001,73.279999,61.732929,391600
2002-02-01,74.559998,74.879997,38.720001,40.000000,33.697025,267200
2002-03-01,40.959999,47.040001,31.680000,38.720001,32.618729,338500
2002-04-01,39.680000,40.000000,15.680000,18.240000,15.365841,525400
2002-05-01,18.879999,19.840000,10.880000,14.720000,12.400504,448300
2002-06-01,15.360000,16.320000,9.920000,11.200000,9.435165,166200
2002-07-01,11.520000,20.480000,9.920000,15.360000,12.939656,183700
2002-08-01,15.360000,16.959999,8.960000,9.920000,8.356861,238200
2002-09-01,9.600000,12.800000,6.080000,10.880000,9.165589,220000
2002-10-01,10.240000,14.720000,6.720000,8.960000,7.548133,426100
2002-11-01,8.640000,12.800000,8.000000,11.200000,9.435165,639900
2002-12-01,11.520000,11.840000,5.600000,5.700000,4.801826,349900
2003-01-01,5.760000,7.950000,2.000000,3.500000,2.948489,1015500
2003-02-01,3.120000,4.490000,3.000000,3.450000,2.906368,609900
2003-03-01,3.420000,4.380000,2.850000,2.950000,2.485155,919400
2003-04-01,3.040000,3.430000,2.850000,3.250000,2.737883,774000
2003-05-01,3.300000,9.000000,3.300000,8.320000,7.008979,2483900
2003-06-01,8.310000,10.670000,7.360000,7.850000,6.613040,1388200
2003-07-01,7.610000,20.250000,7.500000,19.049999,16.048208,1954500
2003-08-01,17.750000,18.750000,12.000000,18.540001,15.618571,2300200
2003-09-01,18.000000,23.650000,17.500000,18.639999,15.702811,2635200
2003-10-01,18.350000,20.750000,17.600000,18.200001,15.332145,1230000
2003-11-01,18.200001,27.799999,16.799999,26.709999,22.501184,6041500
2003-12-01,26.549999,29.150000,24.059999,28.209999,23.764820,2756400
2004-01-01,28.309999,37.540001,28.200001,32.910000,27.724226,4435700
2004-02-01,32.500000,33.599998,24.240000,28.490000,24.000702,6216400
2004-03-01,28.879999,36.990002,27.750000,36.230000,30.521076,5145400
2004-04-01,36.099998,36.639999,28.330000,29.190001,24.590399,4580000
2004-05-01,29.340000,32.500000,27.270000,31.549999,26.578527,2674300
2004-06-01,31.660000,34.029999,30.000000,33.939999,28.591915,3073500
2004-07-01,33.950001,34.750000,26.500000,32.500000,27.378832,4037400
2004-08-01,32.380001,33.270000,28.520000,31.790001,26.780708,2531100
2004-09-01,31.600000,32.450001,29.610001,30.770000,25.921432,1284600
2004-10-01,30.629999,39.000000,30.100000,37.689999,31.751011,3660300
2004-11-01,37.500000,41.380001,35.610001,38.880001,32.753502,3607900
2004-12-01,38.709999,43.849998,37.040001,42.740002,36.005268,3071300
2005-01-01,43.000000,43.419998,40.139999,41.939999,35.331329,2049800
2005-02-01,41.430000,45.000000,41.279999,43.790001,36.889820,2154800
2005-03-01,43.189999,46.389999,40.410000,42.340000,35.668301,3796300
2005-04-01,40.660000,41.799999,34.580002,34.980000,29.468040,2854100
2005-05-01,34.669998,38.240002,31.389999,38.099998,32.096416,4799200
2005-06-01,37.669998,44.759998,35.790001,43.340000,36.510719,4674500
2005-07-01,42.380001,45.500000,41.419998,44.369999,37.378418,2284500
2005-08-01,43.990002,44.490002,38.110001,38.970001,32.829319,3305500
2005-09-01,38.799999,44.119999,38.049999,41.650002,35.087021,2925100
2005-10-01,41.349998,42.150002,35.040001,36.889999,31.077074,3774400
2005-11-01,36.480000,41.599998,35.209999,39.919998,33.629627,11179100
2005-12-01,39.799999,42.750000,39.270000,40.759998,34.337265,4754900
2006-01-01,40.430000,47.799999,40.009998,46.930000,39.535027,6865200
2006-02-01,46.570000,52.630001,44.430000,52.439999,44.176800,7878000
2006-03-01,52.279999,64.410004,50.150002,64.220001,54.100563,10649700
2006-04-01,63.000000,66.330002,55.130001,65.900002,55.515839,11871500
2006-05-01,65.570000,65.919998,53.470001,58.279999,49.096558,8506000
2006-06-01,58.259998,61.650002,47.500000,54.860001,46.215469,12090700
2006-07-01,54.189999,55.490002,45.610001,52.380001,44.126244,7287700
2006-08-01,51.779999,59.680000,47.330002,57.669998,48.582676,12559500
2006-09-01,58.060001,64.820000,57.470001,60.099998,50.629776,9280400
2006-10-01,59.630001,70.739998,57.849998,68.400002,57.621906,10012400
2006-11-01,68.019997,77.669998,66.599998,76.510002,64.453987,7542000
2006-12-01,75.580002,83.110001,73.330002,75.620003,63.704212,8373800
2007-01-01,76.000000,84.940002,71.949997,84.070000,70.822723,9928400
2007-02-01,84.150002,88.830002,78.550003,82.669998,69.643318,10345200
2007-03-01,81.220001,90.279999,79.019997,85.629997,72.136887,11568700
2007-04-01,85.980003,91.540001,83.250000,83.470001,70.317253,8886000
2007-05-01,83.269997,88.360001,76.639999,87.379997,73.611137,13596000
2007-06-01,87.650002,93.370003,82.540001,91.470001,77.056671,10138500
2007-07-01,93.230003,97.000000,86.169998,86.910004,73.215202,10721400
2007-08-01,86.320000,98.330002,83.559998,88.510002,74.563095,17929700
2007-09-01,87.620003,92.370003,80.379997,88.690002,74.714714,20885700
2007-10-01,88.489998,121.129997,88.489998,116.660004,98.277359,17599800
2007-11-01,116.430000,121.070000,95.750000,104.110001,87.704926,14636600
