Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,10.531250,10.718750,8.156250,8.718750,4.747588,27422800
2000-02-01,8.593750,9.468750,6.812500,6.875000,3.743617,24138600
2000-03-01,6.906250,7.125000,6.031250,6.031250,3.284172,23693600
2000-04-01,6.000000,6.375000,4.781250,4.812500,2.620533,20426600
2000-05-01,4.750000,6.250000,4.531250,4.593750,2.501417,30313000
2000-06-01,4.562500,4.937500,4.406250,4.625000,2.518433,34421600
2000-07-01,4.718750,4.906250,4.093750,4.500000,2.450367,24663400
2000-08-01,4.531250,4.968750,4.250000,4.914050,2.675828,15536400
2000-09-01,4.718750,5.312500,4.312500,4.406250,2.399318,20234800
2000-10-01,4.375000,4.687500,3.843750,3.968750,2.161088,19283000
2000-11-01,3.843750,4.062500,3.375000,4.031250,2.195121,18128800
2000-12-01,4.062500,4.562500,3.843750,4.281250,2.331252,22247400
2001-01-01,4.281250,6.062500,4.156250,5.850000,3.185477,37386400
2001-02-01,5.855000,7.125000,5.850000,7.025000,3.825298,28320600
2001-03-01,7.100000,7.345000,5.985000,6.525000,3.553033,28933800
2001-04-01,6.525000,7.200000,6.120000,7.080000,3.855244,26829600
2001-05-01,7.175000,8.575000,6.925000,7.835000,4.266363,38882400
2001-06-01,7.825000,8.200000,5.525000,5.525000,3.008505,28528200
2001-07-01,5.550000,6.490000,5.115000,5.380000,2.929550,49566600
2001-08-01,5.600000,6.320000,5.340000,6.190000,3.370617,80410200
2001-09-01,6.200000,6.250000,5.200000,5.495000,2.992171,33242600
2001-10-01,5.425000,5.550000,4.700000,5.550000,3.022120,37074600
2001-11-01,5.465000,6.720000,5.275000,6.675000,3.634712,38168200
2001-12-01,6.550000,7.120000,6.025000,6.695000,3.645602,34713200
2002-01-01,6.625000,7.790000,6.530000,7.775000,4.233691,39977800
2002-02-01,7.775000,8.045000,6.875000,7.325000,3.988654,58738800
2002-03-01,7.325000,8.920000,7.285000,8.810000,4.797275,65130000
2002-04-01,8.800000,9.300000,8.300000,8.880000,4.835393,53485600
2002-05-01,8.825000,10.415000,8.685000,9.875000,5.377197,73305800
2002-06-01,9.880000,10.350000,8.880000,8.925000,4.859896,66780800
2002-07-01,8.875000,9.250000,6.210000,7.635000,4.157458,64755000
2002-08-01,7.500000,8.635000,7.010000,8.195000,4.462391,44352800
2002-09-01,7.400000,7.810000,5.875000,6.730000,3.664662,67109600
2002-10-01,6.610000,6.800000,4.975000,6.100000,3.321609,77816800
2002-11-01,6.150000,7.850000,6.150000,7.750000,4.220078,43347800
2002-12-01,7.750000,8.480000,7.000000,8.390000,4.568574,53798800
2003-01-01,8.225000,9.650000,8.225000,9.385000,5.110378,78479200
2003-02-01,9.365000,9.560000,8.210000,8.510000,4.633917,98386600
2003-03-01,8.515000,8.845000,8.005000,8.525000,4.642085,61002200
2003-04-01,8.525000,9.410000,8.360000,8.655000,4.712873,70659600
2003-05-01,8.775000,11.015000,8.775000,10.975000,6.034638,85758400
2003-06-01,10.950000,12.850000,10.850000,12.250000,6.735700,91631600
2003-07-01,12.225000,13.960000,11.725000,13.395000,7.365282,76691800
2003-08-01,13.395000,15.205000,12.925000,15.000000,8.307825,87143200
2003-09-01,15.000000,17.285000,14.950000,16.549999,9.166304,85653600
2003-10-01,16.549999,19.674999,16.365000,19.375000,10.730945,126260800
2003-11-01,19.375000,21.764999,18.924999,21.764999,12.115252,84843200
2003-12-01,22.250000,23.370001,19.254999,21.065001,11.725605,124738200
2004-01-01,20.975000,22.450001,17.545000,18.430000,10.258857,166932200
2004-02-01,18.430000,21.655001,17.635000,21.325001,11.982048,115320400
2004-03-01,21.495001,22.430000,18.905001,19.545000,10.981907,164835800
2004-04-01,19.540001,19.924999,14.630000,15.250000,8.568638,159680400
2004-05-01,15.250000,17.245001,13.880000,16.815001,9.548948,151597200
2004-06-01,16.915001,17.389999,15.080000,16.575001,9.412661,100333800
2004-07-01,16.674999,18.309999,15.945000,17.424999,9.895357,99196600
2004-08-01,17.420000,18.920000,15.770000,18.815001,10.808057,93493800
2004-09-01,18.815001,21.065001,18.315001,20.250000,11.632375,89599400
2004-10-01,20.424999,21.275000,17.395000,18.110001,10.403078,131551600
2004-11-01,18.245001,20.709999,17.445000,19.565001,11.380862,96525000
2004-12-01,19.525000,19.715000,16.990000,19.115000,11.119101,81389800
2005-01-01,19.040001,19.245001,17.559999,18.405001,10.777414,98628600
2005-02-01,18.325001,21.035000,17.809999,20.910000,12.418880,105821000
2005-03-01,20.910000,21.950001,18.809999,19.805000,11.762607,118229400
2005-04-01,19.875000,20.155001,16.870001,17.330000,10.419968,122225000
2005-05-01,17.330000,18.250000,15.760000,17.650000,10.752048,102932400
2005-06-01,17.670000,19.400000,17.250000,18.719999,11.403870,96157600
2005-07-01,18.825001,20.375000,18.559999,20.139999,12.268909,89705000
2005-08-01,20.250000,21.745001,19.770000,21.084999,13.010541,107170800
2005-09-01,21.405001,24.740000,20.955000,24.295000,14.991276,120840800
2005-10-01,24.205000,25.125000,21.900000,24.709999,15.421442,133509000
2005-11-01,24.549999,26.895000,24.504999,26.055000,16.433075,91761800
2005-12-01,26.434999,28.174999,25.969999,26.900000,16.966024,90610400
2006-01-01,27.145000,32.389999,27.025000,32.125000,20.448723,149090800
2006-02-01,32.250000,32.500000,24.940001,25.315001,16.282629,161616000
2006-03-01,25.315001,30.844999,23.555000,29.885000,19.222054,158124000
2006-04-01,30.850000,36.099998,30.344999,32.290001,20.978275,181415200
