Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,2.015625,2.375000,1.921875,2.304688,2.070163,4042400
2000-02-01,2.265625,2.328125,1.671875,1.984375,1.782446,11192800
2000-03-01,1.960938,2.406250,1.085938,1.148438,1.031573,32652000
2000-04-01,1.187500,1.187500,0.859375,0.921875,0.828065,7291200
2000-05-01,0.984375,1.359375,0.855462,0.867188,0.778943,9142400
2000-06-01,0.873038,0.890625,0.656250,0.812500,0.729820,18012800
2000-07-01,0.804688,1.250000,0.804688,0.968750,0.870170,8980800
2000-08-01,1.023438,1.093750,0.656250,0.695313,0.624558,11008800
2000-09-01,0.710938,0.890625,0.703125,0.750000,0.673680,10702400
2000-10-01,0.751950,0.812500,0.671875,0.750000,0.673680,4352800
2000-11-01,0.734375,0.765625,0.437500,0.449212,0.403501,12220800
2000-12-01,0.462887,0.695313,0.375000,0.695313,0.624558,14684800
2001-01-01,0.689450,0.695313,0.515625,0.625000,0.561400,12892000
2001-02-01,0.638663,1.070313,0.601563,0.875000,0.785960,8818400
2001-03-01,0.843750,1.125000,0.789063,1.019525,0.915779,11137600
2001-04-01,1.007813,1.892500,0.968750,1.761250,1.582026,30355200
2001-05-01,1.750000,2.343750,1.706250,2.006250,1.802095,20425600
2001-06-01,2.000000,3.277500,1.925000,3.128750,2.810369,23494400
2001-07-01,2.687500,3.928750,2.657500,3.761250,3.378506,47760800
2001-08-01,3.750000,4.412500,3.328750,3.525000,3.166298,36049600
2001-09-01,3.470000,5.250000,3.375000,5.128750,4.606851,51686400
2001-10-01,5.243750,5.906250,4.687500,5.790000,5.200811,67040800
2001-11-01,5.790000,6.193750,4.218750,5.018750,4.508043,71098400
2001-12-01,5.016250,6.098750,4.451250,4.740000,4.257658,62153600
2002-01-01,4.700000,5.808750,4.600000,5.707500,5.126708,40684800
2002-02-01,5.698750,7.125000,5.340000,6.816250,6.122630,93926400
2002-03-01,6.818750,7.437500,5.131250,5.968750,5.361372,175660800
2002-04-01,6.101250,6.588750,4.670000,4.983750,4.476604,93148000
2002-05-01,5.063750,5.950000,4.366250,5.531250,4.968391,103136800
2002-06-01,5.527500,5.726250,4.850000,5.246250,4.712392,41660800
2002-07-01,5.188750,5.500000,4.550000,5.112500,4.592253,52884800
2002-08-01,5.123750,5.261250,4.580000,4.743750,4.261029,50432800
2002-09-01,4.710000,5.081250,4.347500,4.373750,3.928678,52515200
2002-10-01,4.498750,6.000000,3.421250,5.916250,5.314215,93448800
2002-11-01,5.881250,6.218750,5.156250,5.437500,4.884183,62487200
2002-12-01,5.475000,6.211250,5.357500,6.100000,5.479265,43072800
2003-01-01,6.112500,6.621250,5.772500,5.840000,5.245722,44485600
2003-02-01,5.803750,6.100000,5.125000,5.526250,4.963899,40513600
2003-03-01,5.541250,6.050000,5.186250,5.926250,5.323196,38840000
2003-04-01,5.937500,6.622500,5.641250,6.512500,5.849788,40846400
2003-05-01,6.470000,7.180000,6.233750,7.130000,6.404452,57851600
2003-06-01,7.222500,8.050000,6.907500,7.527500,6.761504,52780000
2003-07-01,7.557500,8.065000,6.305000,6.775000,6.085577,43805200
2003-08-01,6.825000,6.972500,6.157500,6.612500,5.939615,34364800
2003-09-01,6.625000,7.155000,6.192500,6.355000,5.708316,33650400
2003-10-01,6.355000,8.122500,6.320000,7.817500,7.021995,41190400
2003-11-01,7.975000,8.747500,7.567500,8.615000,7.738339,24499600
2003-12-01,8.702500,9.250000,8.485000,9.125000,8.196444,22545200
2004-01-01,9.090000,10.112500,8.737500,9.050000,8.129075,28910000
2004-02-01,9.037500,10.207500,8.880000,9.607500,8.629844,32096400
2004-03-01,9.640000,10.050000,9.050000,9.530000,8.560230,25128800
2004-04-01,9.512500,12.417500,9.442500,11.710000,10.518394,44020400
2004-05-01,11.837500,12.590000,10.942500,12.300000,11.048355,36334400
2004-06-01,12.322500,15.720000,12.042500,13.725000,12.328348,49005200
2004-07-01,14.000000,16.242500,12.830000,15.907500,14.288756,62913200
2004-08-01,16.174999,16.667500,14.200000,14.592500,13.107569,51776000
2004-09-01,13.995000,15.992500,13.982500,14.625000,13.136764,37984000
2004-10-01,14.832500,15.162500,12.287500,13.302500,11.948844,53376000
2004-11-01,12.927500,15.450000,12.927500,14.087500,12.653960,35895200
2004-12-01,14.102500,16.080000,13.450000,15.947500,14.324690,28949600
2005-01-01,15.830000,15.995000,14.130000,15.237500,13.686936,18470400
2005-02-01,15.380000,16.250000,14.475000,15.625000,14.035005,22246600
2005-03-01,15.550000,17.475000,13.685000,15.150000,13.608340,31378400
2005-04-01,15.265000,15.465000,11.925000,13.300000,11.946596,38799800
2005-05-01,13.810000,13.810000,12.445000,13.405000,12.040912,25109800
2005-06-01,13.425000,15.465000,13.375000,14.920000,13.401743,29828400
2005-07-01,15.000000,17.674999,14.375000,16.445000,14.771563,34228600
2005-08-01,16.764999,18.180000,15.840000,16.145000,14.502090,26504200
2005-09-01,16.030001,16.200001,13.900000,14.785000,13.280480,26046000
2005-10-01,14.555000,15.100000,10.325000,10.480000,9.413556,56471000
2005-11-01,10.425000,12.420000,10.235000,12.400000,11.138179,44959400
2005-12-01,11.105000,11.770000,10.335000,11.165000,10.028854,31525600
2006-01-01,11.155000,12.730000,11.135000,11.850000,10.644146,19015200
2006-02-01,11.825000,13.265000,11.685000,12.920000,11.605267,26250200
2006-03-01,12.920000,14.315000,12.835000,14.205000,12.759503,29900200
