Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,18.812500,20.500000,18.625000,19.937500,8.583475,1838100
2000-02-01,20.062500,20.062500,17.750000,19.250000,8.287489,1782100
2000-03-01,19.187500,19.687500,18.500000,19.312500,8.314401,1955100
2000-04-01,19.250000,21.750000,18.937500,21.250000,9.362529,1888900
2000-05-01,21.500000,22.312500,21.250000,21.937500,9.665438,1522800
2000-06-01,21.812500,22.000000,20.000000,20.015600,8.818666,2412100
2000-07-01,20.250000,21.937500,20.250000,21.375000,9.621352,1823700
2000-08-01,21.375000,21.687500,20.000000,20.000000,9.002431,1491000
2000-09-01,20.125000,21.000000,19.125000,19.125000,8.608578,1903400
2000-10-01,19.312500,19.937500,18.750000,19.250000,8.874033,2365300
2000-11-01,19.312500,19.562500,18.875000,19.250000,8.874033,1996500
2000-12-01,19.312500,20.000000,18.937500,19.000000,8.758786,2384000
2001-01-01,19.125000,19.990000,19.062500,19.719999,9.311600,2472500
2001-02-01,19.799999,19.950001,19.299999,19.799999,9.349369,1515400
2001-03-01,19.790001,20.299999,19.129999,19.559999,9.236047,3083800
2001-04-01,19.559999,19.750000,18.969999,19.500000,9.430789,2556000
2001-05-01,19.580000,21.309999,19.299999,20.850000,10.083692,4278900
2001-06-01,20.969999,21.719999,20.530001,20.740000,10.030486,3747200
2001-07-01,20.680000,21.680000,20.600000,21.500000,10.633231,3418500
2001-08-01,21.510000,23.879999,21.500000,22.750000,11.251435,2490100
2001-09-01,22.750000,23.150000,19.400000,22.000000,10.880514,2239500
2001-10-01,22.049999,22.750000,20.799999,21.820000,10.791491,2544400
2001-11-01,21.860001,23.570000,21.850000,22.370001,11.306106,3225300
2001-12-01,22.370001,23.959999,22.200001,23.000000,11.624513,2149500
2002-01-01,23.010000,24.879999,22.600000,24.309999,12.541905,3419000
2002-02-01,24.299999,25.410000,24.020000,25.160000,12.980438,1654800
2002-03-01,25.160000,26.340000,25.120001,25.670000,13.243555,2835300
2002-04-01,25.620001,28.500000,25.500000,26.950001,14.168245,4692500
2002-05-01,26.950001,27.850000,25.299999,27.400000,14.404817,4274600
2002-06-01,27.459999,28.059999,26.490000,27.709999,14.567788,3344300
2002-07-01,27.709999,28.000000,21.830000,27.299999,14.611818,5067900
2002-08-01,27.299999,27.549999,25.650000,27.000000,14.451248,5185600
2002-09-01,26.950001,27.500000,26.200001,27.000000,14.451248,2692100
2002-10-01,26.990000,27.100000,23.980000,26.350000,14.357963,3244500
2002-11-01,26.400000,27.500000,26.299999,27.290001,14.870158,2940400
2002-12-01,27.299999,28.920000,27.270000,28.120001,15.322427,3594400
2003-01-01,28.120001,28.490000,26.610001,28.040001,15.541462,3622200
2003-02-01,28.000000,29.600000,27.700001,29.309999,16.245369,3920600
2003-03-01,29.250000,31.129999,28.889999,30.370001,16.832895,4154800
2003-04-01,30.340000,31.790001,30.340000,30.820000,17.358608,3592000
2003-05-01,30.750000,33.639999,30.540001,33.000000,18.586441,6434200
2003-06-01,33.049999,34.040001,31.290001,32.000000,18.023214,5392500
2003-07-01,32.000000,35.020000,32.000000,34.869999,19.937662,3743200
2003-08-01,34.770000,35.029999,34.049999,34.980000,20.000555,2050700
2003-09-01,35.009998,36.990002,34.939999,36.860001,21.075483,2920200
2003-10-01,36.900002,38.270000,36.560001,37.950001,21.993078,2373000
2003-11-01,37.970001,39.709999,37.970001,39.310001,22.781240,2093700
2003-12-01,39.250000,40.070000,38.389999,38.389999,22.248077,2978700
2004-01-01,38.430000,41.340000,38.250000,41.290001,24.229652,3593200
2004-02-01,41.330002,43.500000,41.180000,42.349998,24.851675,4060000
2004-03-01,42.549999,46.320000,42.500000,46.200001,27.110929,3555800
2004-04-01,46.250000,46.869999,36.430000,37.080002,21.997900,10594100
2004-05-01,36.900002,40.000000,33.509998,39.900002,23.670877,6031300
2004-06-01,39.910000,42.619999,38.740002,41.590000,24.673466,5034700
2004-07-01,41.590000,43.730000,39.900002,42.200001,25.326674,3068600
2004-08-01,42.150002,45.380001,41.730000,45.380001,27.235168,2761400
2004-09-01,45.380001,46.990002,43.299999,44.000000,26.406963,3219200
2004-10-01,44.099998,47.750000,44.060001,47.450001,28.801960,3421900
2004-11-01,47.540001,51.270000,47.230000,50.150002,30.440855,4733400
2004-12-01,50.150002,52.950001,50.070000,51.650002,31.351336,2988100
2005-01-01,51.570000,52.349998,46.189999,47.180000,28.916473,4540000
2005-02-01,47.200001,52.259998,47.099998,50.189999,30.761286,4223100
2005-03-01,50.099998,52.240002,47.700001,48.349998,29.633570,3693700
2005-04-01,48.730000,53.669998,47.529999,53.500000,33.126240,4658000
2005-05-01,53.400002,57.070000,52.700001,55.200001,34.178852,5082800
2005-06-01,55.310001,60.880001,55.310001,59.000000,36.531746,3685400
2005-07-01,58.900002,65.930000,58.889999,65.309998,40.811188,3040900
2005-08-01,63.360001,65.500000,59.000000,61.919998,38.692829,4479300
2005-09-01,61.900002,63.360001,57.020000,60.930000,38.074200,3620100
2005-10-01,60.799999,61.380001,56.180000,60.650002,38.253078,3952600
2005-11-01,60.299999,65.650002,58.700001,62.980000,39.722641,7042500
2005-12-01,63.099998,64.739998,60.029999,60.650002,38.370602,4183200
2006-01-01,60.650002,68.000000,59.639999,66.820000,42.657803,4638100
2006-02-01,66.900002,70.589996,64.410004,69.690002,44.490002,3679000
2006-03-01,69.500000,75.650002,67.650002,75.199997,48.007565,4773800
2006-04-01,73.500000,75.099998,66.199997,68.230003,43.896275,4770800
2006-05-01,68.150002,69.800003,64.000000,68.379997,43.992752,6017500
2006-06-01,68.480003,71.459999,66.050003,70.000000,45.035000,4382500
2006-07-01,70.000000,73.699997,69.019997,72.550003,47.060848,3693700
