Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,54.997505,57.678856,42.544113,45.761738,28.766451,80935300
2000-02-01,45.761738,47.549305,40.279861,45.880909,28.841368,62197800
2000-03-01,46.715107,51.481953,38.432709,50.230656,31.710340,78220000
2000-04-01,52.435326,55.712532,48.621845,53.388695,33.703995,48185300
2000-05-01,52.554497,54.342064,49.932728,52.137398,32.914070,38383200
2000-06-01,51.899052,56.367973,30.626995,32.116634,20.346352,156401900
2000-07-01,32.593319,35.989700,31.461195,32.414562,20.535095,116062400
2000-08-01,32.414562,38.968979,31.580366,37.062241,23.479462,102446900
2000-09-01,37.062241,39.803177,32.652905,33.963791,21.636845,74658200
2000-10-01,34.321304,51.601124,31.818708,51.303196,32.683018,214883900
2000-11-01,50.409412,51.958637,44.808369,46.476765,29.608318,126426400
2000-12-01,47.310963,53.090767,43.855000,45.106297,28.845148,98073400
2001-01-01,44.331684,47.132206,40.458618,45.046711,28.807022,112825500
2001-02-01,45.428059,47.611275,43.616657,44.550957,28.490002,85127600
2001-03-01,43.616657,44.932304,33.224930,38.897476,24.977692,127987600
2001-04-01,38.563797,47.620808,35.713223,46.600704,29.924253,99370900
2001-05-01,45.761738,51.386616,45.075310,46.143085,29.630396,87774200
2001-06-01,46.047749,46.877178,31.461195,33.272598,21.365719,436128400
2001-07-01,32.795910,35.942032,32.300159,35.150734,22.571751,170411900
2001-08-01,35.417679,37.257683,33.701614,35.522549,22.939041,70416700
2001-09-01,35.522549,36.466385,21.117134,25.168955,16.339203,122567000
2001-10-01,25.693308,29.554455,24.139317,28.172070,18.288780,87108500
2001-11-01,28.362743,32.271557,27.666784,31.594666,20.510658,66995300
2001-12-01,31.461195,33.272598,29.792797,32.242958,21.065725,57789400
2002-01-01,32.366894,33.682545,27.228233,32.042751,20.934923,107147500
2002-02-01,32.748241,36.704727,28.744091,36.342445,23.744101,99746700
2002-03-01,36.752396,38.973747,35.617886,36.485451,23.976219,73143300
2002-04-01,36.485451,39.040482,34.082962,34.969593,22.980085,76131600
2002-05-01,35.274673,37.667629,33.835083,37.372086,24.558859,59589800
2002-06-01,37.372086,37.372086,32.385963,33.587208,22.182814,59258100
2002-07-01,33.587208,35.064930,26.265331,30.851038,20.375690,83294500
2002-08-01,30.851038,32.290627,27.266369,28.553417,18.858215,79090800
