Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,21.250000,21.375000,17.562500,18.000000,9.176788,9484400
2000-02-01,17.875000,18.500000,15.875000,16.812500,8.571376,10875200
2000-03-01,16.750000,21.812500,15.250000,21.500000,11.028772,14184200
2000-04-01,21.500000,22.562500,20.062500,21.375000,10.964653,9265800
2000-05-01,21.125000,22.000000,18.750000,20.031200,10.275323,8118700
2000-06-01,20.000000,21.312500,15.062500,16.500000,8.505816,17154400
2000-07-01,16.312500,19.125000,16.312500,17.500000,9.021316,10067200
2000-08-01,17.437500,19.875000,17.375000,17.687500,9.117979,5844100
2000-09-01,17.750000,19.250000,14.187500,15.812500,8.198406,11951500
2000-10-01,16.000000,16.437500,14.625000,16.375000,8.490049,9325000
2000-11-01,16.375000,16.750000,15.750000,16.312500,8.457645,6534600
2000-12-01,16.125000,19.562500,15.125000,18.937500,9.886612,9341800
2001-01-01,18.500000,21.200001,17.562500,21.000000,10.963375,12211400
2001-02-01,21.190001,21.250000,18.559999,19.340000,10.096745,7412200
2001-03-01,19.200001,20.980000,18.309999,19.230000,10.101227,8936000
2001-04-01,19.299999,20.000000,17.700001,19.410000,10.195780,8078800
2001-05-01,19.549999,22.600000,19.350000,21.920000,11.514240,9786100
2001-06-01,21.920000,22.320000,20.580000,22.030001,11.634378,7607800
2001-07-01,21.500000,24.040001,20.850000,23.969999,12.658925,8214200
2001-08-01,23.969999,24.350000,22.969999,23.520000,12.421267,7176900
2001-09-01,23.530001,24.450001,16.850000,19.500000,10.349870,10775600
2001-10-01,19.299999,22.879999,19.000000,21.670000,11.501619,9958900
2001-11-01,21.900000,23.389999,21.450001,21.639999,11.485701,8470100
2001-12-01,21.650000,23.549999,21.400000,23.000000,12.207534,7841300
2002-01-01,22.860001,24.400000,22.010000,24.230000,12.927705,9967800
2002-02-01,24.250000,26.000000,23.280001,25.650000,13.685335,9456300
2002-03-01,25.490000,26.459999,24.600000,24.799999,13.231824,10713100
2002-04-01,24.799999,26.870001,23.990000,26.299999,14.097298,8204700
2002-05-01,26.350000,27.400000,25.760000,26.320000,14.108023,7503500
2002-06-01,26.320000,26.320000,23.400000,23.400000,12.542843,8581900
2002-07-01,23.500000,24.120001,19.510000,22.490000,12.112177,15525600
2002-08-01,22.500000,24.350000,21.049999,23.150000,12.467630,9414900
2002-09-01,23.160000,23.809999,19.420000,19.790001,10.658071,14051000
2002-10-01,19.900000,22.580000,18.600000,20.850000,11.291972,15240900
