Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,65.000000,71.062500,61.500000,66.875000,36.128563,65907400
2000-02-01,65.875000,66.500000,56.125000,59.437500,32.110531,56821700
2000-03-01,59.437500,65.937500,54.000000,62.625000,33.974285,72490300
2000-04-01,64.250000,78.500000,63.750000,77.125000,41.840611,71808700
2000-05-01,78.000000,80.500000,72.875000,76.125000,41.298096,62479200
2000-06-01,77.000000,109.000000,71.250000,99.875000,54.365547,111506200
2000-07-01,97.937500,105.000000,91.562500,103.875000,56.542900,66124600
2000-08-01,104.125000,108.937500,73.000000,73.015602,39.745018,114835600
2000-09-01,74.250000,83.187500,66.625000,81.125000,44.308613,63336000
2000-10-01,81.250000,90.500000,79.562500,89.375000,48.814598,64509800
2000-11-01,89.437500,97.125000,84.000000,93.687500,51.169964,64299100
2000-12-01,93.000000,94.625000,86.500000,93.062500,50.975067,56237800
2001-01-01,93.000000,95.000000,78.010002,78.800003,43.162781,82588000
2001-02-01,78.800003,83.699997,72.750000,79.459999,43.524277,79322200
2001-03-01,78.209999,80.389999,70.010002,76.660004,42.137329,84213700
2001-04-01,76.910004,85.190002,74.010002,85.000000,46.721523,66888500
2001-05-01,84.900002,88.650002,83.010002,84.699997,46.556633,54787500
2001-06-01,84.900002,88.470001,73.279999,74.000000,40.809631,66227100
2001-07-01,74.500000,80.480003,74.000000,79.279999,43.721443,58028600
2001-08-01,79.000000,83.760002,76.699997,77.629997,42.811504,53350500
2001-09-01,78.199997,81.339996,71.809998,80.699997,44.664688,60403300
2001-10-01,80.580002,82.989998,73.500000,76.500000,42.340137,120347500
2001-11-01,76.500000,83.790001,75.919998,82.669998,45.755028,58583400
2001-12-01,82.550003,84.300003,76.690002,78.540001,43.624783,69137300
2002-01-01,78.500000,78.849998,72.910004,75.099998,41.714085,68016600
2002-02-01,74.849998,77.989998,72.150002,75.730003,42.064007,45932000
2002-03-01,75.650002,81.089996,74.550003,76.199997,42.498981,58420900
2002-04-01,76.199997,78.900002,62.990002,66.050003,36.838039,88334300
2002-05-01,67.000000,68.269997,62.790001,64.699997,36.085091,73328300
2002-06-01,64.699997,65.000000,55.790001,56.400002,31.607357,67901300
2002-07-01,56.400002,59.240002,43.750000,58.419998,32.739388,136740600
2002-08-01,58.419998,62.200001,51.349998,58.049999,32.532032,77355900
2002-09-01,57.700001,60.000000,54.150002,55.340000,31.179977,63328700
2002-10-01,55.250000,65.000000,54.840000,55.500000,31.270115,107878800
2002-11-01,55.369999,69.199997,55.000000,68.300003,38.481964,90550200
2002-12-01,69.150002,69.699997,62.150002,63.500000,35.959114,61465200
2003-01-01,64.849998,68.800003,58.700001,60.240002,34.113014,68123000
2003-02-01,61.099998,62.759998,55.090000,56.560001,32.029079,58374200
2003-03-01,56.750000,58.950001,52.770000,57.150002,32.544777,62724800
2003-04-01,57.549999,64.940002,56.720001,63.820000,36.343102,64834400
2003-05-01,63.820000,64.900002,56.509998,59.770000,34.036774,84690200
2003-06-01,60.580002,71.400002,57.970001,68.970001,39.481289,101101600
2003-07-01,68.900002,70.440002,61.869999,65.839996,37.689545,66125700
2003-08-01,65.099998,66.599998,60.810001,66.529999,38.084541,67635400
2003-09-01,66.599998,67.019997,57.900002,59.400002,34.185165,88170000
2003-10-01,62.000000,67.900002,60.340000,66.620003,38.340324,84823000
2003-11-01,66.629997,72.800003,64.540001,68.800003,39.594933,75127500
2003-12-01,68.559998,73.889999,68.250000,70.330002,40.685036,68263300
2004-01-01,70.849998,72.150002,66.550003,68.040001,39.360313,85760400
2004-02-01,67.779999,74.709999,67.519997,73.940002,42.773388,64587200
2004-03-01,73.849998,73.980003,64.510002,66.900002,38.886021,80809300
2004-04-01,67.400002,74.879997,67.010002,73.809998,42.902500,74974200
2004-05-01,73.820000,76.949997,70.309998,73.669998,42.821117,62412600
2004-06-01,73.849998,75.830002,69.470001,69.910004,40.831886,59253300
2004-07-01,69.910004,70.300003,61.639999,63.720001,37.216530,76614900
2004-08-01,63.720001,64.959999,59.779999,63.450001,37.058834,60777200
2004-09-01,63.500000,67.300003,59.720001,60.049999,35.278122,60415700
2004-10-01,60.250000,62.380001,50.340000,54.910000,32.258484,113957200
2004-11-01,54.910000,58.790001,53.310001,53.330002,31.330278,83283200
2004-12-01,53.849998,58.009998,53.360001,56.750000,33.550125,88509700
2005-01-01,56.770000,57.830002,52.860001,54.240002,32.066242,73819600
2005-02-01,54.250000,56.689999,53.849998,56.000000,33.106731,52330200
2005-03-01,56.200001,57.419998,51.320000,52.099998,31.016174,81918400
2005-04-01,52.299999,59.889999,51.080002,58.470001,34.808361,155713400
2005-05-01,58.700001,60.980000,57.930000,58.299999,34.707157,74163100
2005-06-01,58.299999,58.980000,55.520000,55.709999,33.379772,62417600
2005-07-01,55.720001,57.400002,54.349998,56.320000,33.745289,69734000
2005-08-01,56.330002,57.000000,51.980000,55.020000,32.966358,98782100
2005-09-01,54.740002,57.090000,52.619999,53.520000,32.295277,74156300
2005-10-01,53.400002,54.400002,49.700001,49.790001,30.044525,111786200
2005-11-01,49.889999,52.200001,49.470001,50.500000,30.472933,74092700
2005-12-01,50.799999,58.250000,50.750000,56.590000,34.399021,97532300
2006-01-01,57.189999,59.000000,56.000000,56.619999,34.417263,78854100
2006-02-01,56.340000,57.130001,54.599998,55.619999,33.809395,61196600
2006-03-01,55.369999,59.240002,54.849998,55.299999,33.855938,85007500
2006-04-01,55.650002,55.900002,50.919998,52.919998,32.398853,77711500
2006-05-01,52.509998,53.320000,50.189999,51.639999,31.615210,91161000
2006-06-01,51.619999,55.660000,50.830002,55.270000,34.099579,79756100
2006-07-01,55.419998,57.180000,54.000000,56.770000,35.025024,68384400
2006-08-01,56.400002,57.490002,53.830002,55.930000,34.506775,70487200
2006-09-01,56.000000,57.349998,53.970001,57.000000,35.423191,96546200
2006-10-01,56.810001,58.480000,55.939999,56.009998,34.807953,83074500
2006-11-01,56.250000,57.480000,53.360001,53.590000,33.304028,110204100
2006-12-01,53.450001,54.919998,51.130001,52.099998,32.619038,116720100
2007-01-01,52.450001,54.369999,51.570000,54.119999,33.883728,101564600
2007-02-01,54.650002,55.200001,52.299999,52.590000,32.925823,82724700
2007-03-01,52.009998,54.279999,51.209999,53.709999,33.891773,108905100
2007-04-01,53.959999,61.000000,53.900002,59.130001,37.311855,115346600
2007-05-01,59.119999,60.000000,57.900002,58.619999,36.990055,104668200
2007-06-01,58.730000,59.230000,55.299999,55.880001,35.518181,109449600
2007-07-01,56.240002,58.939999,53.970001,54.090000,34.380436,109097300
2007-08-01,53.599998,59.020000,53.529999,57.349998,36.452534,132823800
2007-09-01,57.330002,58.220001,55.480000,56.930000,36.456642,88800000
2007-10-01,57.090000,59.820000,51.799999,54.150002,34.676407,145811100
2007-11-01,53.660000,53.990002,49.090000,52.950001,33.907944,149352400
2007-12-01,52.810001,55.340000,51.750000,53.389999,34.468746,102877700
2008-01-01,53.459999,57.520000,50.049999,51.389999,33.177547,175129600
2008-02-01,51.220001,52.509998,49.500000,50.020000,32.293072,114072200
2008-03-01,50.049999,51.779999,46.599998,51.590000,33.616341,124827300
2008-04-01,51.720001,53.400002,47.860001,48.139999,31.368296,132076300
2008-05-01,48.169998,49.900002,47.500000,48.139999,31.368296,92593400
2008-06-01,48.279999,49.820000,45.360001,46.160000,30.370863,129691100
2008-07-01,45.669998,49.459999,45.520000,47.110001,30.995918,131911100
2008-08-01,47.110001,49.779999,46.459999,46.650002,30.693264,101686000
2008-09-01,47.209999,47.880001,42.880001,44.029999,29.248564,146911300
2008-10-01,43.580002,44.439999,29.250000,33.820000,22.466190,220081700
2008-11-01,34.439999,35.639999,28.620001,34.150002,22.685411,128060200
2008-12-01,33.320000,40.500000,30.629999,40.270000,27.126148,125549500
2009-01-01,40.380001,40.779999,36.270000,36.820000,24.802210,128907300
2009-02-01,36.529999,39.250000,29.379999,29.379999,19.790575,126192000
2009-03-01,28.549999,34.310001,27.209999,33.410000,22.807745,174185100
2009-04-01,33.029999,34.430000,30.910000,32.919998,22.473240,139704200
2009-05-01,32.919998,36.650002,32.619999,34.570000,23.599628,114622800
2009-06-01,34.889999,35.470001,32.779999,34.639999,23.974651,147741000
2009-07-01,34.759998,35.650002,32.189999,34.889999,24.147680,149028300
2009-08-01,35.330002,35.630001,32.230000,33.459999,23.157963,120757700
2009-09-01,33.299999,33.549999,32.299999,33.029999,23.197947,139952200
2009-10-01,32.970001,35.630001,32.270000,34.009998,23.886232,163992500
2009-11-01,34.189999,37.540001,33.380001,36.730000,25.796574,122421300
2009-12-01,36.820000,38.000000,34.470001,35.709999,25.433033,147268000
2010-01-01,35.770000,37.919998,34.840000,35.200001,25.069809,144879100
2010-02-01,35.360001,35.750000,33.630001,34.340000,24.457298,128908300
2010-03-01,34.500000,36.820000,34.230000,36.220001,26.160425,149482900
2010-04-01,36.450001,36.970001,34.570000,34.970001,25.257597,159175800
2010-05-01,35.270000,35.799999,32.020000,32.790001,23.683062,180413400
2010-06-01,32.630001,34.980000,32.270000,33.500000,24.536652,165562700
2010-07-01,33.430000,36.200001,32.820000,35.599998,26.074776,177261200
2010-08-01,35.840000,37.919998,33.540001,33.590000,24.602573,192044200
2010-09-01,34.110001,36.900002,33.830002,36.529999,27.107611,109124800
2010-10-01,36.680000,38.080002,34.680000,35.200001,26.120674,141542000
2010-11-01,35.259998,35.930000,33.520000,33.660000,24.977888,154540100
2010-12-01,33.970001,35.400002,33.810001,35.040001,26.363077,137645400
2011-01-01,35.169998,35.610001,34.470001,34.770000,26.159935,166851100
2011-02-01,34.830002,35.919998,33.959999,34.560001,26.001942,165925300
2011-03-01,34.500000,35.419998,33.459999,35.169998,26.829969,146245700
2011-04-01,35.209999,37.459999,34.880001,37.009998,28.233631,139523000
2011-05-01,37.209999,39.400002,37.189999,38.480000,29.355053,187468000
2011-06-01,38.299999,38.480000,36.599998,37.529999,28.997284,144853800
2011-07-01,37.480000,39.779999,37.150002,38.299999,29.592224,181625600
2011-08-01,38.910000,38.910000,33.750000,37.509998,28.981833,258036100
2011-09-01,37.570000,38.360001,35.439999,36.970001,28.976282,175055500
2011-10-01,37.020000,38.980000,35.689999,37.160000,29.125191,162008400
2011-11-01,36.779999,39.040001,35.459999,37.849998,29.665998,185012100
2011-12-01,37.709999,41.919998,37.299999,41.560001,33.001049,168685000
2012-01-01,41.950001,42.029999,38.930000,39.740002,31.555866,174411200
