Date,Open,High,Low,Close,Adj Close,Volume
2014-04-01,15.000000,17.379999,15.000000,16.549999,13.231662,33619000
2014-05-01,16.120001,17.360001,15.500000,15.800000,12.632042,102303100
2014-06-01,15.840000,17.980000,15.580000,17.709999,14.159074,60048400
2014-07-01,17.790001,18.280001,17.190001,17.200001,13.882885,62216500
2014-08-01,17.200001,18.000000,16.760000,17.940001,14.480170,32670300
2014-09-01,17.940001,18.174999,17.190001,17.709999,14.294524,32493200
2014-10-01,17.709999,19.860001,16.980000,19.780001,16.103504,68208900
2014-11-01,19.730000,21.490000,19.180000,20.959999,17.064178,41287800
2014-12-01,20.879999,22.709999,20.520000,21.610001,17.593363,48218200
2015-01-01,21.709999,22.010000,17.160000,19.740000,16.186728,46578300
2015-02-01,19.750000,22.405001,19.570000,21.400000,17.547916,40062100
2015-03-01,19.070000,21.049999,18.440001,20.330000,16.670527,70470600
2015-04-01,20.250000,20.950001,19.510000,19.540001,16.151617,39787200
2015-05-01,19.680000,20.180000,18.940001,19.270000,15.928435,43151500
2015-06-01,19.379999,19.594999,18.090000,18.209999,15.052246,43806500
2015-07-01,18.360001,19.000000,15.490000,15.700000,13.085535,65763000
2015-08-01,15.770000,16.000000,12.010000,12.790000,10.660127,75921700
2015-09-01,12.510000,12.990000,10.945000,11.240000,9.368242,113509800
2015-10-01,11.240000,13.830000,10.620000,13.190000,11.137811,118241400
2015-11-01,13.230000,13.925000,11.520000,11.910000,10.056962,72303400
2015-12-01,11.940000,12.950000,11.230000,11.450000,9.668531,117948700
2016-01-01,11.340000,11.740000,8.290000,9.560000,8.179425,110302500
2016-02-01,9.510000,11.060000,8.200000,10.830000,9.266023,78511300
2016-03-01,10.890000,12.597000,10.400000,11.970000,10.241392,87395400
2016-04-01,11.850000,13.995000,11.095000,13.670000,11.869487,75365200
2016-05-01,13.750000,13.870000,12.170000,13.710000,11.904219,64635900
2016-06-01,13.390000,13.670000,11.010000,11.950000,10.376032,64201900
2016-07-01,11.940000,14.480000,11.530000,14.200000,12.475269,56725000
2016-08-01,14.170000,14.670000,13.320000,14.380000,12.633405,61878200
2016-09-01,14.440000,14.820000,13.140000,14.470000,12.855211,67599000
2016-10-01,14.370000,14.920000,12.660000,12.780000,11.353807,68755100
2016-11-01,12.870000,17.950001,12.770000,17.230000,15.307207,88821800
2016-12-01,17.350000,17.540001,16.120001,16.430000,14.733622,65080300
2017-01-01,16.639999,17.049999,14.760000,15.040000,13.487138,57198700
2017-02-01,15.170000,15.860000,14.900000,15.410000,13.818933,39601100
2017-03-01,15.440000,15.820000,13.670000,14.760000,13.236049,58036500
2017-04-01,14.830000,16.389999,14.150000,15.200000,13.773626,51204700
2017-05-01,15.230000,15.670000,13.360000,14.430000,13.075884,56200800
2017-06-01,14.480000,16.969999,14.020000,16.650000,15.253812,62743900
2017-07-01,16.799999,16.930000,14.460000,14.750000,13.513138,45232600
2017-08-01,14.750000,14.950000,13.170000,13.200000,12.093113,38909200
2017-09-01,13.250000,15.610000,13.090000,15.020000,13.925294,63011300
2017-10-01,15.010000,15.100000,11.481000,12.460000,11.551874,111127700
2017-11-01,12.460000,12.950000,11.840000,12.610000,11.690942,95779700
2017-12-01,12.650000,13.640000,12.190000,13.320000,12.505144,83542900
