Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,5.526615,6.183243,5.335099,5.718132,1.243992,9046200
2000-02-01,5.690772,5.841249,4.760550,4.965746,1.140116,7316900
2000-03-01,4.965746,5.595014,4.883667,5.471896,1.256325,8382700
2000-04-01,5.485576,5.772851,5.280380,5.526615,1.268889,5507200
2000-05-01,5.417177,6.443158,5.403498,6.374759,1.547729,5791200
2000-06-01,6.415799,6.839870,5.636053,5.680507,1.379170,9146800
2000-07-01,5.526615,6.080634,5.526615,5.841249,1.418197,4948000
2000-08-01,5.854929,7.127145,5.827569,6.993762,1.792249,6717800
2000-09-01,7.017707,8.755034,6.962988,8.703730,2.230453,8104700
2000-10-01,8.672956,9.794695,8.317283,8.672956,2.222567,13138800
2000-11-01,8.672956,9.439021,8.672956,8.932871,2.376163,10873100
2000-12-01,8.946550,11.080590,8.932871,10.533401,2.801907,13716900
2001-01-01,10.478682,10.656518,9.384302,9.781562,2.601916,15945500
2001-02-01,9.794695,10.495097,9.337244,9.619594,2.640008,11303900
2001-03-01,9.652425,9.941341,7.934250,8.949834,2.456198,12672400
2001-04-01,8.930135,9.847224,8.452986,9.459814,2.596157,14544400
2001-05-01,9.389774,9.608650,8.919191,9.214673,2.612305,12022400
2001-06-01,9.236561,9.542987,8.321660,8.623709,2.444770,10458600
2001-07-01,8.645597,8.965155,7.638767,7.967081,2.258621,9469900
2001-08-01,8.054631,8.076519,6.916477,7.091578,2.049672,24023400
2001-09-01,7.266678,7.419891,6.202942,7.249168,2.095219,9215100
2001-10-01,7.310453,8.054631,7.069690,7.538085,2.178725,8375900
2001-11-01,7.581860,8.010857,7.310453,7.529329,2.220514,6688000
2001-12-01,7.463666,7.975836,7.179128,7.809491,2.303139,8769300
2002-01-01,7.875153,7.875153,7.362984,7.551217,2.226969,7631800
2002-02-01,7.507442,8.185957,7.152863,7.984591,2.403808,5902800
2002-03-01,7.945193,9.157765,7.927683,9.127123,2.747774,5484500
2002-04-01,9.083348,9.608650,8.877604,9.569252,2.880879,6704600
2002-05-01,9.569252,10.129575,9.092103,9.092103,2.783086,8713100
2002-06-01,9.192786,9.630538,8.623709,9.608650,2.941202,7572700
2002-07-01,9.626160,9.713711,6.399930,8.098407,2.478916,11124100
2002-08-01,8.098407,9.192786,7.533707,8.466118,2.645590,12202000
2002-09-01,8.479251,8.733147,7.813868,8.273507,2.585400,11202900
2002-10-01,8.286640,8.474873,7.297321,8.291018,2.590871,10736700
2002-11-01,8.185957,8.558046,7.630012,8.291018,2.640151,9219200
2002-12-01,8.286640,8.628086,8.124672,8.404833,2.676394,9313300
2003-01-01,8.426721,8.842585,7.332341,7.507442,2.390633,77009900
2003-02-01,7.551217,7.682542,7.004027,7.542462,2.452029,36844100
2003-03-01,7.542462,8.133427,7.498687,8.028366,2.609994,34535400
2003-04-01,8.089651,8.514271,7.940816,8.304150,2.699652,34467300
2003-05-01,8.317283,9.008930,8.098407,8.917003,2.959309,34296400
2003-06-01,8.877604,9.188408,8.439853,8.593066,2.851804,25487200
2003-07-01,8.593066,9.315356,8.562424,9.131500,3.030497,29485500
2003-08-01,9.113991,9.280336,8.207845,9.188408,3.106394,44932600
2003-09-01,9.249694,9.490457,8.825074,8.829452,2.985040,20047200
2003-10-01,8.873227,9.297846,8.514271,8.706882,2.943601,28302400
2003-11-01,8.689371,8.825074,8.404833,8.671862,2.992343,59567900
2003-12-01,8.724392,9.823149,8.601821,9.665558,3.335232,35820800
2004-01-01,9.696200,10.208370,9.472947,9.932587,3.427374,28005000
