Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,4.497355,4.603175,3.994709,4.378307,0.638332,12675500
2000-02-01,4.404762,4.431217,3.849206,4.222878,0.660197,9669700
2000-03-01,4.193122,4.497355,3.465608,4.431217,0.692769,14584000
2000-04-01,4.424592,4.735450,4.021164,4.312169,0.674157,12797600
2000-05-01,4.338624,4.510582,4.074074,4.457672,0.696905,8498300
2000-06-01,4.470900,4.854497,3.835979,3.888889,0.653431,20249300
2000-07-01,3.941799,4.404762,3.935175,4.179894,0.702327,6063100
2000-08-01,4.146815,4.603175,4.100529,4.470900,0.808131,7881900
2000-09-01,4.480804,4.735450,4.206349,4.457672,0.805740,5961400
2000-10-01,4.444445,4.457672,3.955026,4.285714,0.774658,6289500
2000-11-01,4.232804,4.365079,4.067450,4.259259,0.832406,5560800
2000-12-01,4.246032,5.714286,4.246032,5.476191,1.070235,9828400
2001-01-01,5.439809,5.648148,5.026455,5.456338,1.066356,8618600
2001-02-01,5.542328,6.005291,5.317461,5.621693,1.165141,5721200
2001-03-01,5.687831,5.925926,4.947090,5.449736,1.129501,6199300
2001-04-01,5.449736,5.515873,4.503704,4.770370,0.988696,9138400
2001-05-01,4.810582,5.121693,4.444445,4.973545,1.107067,8255900
2001-06-01,4.931217,5.151323,4.886773,4.933333,1.098116,6406800
2001-07-01,4.645503,5.343915,4.643386,5.335450,1.187624,10929100
2001-08-01,5.343915,5.887831,5.149206,5.267725,1.256399,12539600
2001-09-01,5.282540,5.310053,4.698413,4.698413,1.120613,12736600
2001-10-01,4.846561,5.121693,4.442328,4.609524,1.099412,11234400
2001-11-01,4.588360,4.677248,4.372487,4.512169,1.161931,11509300
2001-12-01,4.499471,4.560846,4.387301,4.499471,1.158662,8602600
2002-01-01,4.463492,4.770370,4.372487,4.643386,1.195721,25182800
2002-02-01,4.660317,4.878307,4.507936,4.848677,1.346219,11879300
2002-03-01,4.876191,5.248677,4.838095,5.216931,1.448463,9586900
2002-04-01,5.233862,5.707936,5.142857,5.625397,1.561872,8177700
2002-05-01,5.608466,5.934391,5.453968,5.741799,1.704160,11866100
2002-06-01,5.746032,5.849735,5.354497,5.525926,1.640089,5996500
2002-07-01,5.544973,5.707936,4.558730,5.375661,1.595491,8524400
2002-08-01,5.322752,5.566138,5.001058,5.168254,1.641401,5565100
2002-09-01,5.153439,5.187302,4.467725,4.747090,1.507642,6308900
2002-10-01,4.772487,5.365079,4.474074,5.206349,1.653500,8774600
2002-11-01,5.174603,5.521693,4.998942,5.382010,1.837378,7715900
2002-12-01,5.411640,5.449736,5.068783,5.333333,1.820760,4970400
2003-01-01,5.377778,5.674074,5.229630,5.388360,1.839545,5208300
2003-02-01,5.356614,5.451852,5.155556,5.447619,1.992701,7535800
2003-03-01,5.458201,5.540741,5.132275,5.343915,1.954766,7879100
2003-04-01,5.386243,5.657143,5.318519,5.574603,2.039151,6957400
2003-05-01,5.536508,6.031746,5.502645,5.970370,2.348432,11393500
2003-06-01,5.972487,6.323810,5.860317,6.135450,2.413366,10260000
2003-07-01,6.173545,6.370370,5.830688,6.029630,2.371742,11759400
2003-08-01,5.993651,6.349206,5.822222,6.328043,2.661605,6646800
2003-09-01,6.347090,6.624339,6.296296,6.349206,2.670505,5189800
2003-10-01,6.325926,6.962963,6.292064,6.929101,2.914412,8076500
2003-11-01,6.941799,7.195767,6.772487,6.855026,3.062187,6082300
2003-12-01,6.846561,7.113227,6.753439,6.888889,3.077312,8316100
2004-01-01,6.880423,8.421164,6.876191,8.023280,3.584052,17307400
2004-02-01,8.000000,9.957672,7.938624,9.513227,4.461584,30479400
2004-03-01,9.475132,9.883598,8.819048,9.839153,4.614439,22546400
2004-04-01,9.811640,10.708995,8.755555,8.931217,4.188629,28649600
2004-05-01,8.931217,10.285714,8.910053,10.152381,5.003323,15127600
2004-06-01,10.149206,10.149206,9.085714,9.888889,4.873467,11930600
2004-07-01,9.863492,10.368254,9.523809,10.003175,4.929790,7626700
2004-08-01,9.955556,10.473016,9.530159,10.473016,5.315965,7655000
2004-09-01,10.444445,11.746032,10.377778,11.342857,5.757486,10692500
2004-10-01,11.349206,12.104762,11.095238,11.901587,6.041090,6620700
2004-11-01,11.917460,14.120635,11.476191,12.622222,6.566683,16139400
2004-12-01,12.495238,12.904762,11.666667,12.346032,6.422997,27886300
2005-01-01,12.333333,12.463492,11.425397,11.755555,6.115803,16047400
2005-02-01,11.965079,12.142858,11.603174,12.107937,6.458114,8038000
2005-03-01,12.146031,13.333333,12.060317,13.000000,6.933922,13383100
2005-04-01,13.098413,13.676190,12.511111,13.184127,7.032134,13326500
2005-05-01,13.120635,13.980952,13.120635,13.480952,7.369395,10201300
2005-06-01,13.566667,14.514286,13.480952,14.400000,7.871793,9413700
2005-07-01,14.514286,15.523809,14.295238,14.914286,8.152930,7484700
2005-08-01,14.942857,16.071428,14.023809,14.042857,7.791681,9694700
2005-09-01,14.047619,14.252381,13.414286,13.800000,7.656931,6594100
2005-10-01,13.776191,15.785714,13.738095,15.333333,8.507701,12759300
2005-11-01,15.385715,15.985714,14.771428,14.819048,8.343184,9094400
2005-12-01,14.976191,15.352381,14.580953,14.790476,8.327097,10789800
2006-01-01,14.795238,15.476191,14.404762,14.614285,8.227902,11601700
2006-02-01,14.576191,15.047619,14.285714,14.733334,8.420252,6114500
2006-03-01,14.700000,16.109524,14.614285,15.595238,8.912839,9681200
2006-04-01,15.714286,16.309525,15.376190,15.595238,8.912839,8148800
2006-05-01,15.595238,16.428572,14.700000,15.676190,9.104972,12303800
2006-06-01,15.647619,16.190475,15.300000,15.642858,9.085611,9822000
2006-07-01,15.580953,17.423809,15.185715,17.090477,9.926411,12047000
2006-08-01,17.157143,17.861904,16.742857,17.214285,10.145335,8437800
2006-09-01,17.309525,19.595238,17.076191,18.861904,11.116368,27349600
2006-10-01,18.876190,19.671429,18.685715,19.380953,11.422275,21467500
2006-11-01,19.366667,21.419048,19.166666,21.233334,12.678786,23830900
2006-12-01,21.261906,21.619047,21.033333,21.247620,12.687317,11803600
2007-01-01,21.252380,22.814285,20.666666,21.423809,12.792524,21614800
2007-02-01,21.423809,21.890476,21.071428,21.138096,12.771316,15321200
2007-03-01,21.071428,21.576191,19.776190,21.142857,12.774190,34108400
2007-04-01,21.114286,21.376190,19.830000,19.910000,12.029321,149996800
2007-05-01,19.900000,20.570000,19.830000,20.190001,12.280131,75247800
2007-06-01,20.190001,20.320000,17.559999,17.730000,10.783890,74519400
2007-07-01,17.799999,18.340000,16.049999,16.120001,9.804642,70815900
2007-08-01,16.049999,18.620001,14.780000,17.680000,10.840957,105455200
2007-09-01,17.700001,17.940001,16.809999,17.280001,10.595685,40677800
2007-10-01,17.219999,18.600000,16.969999,17.780001,10.902271,72602900
2007-11-01,17.610001,17.750000,15.830000,16.969999,10.483758,63484200
2007-12-01,16.870001,17.820000,16.150000,17.799999,10.996515,68565600
2008-01-01,17.879999,18.120001,14.290000,16.889999,10.434335,127562800
2008-02-01,17.000000,17.500000,16.440001,16.860001,10.502491,74347900
2008-03-01,16.950001,18.250000,15.620000,17.309999,10.782805,104918200
2008-04-01,17.549999,18.520000,16.770000,16.969999,10.571010,91943900
2008-05-01,16.850000,18.080000,16.219999,16.530001,10.385386,66833200
2008-06-01,16.590000,17.299999,15.520000,15.600000,9.801090,80897000
2008-07-01,15.450000,17.260000,13.920000,16.980000,10.668111,89006800
2008-08-01,17.020000,18.040001,16.379999,17.920000,11.360361,66548600
2008-09-01,18.160000,21.760000,16.330000,19.250000,12.203515,107236400
2008-10-01,19.100000,20.150000,14.750000,17.500000,11.094105,85990700
2008-11-01,17.549999,19.379999,16.150000,19.070000,12.194468,190615200
2008-12-01,18.500000,18.730000,16.559999,17.830000,11.401537,87872300
2009-01-01,17.450001,17.990000,16.000000,16.360001,10.461535,96543000
2009-02-01,16.160000,17.830000,15.610000,17.410000,11.229156,116507600
2009-03-01,17.049999,18.180000,16.400000,17.969999,11.590352,146762600
2009-04-01,17.410000,18.540001,15.390000,15.620000,10.074641,137539600
2009-05-01,15.560000,17.240000,15.200000,15.800000,10.288557,98431100
2009-06-01,15.810000,16.090000,14.720000,15.070000,9.813200,83777100
2009-07-01,14.950000,16.600000,14.840000,16.250000,10.581585,99153100
2009-08-01,16.530001,17.410000,15.960000,16.070000,10.563630,75184600
2009-09-01,16.110001,16.340000,15.450000,15.560000,10.228384,60160700
2009-10-01,15.400000,16.920000,15.150000,16.030001,10.537337,92778100
2009-11-01,15.880000,17.160000,15.620000,16.290001,10.808759,81045600
2009-12-01,16.360001,17.160000,15.910000,16.700001,11.080803,66946700
2010-01-01,16.799999,17.080000,15.530000,16.170000,10.729135,74378600
2010-02-01,16.120001,16.170000,15.070000,15.750000,10.551212,82216300
2010-03-01,15.730000,15.990000,15.230000,15.620000,10.464124,106315600
2010-04-01,15.660000,16.790001,15.390000,15.520000,10.397129,137278400
2010-05-01,15.600000,15.600000,13.940000,13.970000,9.452374,145843300
2010-06-01,13.910000,14.700000,13.490000,13.500000,9.134362,142999100
2010-07-01,13.480000,14.350000,13.270000,13.840000,9.364414,107074400
2010-08-01,13.960000,13.990000,12.570000,12.700000,8.687900,74457300
2010-09-01,12.810000,13.320000,12.560000,13.090000,8.954695,66026500
2010-10-01,13.120000,13.510000,12.200000,12.300000,8.414266,82988300
2010-11-01,12.350000,12.750000,12.220000,12.390000,8.581825,92073400
2010-12-01,12.520000,14.170000,12.460000,14.010000,9.703906,92889900
2011-01-01,14.090000,14.490000,12.840000,12.910000,8.941998,116040200
2011-02-01,13.030000,13.550000,12.890000,13.180000,9.236411,73990500
2011-03-01,13.140000,13.180000,12.170000,12.580000,8.815936,130336600
2011-04-01,12.600000,13.700000,12.590000,13.700000,9.600822,81636700
2011-05-01,13.730000,13.810000,12.980000,13.350000,9.466149,92069300
2011-06-01,13.330000,13.550000,12.550000,13.440000,9.529965,119040100
2011-07-01,13.350000,13.960000,12.560000,12.680000,8.991070,109045400
2011-08-01,12.820000,12.850000,10.500000,11.750000,8.433726,155938300
2011-09-01,11.750000,12.540000,10.850000,11.400000,8.182509,136416600
2011-10-01,11.370000,13.070000,10.910000,12.750000,9.151491,161507700
2011-11-01,12.410000,12.890000,11.580000,12.450000,9.046529,94549600
2011-12-01,12.440000,12.960000,12.140000,12.850000,9.337183,75092300
2012-01-01,13.100000,13.790000,12.290000,12.330000,8.959331,107093200
2012-02-01,12.390000,12.890000,12.200000,12.590000,9.262949,77002000
2012-03-01,12.560000,13.580000,12.290000,13.230000,9.733824,72563100
2012-04-01,13.140000,13.500000,12.260000,12.330000,9.071657,78380100
2012-05-01,12.360000,12.460000,11.610000,11.630000,8.667408,91159700
2012-06-01,11.560000,11.870000,11.250000,11.610000,8.652500,65014300
2012-07-01,11.650000,12.240000,11.200000,11.460000,8.540712,93761900
2012-08-01,11.510000,12.270000,11.200000,11.970000,9.045346,63799500
2012-09-01,12.010000,12.550000,11.910000,12.140000,9.173810,64605800
2012-10-01,12.130000,12.500000,11.880000,12.030000,9.090684,85752700
2012-11-01,12.130000,12.270000,11.360000,12.190000,9.334517,79908400
2012-12-01,12.200000,12.440000,11.910000,12.090000,9.257938,57789000
2013-01-01,12.220000,12.750000,12.220000,12.320000,9.434064,78875400
2013-02-01,12.380000,13.150000,12.350000,13.100000,10.160789,54333700
2013-03-01,13.070000,13.610000,12.990000,13.420000,10.408990,59099800
2013-04-01,13.390000,13.470000,12.620000,13.160000,10.207328,80444500
2013-05-01,13.150000,14.310000,13.060000,13.780000,10.822156,84122800
2013-06-01,13.810000,15.000000,13.520000,14.900000,11.701751,81077500
2013-07-01,14.960000,15.670000,14.870000,15.000000,11.780284,88222000
2013-08-01,15.120000,15.410000,14.180000,14.220000,11.288634,60848500
2013-09-01,14.420000,14.800000,14.070000,14.380000,11.415651,52275600
2013-10-01,14.320000,15.110000,14.090000,14.440000,11.463282,73628100
2013-11-01,14.420000,15.240000,14.230000,15.140000,12.153606,47317100
2013-12-01,15.170000,15.250000,14.510000,15.120000,12.137551,57762900
2014-01-01,15.080000,15.700000,14.200000,14.210000,11.407050,128781600
2014-02-01,14.210000,14.370000,13.730000,14.170000,11.502971,75877400
2014-03-01,14.070000,15.070000,13.980000,14.870000,12.071218,60947500
2014-04-01,14.860000,15.000000,14.090000,14.280000,11.592266,77822100
2014-05-01,14.290000,14.640000,14.000000,14.370000,11.801307,50256800
