Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,8.500000,9.125000,7.703120,8.593750,7.689672,12672700
2000-02-01,8.687500,9.437500,7.281250,7.343750,6.571172,6905500
2000-03-01,7.343750,9.000000,6.781250,7.593750,6.794871,10718700
2000-04-01,7.500000,7.562500,5.000000,5.687500,5.089161,10103000
2000-05-01,5.750000,6.437500,5.031250,6.000000,5.368787,6679000
2000-06-01,6.156250,6.875000,5.750000,6.312500,5.648412,3529500
2000-07-01,6.312500,7.062500,6.250000,6.750000,6.039887,6888200
2000-08-01,6.750000,7.953120,6.437500,7.406250,6.627100,6816000
2000-09-01,7.437500,7.625000,6.250000,6.843750,6.123775,3620500
2000-10-01,7.000000,7.500000,5.875000,6.625000,5.928037,5761700
2000-11-01,6.562500,7.625000,6.500000,7.000000,6.263587,3745800
2000-12-01,7.062500,9.250000,6.375000,8.281250,7.410044,5716400
2001-01-01,8.531250,10.375000,7.375000,10.000000,8.947979,7198100
2001-02-01,9.625000,10.312500,9.250000,10.125000,9.059829,5157000
2001-03-01,10.062500,10.375000,9.375000,9.875000,8.836127,4714500
2001-04-01,9.937500,12.100000,9.687500,11.940000,10.683891,9414100
2001-05-01,11.960000,14.000000,11.630000,13.930000,12.464538,11427800
2001-06-01,13.970000,16.799999,13.280000,16.690001,14.934175,23799000
2001-07-01,16.580000,17.170000,14.500000,16.570000,14.826800,11441900
2001-08-01,16.809999,18.299999,15.100000,16.139999,14.442039,23948600
2001-09-01,16.139999,16.150000,13.270000,15.150000,13.556189,9144700
2001-10-01,15.130000,16.080000,11.540000,14.790000,13.234064,17129600
2001-11-01,14.600000,14.800000,12.100000,12.470000,11.158129,11303000
2001-12-01,12.530000,13.390000,11.800000,11.820000,10.576511,12218300
2002-01-01,12.060000,13.250000,11.660000,12.900000,11.542896,10040900
2002-02-01,12.900000,13.100000,10.660000,11.190000,10.012792,12910600
2002-03-01,11.070000,12.700000,10.560000,11.950000,10.692837,12578600
2002-04-01,11.800000,13.020000,11.060000,12.480000,11.167078,8518500
2002-05-01,12.370000,14.130000,11.510000,14.000000,12.527173,9447200
2002-06-01,14.000000,14.820000,11.980000,13.000000,11.632374,12518300
2002-07-01,13.020000,13.020000,10.850000,11.560000,10.343863,11271700
2002-08-01,11.600000,11.960000,9.250000,10.690000,9.565391,14968800
2002-09-01,10.790000,11.370000,10.000000,10.630000,9.511703,6994500
2002-10-01,10.600000,12.650000,10.380000,12.600000,11.274452,6544200
2002-11-01,12.590000,13.500000,12.360000,12.610000,11.283400,7478200
2002-12-01,12.510000,12.780000,11.860000,12.150000,10.871795,6060000
2003-01-01,12.170000,13.310000,11.730000,12.570000,11.247613,6395500
2003-02-01,12.520000,12.710000,10.890000,11.750000,10.513880,4336900
2003-03-01,11.710000,12.580000,10.530000,11.880000,10.652579,4348100
2003-04-01,11.820000,15.550000,11.800000,15.360000,13.773034,5561900
2003-05-01,15.160000,15.330000,13.650000,14.630000,13.118453,8832800
2003-06-01,14.650000,16.490000,14.360000,15.640000,14.048290,6664800
2003-07-01,15.520000,16.740000,15.220000,16.400000,14.730949,6196200
2003-08-01,16.080000,16.240000,13.610000,14.050000,12.620110,7119600
2003-09-01,14.070000,14.870000,12.320000,12.730000,11.454773,8646200
2003-10-01,12.840000,13.950000,12.370000,13.450000,12.102644,6971200
2003-11-01,13.790000,15.430000,13.160000,15.170000,13.650340,7564300
