Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,18.833330,25.333330,17.916670,21.833330,21.781731,5256100
2000-02-01,21.750000,27.916670,21.666670,27.000000,26.936190,6141100
2000-03-01,27.250000,46.833328,27.208330,40.458328,40.362713,14920500
2000-04-01,40.833328,47.000000,34.000000,46.437500,46.327751,8128100
2000-05-01,46.625000,57.875000,40.750000,49.000000,48.884197,11576200
2000-06-01,48.625000,63.125000,47.500000,55.000000,54.870018,17626100
2000-07-01,54.250000,59.875000,41.250000,45.750000,45.641876,16309100
2000-08-01,45.750000,47.750000,34.125000,46.750000,46.639515,11031700
2000-09-01,47.250000,47.875000,25.625000,28.375000,28.307941,13421000
2000-10-01,27.625000,32.125000,22.750000,31.062500,30.989088,11762000
2000-11-01,32.875000,38.937500,29.000000,31.187500,31.113794,8488800
2000-12-01,31.625000,37.437500,28.062500,32.187500,32.111431,8141200
2001-01-01,32.187500,36.500000,25.500000,32.240002,32.163807,11202700
2001-02-01,32.240002,33.799999,26.469999,27.610001,27.544750,8590700
2001-03-01,27.510000,28.230000,18.709999,22.320000,22.267250,11974900
2001-04-01,22.330000,29.370001,20.950001,25.690001,25.629288,11599300
2001-05-01,25.690001,37.500000,25.650000,33.880001,33.799931,16522700
2001-06-01,33.889999,37.150002,20.129999,22.040001,21.987913,18083300
2001-07-01,22.010000,25.270000,21.900000,24.350000,24.292454,6194600
2001-08-01,21.510000,22.000000,16.750000,17.990000,17.947483,10700000
2001-09-01,17.980000,17.990000,9.940000,14.250000,14.216323,12840600
2001-10-01,14.350000,18.690001,14.350000,15.200000,15.164078,12077700
2001-11-01,15.350000,16.950001,14.510000,15.550000,15.513250,6440700
2001-12-01,15.550000,16.490000,13.900000,15.430000,15.393535,5912000
2002-01-01,15.600000,16.400000,12.810000,13.250000,13.218686,7599000
2002-02-01,13.350000,15.800000,11.530000,15.420000,15.383558,8317100
2002-03-01,15.420000,17.430000,15.020000,17.290001,17.249140,4911200
