Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,8.562500,10.187500,8.125000,8.562500,8.210682,4959100
2000-02-01,8.625000,9.500000,6.750000,8.312500,7.970957,5549700
2000-03-01,8.187500,10.750000,7.875000,10.500000,10.068575,6066000
2000-04-01,10.625000,10.875000,9.000000,10.312500,9.888779,3484000
2000-05-01,10.250000,15.125000,10.187500,14.937500,14.323749,7370700
2000-06-01,15.187500,15.625000,12.125000,12.765600,12.241086,8144000
2000-07-01,12.687500,13.062500,10.625000,10.750000,10.308301,4426100
2000-08-01,10.875000,14.187500,10.875000,13.875000,13.304902,6373100
2000-09-01,13.875000,16.062500,13.500000,14.187500,13.604562,7239800
2000-10-01,14.062500,15.187500,12.625000,13.062500,12.525784,11164800
2000-11-01,13.062500,14.750000,12.437500,14.500000,13.904222,6829600
2000-12-01,14.500000,20.625000,14.437500,19.687500,18.878582,11392900
2001-01-01,19.500000,19.937500,16.312500,17.500000,16.780956,8401500
2001-02-01,18.000000,19.240000,16.500000,16.850000,16.157671,5125700
2001-03-01,16.990000,20.240000,15.450000,15.700000,15.054916,10525300
2001-04-01,15.900000,20.100000,14.300000,19.110001,18.324802,8833600
2001-05-01,19.200001,23.049999,17.299999,21.100000,20.233040,10118700
2001-06-01,21.100000,22.350000,16.750000,17.049999,16.349449,8420800
2001-07-01,16.850000,17.549999,15.000000,16.990000,16.291912,6823700
2001-08-01,16.900000,19.379999,16.580000,17.500000,16.780956,7529500
2001-09-01,17.750000,19.080000,12.620000,14.230000,13.645319,8132500
2001-10-01,14.210000,17.990000,13.220000,17.010000,16.311092,8831900
2001-11-01,17.250000,18.240000,14.500000,16.750000,16.061775,9212400
2001-12-01,16.650000,19.700001,16.290001,19.260000,18.468647,8077100
2002-01-01,19.010000,19.020000,16.100000,17.420000,16.704256,7642600
2002-02-01,17.889999,19.850000,17.080000,19.820000,19.005638,5636500
2002-03-01,19.940001,22.299999,19.450001,22.290001,21.374147,7978100
2002-04-01,22.290001,24.299999,20.000000,23.990000,23.004297,16662700
2002-05-01,23.940001,25.240000,23.250000,24.129999,23.138546,10792800
2002-06-01,24.100000,26.049999,22.280001,26.049999,24.979656,10269500
2002-07-01,25.850000,25.850000,19.500000,24.209999,23.215258,13071500
2002-08-01,23.959999,26.230000,21.600000,24.889999,23.867323,9890800
2002-09-01,24.150000,26.219999,22.830000,24.250000,23.253614,12785200
2002-10-01,24.500000,27.500000,23.400000,24.870001,23.848143,15240500
2002-11-01,24.750000,25.450001,21.700001,24.660000,23.646770,11536500
2002-12-01,24.850000,27.049999,24.410000,25.250000,24.212530,12182200
2003-01-01,25.500000,26.620001,23.270000,24.280001,23.282383,11312700
2003-02-01,24.290001,27.440001,23.600000,26.150000,25.075544,12876100
2003-03-01,26.250000,27.190001,23.500000,25.100000,24.068693,16968400
2003-04-01,25.049999,26.990000,22.850000,23.920000,22.937172,17655900
2003-05-01,24.000000,26.750000,23.200001,26.740000,25.641306,17232500
2003-06-01,26.719999,28.440001,25.190001,26.100000,25.027603,11622300
2003-07-01,26.000000,26.520000,22.850000,24.000000,23.013887,13687200
2003-08-01,24.100000,26.379999,22.760000,25.360001,24.318010,14960300
2003-09-01,25.360001,25.940001,23.700001,25.459999,24.413895,12230900
2003-10-01,25.299999,26.900000,25.000000,26.450001,25.363220,15228500
2003-11-01,26.650000,28.430000,26.010000,28.360001,27.194746,9943300
2003-12-01,28.400000,32.900002,28.360001,31.930000,30.618065,22804600
2004-01-01,32.029999,34.060001,31.559999,31.920000,30.608473,16259500
2004-02-01,31.670000,32.500000,29.600000,32.119999,30.800253,21769600
2004-03-01,31.950001,34.680000,31.290001,32.299999,30.972853,19742800
2004-04-01,32.250000,34.930000,31.180000,32.709999,31.466097,19771600
2004-05-01,32.880001,33.669998,29.270000,30.950001,29.773024,37257800
2004-06-01,31.000000,35.180000,30.000000,35.080002,33.745964,20357500
2004-07-01,35.080002,37.500000,34.529999,36.049999,34.679081,18903400
2004-08-01,36.049999,36.049999,31.030001,33.450001,32.177956,22016900
2004-09-01,33.549999,34.959999,31.450001,34.480000,33.168777,27990900
2004-10-01,34.480000,36.849998,30.799999,32.400002,31.260731,47950800
2004-11-01,32.650002,36.150002,31.900000,35.200001,33.962265,29184300
2004-12-01,35.000000,35.279999,33.209999,35.099998,33.865784,23680700
2005-01-01,35.000000,38.599998,32.910000,38.389999,37.040100,34931200
2005-02-01,38.450001,43.700001,38.209999,42.169998,40.687191,28357800
2005-03-01,42.000000,44.820000,40.220001,42.720001,41.217846,37235800
2005-04-01,43.119999,45.240002,40.230000,40.660000,39.325195,30128100
2005-05-01,40.660000,41.099998,36.669998,40.130001,38.812603,40018600
2005-06-01,40.369999,43.509998,40.049999,42.080002,40.698586,26957100
2005-07-01,42.330002,44.770000,41.580002,43.330002,41.907555,21543000
2005-08-01,43.580002,49.880001,39.660000,49.400002,47.778286,56640400
2005-09-01,53.599998,56.349998,50.799999,54.919998,53.117062,52345200
2005-10-01,55.099998,55.980000,45.389999,50.049999,48.514656,39845800
2005-11-01,50.009998,53.950001,45.930000,50.930000,49.367661,30931000
2005-12-01,51.180000,54.900002,50.150002,51.270000,49.697224,28457700
2006-01-01,51.599998,54.330002,48.549999,53.099998,51.471092,25996400
2006-02-01,53.110001,54.459999,41.590000,42.090000,40.798840,40136900
2006-03-01,42.450001,44.700001,37.980000,44.250000,42.892578,48155000
2006-04-01,44.349998,45.270000,41.270000,42.820000,41.622601,35646500
2006-05-01,43.200001,43.730000,38.619999,40.810001,39.668804,49247200
2006-06-01,40.810001,46.750000,36.430000,46.410000,45.112206,56352500
2006-07-01,46.410000,46.700001,41.500000,45.349998,44.081856,23155700
2006-08-01,45.290001,46.310001,41.290001,41.709999,40.543633,24387700
2006-09-01,41.680000,42.959999,37.070000,39.119999,38.026058,29298900
2006-10-01,39.009998,43.000000,36.480000,40.730000,39.727497,25170600
2006-11-01,41.200001,44.459999,39.980000,43.549999,42.478077,22820000
2006-12-01,43.560001,44.439999,39.340000,39.689999,38.713093,17200900
2007-01-01,39.689999,41.209999,37.470001,41.000000,39.990845,24114200
2007-02-01,41.279999,41.610001,38.250000,38.490002,37.542633,19250100
2007-03-01,38.220001,43.619999,37.180000,43.110001,42.048908,27249600
