Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,114.125000,148.000000,91.000000,95.125000,95.125000,35201000
2000-02-01,97.937500,108.625000,60.500000,60.687500,60.687500,52461800
2000-03-01,60.312500,79.562500,39.000000,42.375000,42.375000,73407300
2000-04-01,43.250000,47.375000,22.000000,25.062500,25.062500,50734800
2000-05-01,29.312500,29.875000,15.000000,16.062500,16.062500,45461000
2000-06-01,16.687500,36.000000,16.375000,27.062500,27.062500,156895000
2000-07-01,26.500000,28.875000,18.000000,18.750000,18.750000,51012400
2000-08-01,19.875000,27.125000,18.000000,25.125000,25.125000,66941200
2000-09-01,26.015619,28.000000,16.562500,17.062500,17.062500,52535100
2000-10-01,17.218750,17.625000,10.625000,12.500000,12.500000,35310700
2000-11-01,12.312500,18.500000,5.968750,6.250000,6.250000,71928500
2000-12-01,6.687500,10.625000,5.000000,6.250000,6.250000,81663300
2001-01-01,6.250000,10.125000,5.750000,9.343750,9.343750,59807800
2001-02-01,9.375000,9.562500,6.000000,6.437500,6.437500,31399000
2001-03-01,6.343750,7.125000,5.062500,6.090000,6.090000,33671000
2001-04-01,5.870000,6.150000,4.050000,5.150000,5.150000,23863100
2001-05-01,5.250000,6.900000,5.100000,5.450000,5.450000,39255100
2001-06-01,5.470000,5.750000,3.940000,4.000000,4.000000,29211800
2001-07-01,4.210000,4.340000,3.250000,3.960000,3.960000,23121200
2001-08-01,4.000000,4.060000,3.350000,3.540000,3.540000,14830500
2001-09-01,3.480000,3.830000,2.400000,3.500000,3.500000,14133600
2001-10-01,3.400000,5.060000,3.400000,4.720000,4.720000,19749800
2001-11-01,4.780000,8.430000,4.400000,7.980000,7.980000,45081600
2001-12-01,7.910000,8.600000,6.540000,7.100000,7.100000,44467600
2002-01-01,7.140000,9.500000,6.810000,8.120000,8.120000,52361900
2002-02-01,8.140000,8.750000,5.750000,5.890000,5.890000,24210700
2002-03-01,5.770000,7.500000,5.060000,5.700000,5.700000,28198900
2002-04-01,5.670000,5.820000,4.400000,4.590000,4.590000,14997200
2002-05-01,4.600000,5.600000,4.120000,4.810000,4.810000,15715700
2002-06-01,4.740000,6.040000,4.520000,5.870000,5.870000,23460700
2002-07-01,5.690000,5.830000,4.500000,4.610000,4.610000,18342500
2002-08-01,4.600000,5.390000,4.250000,4.750000,4.750000,12794600
2002-09-01,4.750000,6.190000,4.500000,4.750000,4.750000,20213600
2002-10-01,4.800000,4.850000,3.460000,4.490000,4.490000,14253300
2002-11-01,4.490000,7.240000,4.280000,6.870000,6.870000,18501900
2002-12-01,6.980000,7.080000,5.160000,5.910000,5.910000,25036400
2003-01-01,5.980000,6.590000,5.020000,5.140000,5.140000,22853700
2003-02-01,5.170000,6.100000,4.950000,5.890000,5.890000,14056600
2003-03-01,5.950000,6.430000,5.300000,5.430000,5.430000,24172900
2003-04-01,5.310000,6.270000,5.260000,6.000000,6.000000,13213800
2003-05-01,6.010000,7.650000,5.860000,7.450000,7.450000,23953300
2003-06-01,7.480000,9.250000,7.100000,7.540000,7.540000,59781000
2003-07-01,7.500000,8.330000,5.950000,6.320000,6.320000,37455200
2003-08-01,6.400000,7.410000,6.250000,7.250000,7.250000,25740100
2003-09-01,7.330000,10.950000,7.250000,10.000000,10.000000,91552400
2003-10-01,10.290000,15.450000,9.660000,15.010000,15.010000,95035500
2003-11-01,15.200000,15.450000,11.450000,13.320000,13.320000,74733000
2003-12-01,13.290000,19.980000,11.860000,18.770000,18.770000,122887900
2004-01-01,19.080000,21.879999,18.280001,19.299999,19.299999,135027100
2004-02-01,17.580000,19.000000,16.620001,18.090000,18.090000,71186400
2004-03-01,18.180000,24.150000,17.299999,23.049999,23.049999,171352900
2004-04-01,22.950001,26.680000,22.379999,22.719999,22.719999,86555200
2004-05-01,22.660000,28.080000,22.610001,27.330000,27.330000,85362400
2004-06-01,26.930000,29.059999,19.840000,22.969999,22.969999,182054900
