Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,17.375000,20.328125,14.578125,15.812500,13.337790,36871600
2000-02-01,15.765625,17.468750,14.406250,14.625000,12.336140,33950800
2000-03-01,14.250000,17.625000,12.218750,17.437500,14.708474,43258400
2000-04-01,17.125000,18.750000,15.562500,17.984375,15.169762,22710000
2000-05-01,17.921875,19.781250,17.125000,18.906250,15.947364,21232800
2000-06-01,18.937500,22.500000,17.781250,21.875000,18.451485,22763000
2000-07-01,21.875000,25.000000,21.375000,21.468750,18.108816,21452600
2000-08-01,20.968750,23.625000,20.000000,22.406250,18.899595,13419600
2000-09-01,22.562500,23.250000,19.312500,21.468750,18.108816,15518000
2000-10-01,21.375000,24.250000,19.250000,23.562500,19.874893,21940000
2000-11-01,23.625000,27.000000,23.312500,26.656250,22.484459,19275200
2000-12-01,26.531250,28.875000,24.174999,25.295000,21.336252,71573000
2001-01-01,24.750000,25.105000,21.650000,22.600000,19.125544,26943400
2001-02-01,22.750000,28.424999,22.475000,28.075001,23.758835,27004200
2001-03-01,28.075001,28.500000,23.500000,26.125000,22.108618,29109400
2001-04-01,26.400000,29.975000,24.520000,29.645000,25.087465,28440000
2001-05-01,29.639999,29.700001,27.750000,28.725000,24.308905,22076800
2001-06-01,28.650000,29.400000,27.010000,27.424999,23.208763,16363200
2001-07-01,27.650000,31.600000,27.000000,29.990000,25.379421,21823800
2001-08-01,30.100000,30.225000,27.129999,27.415001,23.200293,21732800
2001-09-01,27.545000,28.100000,22.389999,26.450001,22.383656,17765000
2001-10-01,26.325001,29.594999,25.594999,28.120001,23.796911,23354800
2001-11-01,28.000000,28.655001,25.975000,27.455000,23.234148,20473600
2001-12-01,27.375000,29.700001,26.014999,29.184999,24.698185,17482200
2002-01-01,29.075001,29.924999,26.625000,29.370001,24.941046,24658400
2002-02-01,29.490000,31.500000,28.695000,30.750000,26.112944,30906600
2002-03-01,30.750000,31.120001,28.924999,30.165001,25.616163,26329200
2002-04-01,30.290001,30.325001,26.250000,26.754999,22.720387,25728200
2002-05-01,26.754999,28.325001,26.379999,27.280001,23.166218,22543200
2002-06-01,27.350000,27.600000,25.450001,26.754999,22.720387,29163800
2002-07-01,26.725000,26.725000,21.924999,25.309999,21.493286,42682400
2002-08-01,25.309999,28.549999,24.385000,28.184999,23.934736,22477800
2002-09-01,28.059999,30.250000,27.165001,28.799999,24.456991,32105400
2002-10-01,28.815001,32.599998,28.379999,31.549999,26.792301,40454000
2002-11-01,31.500000,33.735001,30.700001,30.924999,26.261547,33529400
2002-12-01,31.350000,33.674999,30.665001,33.560001,28.499203,23987200
2003-01-01,33.599998,34.500000,29.825001,30.120001,25.670353,34242400
2003-02-01,30.205000,33.049999,30.040001,32.599998,27.783981,31094200
2003-03-01,32.695000,35.250000,32.009998,34.325001,29.254133,32726200
2003-04-01,34.320000,34.820000,31.500000,33.505001,28.555286,44789400
2003-05-01,33.575001,34.000000,31.475000,33.669998,28.695910,39577800
2003-06-01,33.674999,36.720001,33.549999,34.685001,29.560976,31428400
2003-07-01,34.685001,39.625000,33.880001,38.259998,32.607822,40798000
2003-08-01,38.375000,38.395000,36.599998,37.900002,32.301006,23158800
2003-09-01,37.924999,38.549999,36.650002,37.654999,32.092201,30673400
2003-10-01,37.750000,41.020000,37.334999,40.555000,34.563789,32275600
2003-11-01,40.555000,41.415001,39.259998,40.500000,34.516911,18612000
2003-12-01,40.855000,42.680000,40.055000,42.505001,36.225712,18316000
2004-01-01,42.455002,45.660000,41.764999,44.369999,37.944149,22662400
2004-02-01,44.474998,45.855000,42.500000,44.365002,37.939884,18855000
2004-03-01,44.465000,47.200001,42.919998,44.264999,37.854370,27580600
2004-04-01,44.250000,51.099998,44.205002,49.465000,42.301281,32841800
2004-05-01,49.619999,52.029999,48.849998,50.849998,43.485691,27452400
2004-06-01,51.000000,55.939999,50.889999,55.000000,47.034668,26591000
2004-07-01,55.490002,57.660000,43.709999,47.680000,40.774792,56871500
2004-08-01,47.360001,48.439999,44.099998,45.299999,38.739487,27943500
2004-09-01,45.410000,48.880001,45.410000,48.080002,41.116871,24092400
2004-10-01,48.330002,48.810001,40.299999,43.090000,36.849533,47300600
2004-11-01,42.650002,44.970001,41.790001,43.990002,37.619186,29977100
2004-12-01,44.099998,48.400002,44.000000,48.250000,41.262234,34165500
2005-01-01,49.950001,51.150002,47.900002,49.139999,42.102856,51167200
2005-02-01,50.000000,52.639999,49.279999,49.660000,42.548393,32393600
2005-03-01,49.660000,50.189999,43.000000,44.610001,38.221573,47342900
2005-04-01,44.619999,50.950001,43.509998,48.549999,41.597343,39571800
2005-05-01,48.560001,49.880001,46.000000,48.650002,41.683025,25681300
2005-06-01,48.549999,50.500000,46.750000,47.560001,40.749115,29255600
2005-07-01,47.529999,54.680000,46.799999,54.090000,46.343994,29297800
2005-08-01,54.299999,54.689999,51.200001,54.549999,46.738098,32662100
2005-09-01,54.459999,56.320000,48.250000,49.430000,42.351326,55003600
2005-10-01,49.340000,49.740002,39.740002,41.070000,35.188522,60944400
2005-11-01,41.450001,45.400002,41.250000,43.299999,37.099171,37019900
2005-12-01,43.529999,48.320000,43.250000,44.430000,38.067356,37340100
2006-01-01,44.900002,50.900002,43.770000,49.900002,42.858025,41509600
2006-02-01,49.730000,50.000000,45.750000,46.220001,39.697342,24486900
2006-03-01,46.189999,49.939999,44.250000,44.340000,38.082657,34232500
2006-04-01,44.590000,47.750000,42.160000,43.750000,37.575920,35150100
2006-05-01,44.000000,45.189999,42.430000,43.900002,37.704750,35929300
2006-06-01,44.029999,45.720001,40.770000,42.110001,36.167362,32478800
2006-07-01,42.349998,46.189999,39.770000,45.509998,39.087536,30071400
2006-08-01,45.290001,48.590000,44.860001,48.029999,41.251934,25839000
2006-09-01,48.119999,51.000000,47.459999,49.590000,42.591766,22651400
2006-10-01,49.750000,54.349998,48.830002,52.290001,44.910744,32234500
2006-11-01,52.200001,53.000000,50.150002,51.860001,44.541424,23617900
2006-12-01,52.250000,55.919998,51.900002,55.110001,47.332771,23966600
2007-01-01,55.549999,62.369999,54.889999,61.939999,53.412018,40482800
2007-02-01,63.500000,64.269997,59.439999,62.020000,53.481003,32851800
2007-03-01,60.270000,67.139999,58.049999,66.320000,57.188969,35689900
2007-04-01,66.430000,70.260002,63.000000,64.940002,55.998981,34335700
2007-05-01,65.269997,68.279999,63.750000,67.309998,58.042652,26297700
2007-06-01,67.309998,67.849998,60.860001,63.090000,54.403675,26329400
2007-07-01,63.049999,68.900002,61.849998,62.430000,53.834553,33707800
2007-08-01,62.639999,70.110001,62.220001,66.800003,57.602882,32389800
2007-09-01,66.779999,70.489998,66.339996,68.760002,59.293030,30004300
2007-10-01,69.250000,74.669998,68.940002,71.000000,61.224651,29481100
2007-11-01,71.019997,73.230003,67.610001,72.629997,62.630203,26745700
2007-12-01,72.029999,76.889999,71.699997,74.720001,64.432434,19670900
2008-01-01,74.529999,74.940002,58.860001,66.970001,57.999733,54840000
2008-02-01,67.120003,70.559998,64.550003,65.110001,56.388882,28877400
2008-03-01,65.160004,66.660004,58.450001,65.050003,56.336910,42502800
2008-04-01,65.150002,67.510002,62.480000,64.830002,56.146385,37062400
2008-05-01,63.889999,66.050003,61.220001,64.550003,55.903885,36408800
2008-06-01,64.440002,65.580002,61.270000,62.880001,54.457577,25893000
2008-07-01,62.290001,69.000000,61.500000,64.190002,55.592102,42191500
2008-08-01,63.970001,68.580002,62.840000,67.190002,58.190285,31215400
2008-09-01,67.739998,68.989998,60.500000,62.299999,53.955261,46692600
2008-10-01,62.110001,63.259998,45.369999,53.459999,46.299335,67382800
2008-11-01,53.770000,56.220001,35.380001,38.919998,33.706894,64523800
2008-12-01,38.740002,42.160000,36.099998,39.950001,34.598927,55105700
2009-01-01,40.470001,44.470001,36.959999,42.240002,36.953392,66897100
2009-02-01,42.009998,43.529999,33.669998,33.669998,29.455982,61770400
2009-03-01,32.970001,34.980000,30.820000,34.040001,29.779671,82413400
2009-04-01,33.549999,39.590000,32.340000,38.709999,33.865192,61727100
2009-05-01,38.779999,41.610001,37.160000,38.439999,33.628979,45562700
2009-06-01,38.980000,41.730000,38.750000,39.740002,34.766281,54236200
2009-07-01,40.000000,40.259998,37.139999,38.880001,34.013912,52336400
2009-08-01,39.240002,42.000000,38.709999,41.459999,36.271008,45094500
2009-09-01,41.419998,48.099998,41.040001,45.430000,39.744144,66894700
2009-10-01,45.080002,49.500000,42.740002,46.000000,40.242802,58718300
2009-11-01,46.360001,51.320000,46.160000,50.400002,44.092110,26584700
2009-12-01,50.540001,52.660000,50.009998,50.369999,44.155682,38883400
2010-01-01,51.279999,57.389999,50.830002,51.919998,45.648373,54209700
2010-02-01,52.220001,53.450001,49.849998,53.099998,46.685837,32267200
2010-03-01,53.320000,58.490002,53.290001,57.220001,50.308178,36600600
2010-04-01,57.590000,59.720001,56.630001,57.439999,50.633274,34987900
2010-05-01,57.599998,58.779999,51.220001,53.029999,46.745853,53673900
2010-06-01,52.599998,54.349998,48.759998,50.060001,44.127808,55457400
2010-07-01,49.799999,53.290001,45.520000,46.570000,41.174652,53777200
2010-08-01,47.060001,48.259998,42.740002,43.189999,38.186245,50847700
2010-09-01,43.509998,50.880001,43.509998,50.049999,44.251488,65429500
2010-10-01,50.259998,53.000000,48.130001,49.490002,43.890320,60341900
2010-11-01,49.630001,52.759998,48.980000,50.090000,44.422421,41517000
2010-12-01,50.779999,55.000000,50.459999,53.700001,47.623959,37333000
