Date,Open,High,Low,Close,Adj Close,Volume
2006-03-01,23.950001,25.959999,23.450001,25.750000,12.601859,9596800
2006-04-01,25.799999,26.200001,23.900000,24.730000,12.102677,3838800
2006-05-01,24.730000,25.799999,24.110001,25.190001,12.327800,1830100
2006-06-01,25.090000,26.730000,21.420000,23.950001,11.720954,2797600
2006-07-01,24.200001,27.459999,22.740000,25.600000,12.528449,1204400
2006-08-01,25.450001,25.629999,22.250000,22.629999,11.074954,752300
2006-09-01,22.629999,25.200001,22.120001,24.420000,11.950968,1240800
2006-10-01,24.280001,25.090000,23.240000,24.020000,11.755210,1445200
2006-11-01,24.049999,25.530001,23.450001,24.420000,11.950968,1091500
2006-12-01,24.420000,27.889999,24.320000,26.510000,12.973797,970100
2007-01-01,26.600000,32.630001,25.150000,31.850000,15.587153,1539000
2007-02-01,31.860001,34.150002,31.030001,31.900000,15.611623,1254400
2007-03-01,31.650000,37.220001,30.500000,36.380001,17.804102,1653600
2007-04-01,36.400002,39.919998,36.360001,37.869999,18.533297,1259200
2007-05-01,37.869999,38.220001,34.259998,36.950001,18.083057,6282300
2007-06-01,37.150002,43.599998,37.049999,40.459999,19.800823,4395200
2007-07-01,40.599998,43.889999,39.869999,41.200001,20.162977,2511800
2007-08-01,41.310001,43.430000,34.410000,40.650002,19.893806,5916500
2007-09-01,40.630001,47.450001,38.680000,45.709999,22.370134,4189100
2007-10-01,46.049999,48.250000,41.150002,45.520000,22.277151,5009300
2007-11-01,45.910000,51.599998,42.209999,47.680000,23.334236,6071300
2007-12-01,47.000000,49.130001,43.320000,45.169998,22.105864,6669100
2008-01-01,45.150002,46.509998,37.330002,41.380001,20.251062,8383900
2008-02-01,41.380001,45.180000,38.020000,38.860001,19.017796,9289500
2008-03-01,38.740002,39.790001,34.730000,37.049999,18.131996,5752200
2008-04-01,37.200001,39.970001,33.740002,37.970001,18.582237,5619900
2008-05-01,37.970001,43.869999,37.169998,43.599998,21.337515,10641400
2008-06-01,43.000000,44.540001,33.560001,33.590000,16.438698,19797800
2008-07-01,33.389999,38.000000,31.150000,36.810001,18.014542,14498200
2008-08-01,36.849998,40.000000,34.799999,37.560001,18.381586,8780100
2008-09-01,37.720001,42.009998,32.259998,34.230000,16.751907,11210400
2008-10-01,33.980000,34.410000,25.590000,30.139999,14.750291,12160800
2008-11-01,30.049999,35.599998,23.000000,35.500000,17.373436,9485900
2008-12-01,34.580002,35.150002,28.990000,33.570000,16.428909,9875800
2009-01-01,33.619999,35.500000,30.760000,34.080002,16.678499,7418000
2009-02-01,33.900002,40.560001,33.750000,35.340000,17.295134,13803000
2009-03-01,34.860001,35.570000,29.700001,32.840000,16.071653,13466100
2009-04-01,32.369999,37.040001,31.490000,35.139999,17.197256,13762100
2009-05-01,35.220001,39.459999,34.980000,39.220001,19.193977,10062600
2009-06-01,39.509998,40.630001,33.669998,36.200001,17.716011,14292200
2009-07-01,36.400002,38.680000,36.020000,38.290001,18.738842,8187700
2009-08-01,38.349998,45.639999,38.110001,44.520000,21.787758,11424900
2009-09-01,44.459999,50.930000,41.959999,49.810001,24.376642,9183400
2009-10-01,49.930000,50.939999,38.919998,39.180000,19.174400,14302700
2009-11-01,39.430000,43.720001,39.020000,43.349998,25.077517,7871000
2009-12-01,43.639999,48.389999,43.580002,47.490002,27.472469,6713600
2010-01-01,48.160000,51.889999,48.000000,48.270000,27.923687,6529300
2010-02-01,48.500000,50.259998,46.540001,50.220001,29.051743,4893500
2010-03-01,50.810001,54.480000,50.660000,53.040001,30.683084,5702300
2010-04-01,53.250000,57.139999,52.250000,55.270000,31.973116,5659400
2010-05-01,55.389999,57.310001,48.740002,52.759998,30.521105,9912700
2010-06-01,49.180000,54.270000,48.680000,51.029999,29.520319,8951800
2010-07-01,51.029999,54.700001,49.220001,54.169998,31.336773,7138300
2010-08-01,55.000000,58.910000,54.549999,57.889999,33.488758,10991900
2010-09-01,58.740002,64.669998,58.299999,62.049999,35.895271,7464100
2010-10-01,62.009998,66.389999,60.889999,66.269997,38.336498,4611400
2010-11-01,66.709999,69.250000,64.959999,68.500000,39.626530,5089400
2010-12-01,68.669998,72.930000,67.129997,72.010002,41.657028,5524300
2011-01-01,72.459999,78.360001,72.459999,77.480003,44.821365,5677000
2011-02-01,77.879997,85.379997,77.360001,80.379997,46.498981,5454800
2011-03-01,81.000000,83.860001,77.250000,83.830002,48.494774,4595700
2011-04-01,83.989998,85.260002,76.820000,83.300003,48.188175,4098200
2011-05-01,83.879997,84.870003,79.320000,82.000000,47.436138,5273200
2011-06-01,81.889999,91.309998,79.199997,91.190002,52.752464,7457200
2011-07-01,91.199997,95.040001,88.709999,90.070000,52.104553,4197800
2011-08-01,90.809998,91.970001,73.760002,91.860001,53.140045,13266300
2011-09-01,92.449997,93.290001,79.650002,81.669998,47.245235,8737400
2011-10-01,80.860001,94.989998,74.300003,93.919998,54.331734,8501200
2011-11-01,90.500000,102.730003,89.339996,96.419998,55.777954,9569200
2011-12-01,96.070000,98.910004,92.000000,95.680000,55.349880,4752300
2012-01-01,98.889999,105.099998,91.970001,104.529999,60.469505,6957000
2012-02-01,105.260002,121.480003,105.250000,118.790001,68.718773,8984200
2012-03-01,119.000000,119.660004,110.599998,115.760002,66.965942,9100700
2012-04-01,116.040001,128.289993,111.559998,126.120003,72.959099,8572300
2012-05-01,126.500000,132.690002,118.430000,123.000000,71.154205,14264400
2012-06-01,121.339996,134.429993,120.290001,134.300003,77.691147,10378200
2012-07-01,134.929993,136.339996,117.769997,123.360001,71.362457,8141500
2012-08-01,124.070000,143.149994,118.959999,138.619995,80.190208,8685600
2012-09-01,139.020004,146.720001,136.399994,141.869995,82.070297,7836800
2012-10-01,141.899994,152.619995,126.290001,133.210007,77.060593,12431900
2012-11-01,132.669998,140.490005,116.610001,136.020004,86.201500,10972100
2012-12-01,136.419998,136.820007,124.790001,136.360001,86.416977,14429400
2013-01-01,138.800003,141.279999,133.000000,135.440002,85.833931,10249000
