Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,18.531250,21.437500,16.593750,19.437500,11.224462,17099800
2000-02-01,19.312500,20.062500,16.093750,16.468750,9.510116,16278800
2000-03-01,16.656250,19.937500,15.031250,19.750000,11.404919,24795600
2000-04-01,19.718750,20.843750,16.625000,19.062500,11.087989,20810600
2000-05-01,19.109350,20.000000,16.437500,19.093750,11.106163,22199600
2000-06-01,19.210899,24.000000,19.000000,21.250000,12.360384,26236400
2000-07-01,21.343750,23.750000,19.781250,20.437500,11.959677,22912000
2000-08-01,20.546850,22.656250,19.625000,22.625000,13.239767,15795600
2000-09-01,22.750000,24.968750,22.125000,23.468750,13.733509,25381800
2000-10-01,23.406250,24.062500,19.531250,23.406250,13.772026,26824600
2000-11-01,23.390600,24.218750,17.531250,18.250000,10.738137,28812200
2000-12-01,18.500000,22.031250,18.320299,21.132799,12.434347,24477600
2001-01-01,21.250000,21.968750,18.718750,19.500000,11.555553,25879800
2001-02-01,19.437500,19.656250,16.750000,17.843750,10.574073,21621800
2001-03-01,17.562500,19.281250,14.281250,15.656250,9.277773,28451800
2001-04-01,15.718750,18.780001,13.437500,17.379999,10.396727,26583000
2001-05-01,17.350000,18.590000,17.075001,18.344999,10.973989,18586600
2001-06-01,18.350000,18.965000,17.014999,18.695000,11.183355,15858000
2001-07-01,18.645000,19.285000,16.930000,18.980000,11.449933,20540800
2001-08-01,18.980000,20.240000,17.950001,18.695000,11.277998,20300600
2001-09-01,18.540001,19.045000,11.720000,14.650000,8.837802,31381000
2001-10-01,14.445000,15.650000,13.545000,13.880000,8.452408,30307600
2001-11-01,13.815000,16.360001,13.540000,15.850000,9.652062,22733000
2001-12-01,15.920000,17.615000,15.390000,17.365000,10.574641,26538800
2002-01-01,17.325001,18.865000,16.915001,18.790001,11.550684,25252800
2002-02-01,18.430000,20.125000,18.330000,19.905001,12.236100,24475800
2002-03-01,20.004999,21.344999,18.555000,19.465000,11.965623,25159600
2002-04-01,19.495001,19.575001,16.995001,17.535000,10.864348,28205400
2002-05-01,17.530001,19.150000,16.855000,18.055000,11.186535,22675600
2002-06-01,18.190001,18.195000,15.265000,16.440001,10.185910,28871000
2002-07-01,16.450001,16.809999,10.750000,13.515000,8.451397,35552600
2002-08-01,13.435000,14.690000,12.030000,14.145000,8.845357,24120600
2002-09-01,14.080000,14.500000,12.235000,12.480000,7.804176,29201200
2002-10-01,12.600000,14.470000,10.625000,14.115000,8.940578,49923800
2002-11-01,13.995000,15.500000,13.050000,15.190000,9.621492,27850000
2002-12-01,15.315000,15.835000,13.430000,13.640000,8.639709,24965000
2003-01-01,13.650000,15.305000,12.605000,13.370000,8.569895,32513600
2003-02-01,13.505000,13.785000,12.155000,12.860000,8.242998,31333400
2003-03-01,13.065000,14.730000,11.860000,13.560000,8.691684,45033200
2003-04-01,13.655000,15.495000,13.100000,15.260000,9.901839,47339200
2003-05-01,15.170000,18.360001,14.905000,18.355000,11.910113,35195200
2003-06-01,18.299999,19.695000,17.725000,18.885000,12.254019,41633400
2003-07-01,18.790001,20.590000,18.705000,20.260000,13.262435,32604400
2003-08-01,20.195000,21.910000,19.184999,21.290001,13.936685,38226200
2003-09-01,21.240000,22.405001,20.320000,20.639999,13.511189,44790200
2003-10-01,20.645000,21.879999,19.670000,20.465000,13.500961,44350000
2003-11-01,20.504999,22.235001,19.865000,21.020000,13.867104,32659000
2003-12-01,21.084999,23.795000,21.025000,23.705000,15.638415,27703000
2004-01-01,23.760000,27.030001,23.665001,26.080000,17.349237,33243400
2004-02-01,25.955000,26.674999,25.014999,26.295000,17.492266,28150800
2004-03-01,26.344999,28.465000,25.420000,26.915001,17.904705,34486200
2004-04-01,26.955000,27.455000,24.250000,25.639999,17.179424,31894400
2004-05-01,25.565001,25.950001,23.065001,24.080000,16.134193,31280200
2004-06-01,24.174999,25.334999,23.674999,25.200001,16.884623,22836800
