Date,Open,High,Low,Close,Adj Close,Volume
1/1/2000,49.75,58.75,45.25,53.875,39.653713,191715000
2/1/2000,53.8125,84.84375,52.9375,83.0625,61.183002,201823000
3/1/2000,83.71875,99.78125,71.90625,80,58.92717,254960200
4/1/2000,80,84.5,64.125,81.4375,59.986038,233164200
5/1/2000,81.875,82.71875,60.125,72.25,53.249046,187896000
6/1/2000,74.375,90,67.9375,68.6875,50.623447,166510200
7/1/2000,69,74.5,55.875,59.5,43.852173,213534700
8/1/2000,59.8125,71,53,66.75,49.211845,222566600
9/1/2000,68.4375,68.625,46.5,47.5,35.019665,229679200
10/1/2000,49.1875,51.5625,35,49.0625,36.171654,308037200
11/1/2000,47.75,48.875,36.6875,37.3125,27.522118,216262800
12/1/2000,37.9375,53.25,36.75,47.375,34.944324,215394200
1/1/2001,46.625,54.6875,40.02,43.799999,32.307381,278001400
2/1/2001,44,44.990002,28.25,29.549999,21.807608,245996000
3/1/2001,29,39.580002,28.6,30.98,22.86293,279047100
4/1/2001,31.6,39.98,26.26,38.700001,28.560223,266287000
5/1/2001,38.700001,42.91,32.700001,34.119999,25.195534,176434000
6/1/2001,34.669998,39.389999,28.25,31.9,23.556202,187848000
7/1/2001,32,35.950001,28.889999,34.5,25.476143,191570800
8/1/2001,36.389999,38.5,32,33.099998,24.457735,198364700
9/1/2001,33.099998,33.700001,20.1,24.98,18.457832,216508900
10/1/2001,25.25,32.5,22.75,27.99,20.681931,259196900
11/1/2001,28,34.5,27.99,32.049999,23.698458,182133900
12/1/2001,31.51,33.990002,25.5,28,20.7038,218841900
1/1/2002,28.65,31.5,25.280001,31.209999,23.077347,281335900
2/1/2002,31.209999,33.689999,28.1,29.35,21.718309,199166600
3/1/2002,29.73,35.939999,29.65,33.099998,24.493219,204641300
4/1/2002,33,34.860001,30.120001,30.93,22.887478,220904100
5/1/2002,31,32.740002,27,28.67,21.229473,191687000
6/1/2002,28.700001,28.700001,22.15,23.700001,17.549313,222626700
7/1/2002,24.4,27.25,21.110001,23.15,17.142042,275465800
8/1/2002,23,23.41,18.16,19.700001,14.601318,233706400
9/1/2002,19.200001,21.85,14.21,14.77,10.947286,237257300
10/1/2002,15,17.629999,13.1,15.86,11.755169,368359100
11/1/2002,15.86,20.620001,14.1,20.01,14.851236,291628100
12/1/2002,20.02,21.450001,14.8,15.01,11.140285,238583800
1/1/2003,15.3,17.49,13.9,15.9,11.800832,317661200
2/1/2003,15.9,16.85,14.35,16.75,12.448268,186965000
3/1/2003,16.9,18.75,15.35,16.370001,12.165856,225879500
4/1/2003,16.42,19.93,15.96,18.49,13.7414,246334600
5/1/2003,18.450001,21.02,18.15,20.5,15.252859,256958000
6/1/2003,20.74,21.98,17.35,17.6,13.095138,344803600
7/1/2003,17.6,19.98,17.209999,18.870001,14.040067,285586100
8/1/2003,18.65,24,17.860001,23.85,17.765142,242705900
9/1/2003,23.76,26.120001,22.57,22.799999,16.983025,261224800
10/1/2003,22.98,30.49,22.870001,28.92,21.541626,291300800
11/1/2003,29.200001,31.67,25.02,29.76,22.183418,206194300
12/1/2003,30.25,30.530001,27.280001,29.379999,21.900166,253091500
