Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,38.343750,38.750000,28.500000,29.843750,19.197983,35799200
2000-02-01,29.781250,31.281250,29.000000,30.500000,19.620131,23680600
2000-03-01,30.062500,31.437500,25.500000,30.437500,19.579931,31554600
2000-04-01,30.437500,32.875000,28.937500,30.968750,20.154316,21112200
2000-05-01,30.750000,33.125000,30.218750,31.375000,20.418699,17138000
2000-06-01,31.375000,31.781250,26.531250,27.156250,17.673155,21182000
2000-07-01,27.062500,30.875000,27.062500,28.531250,18.777763,11904800
2000-08-01,28.593750,30.250000,27.750000,28.039049,18.453823,15037800
2000-09-01,28.375000,29.812500,22.000000,23.093750,15.199084,25173600
2000-10-01,23.218750,25.718750,20.343750,25.218750,16.803236,27683400
2000-11-01,25.625000,27.687500,24.937500,25.312500,16.865711,24033200
2000-12-01,24.437500,24.812500,20.718750,23.250000,15.491466,38009000
2001-01-01,23.625000,26.187500,22.812500,25.500000,17.234171,45387200
2001-02-01,25.125000,27.415001,24.825001,26.490000,17.903257,26407600
2001-03-01,26.500000,29.990000,25.625000,28.420000,19.207645,30698800
2001-04-01,28.420000,29.750000,26.040001,26.510000,18.127874,24959400
2001-05-01,26.625000,29.625000,26.424999,28.805000,19.697205,19289800
2001-06-01,28.924999,30.235001,27.334999,27.520000,18.818514,20544000
2001-07-01,27.525000,28.250000,26.549999,28.160000,19.469595,24797600
2001-08-01,28.165001,28.620001,25.924999,26.195000,18.111012,17113400
2001-09-01,26.375000,27.094999,16.049999,16.805000,11.618841,38039600
2001-10-01,17.000000,19.135000,15.825000,15.825000,11.237499,40450600
2001-11-01,15.950000,20.500000,15.645000,19.825001,14.077939,32304600
2001-12-01,19.775000,21.600000,18.600000,20.730000,14.720582,34798400
2002-01-01,20.680000,23.250000,18.975000,22.915001,16.550524,39209000
2002-02-01,23.000000,24.799999,21.299999,23.764999,17.164444,30396200
2002-03-01,23.549999,25.745001,23.325001,25.549999,18.453669,26196200
2002-04-01,25.549999,26.799999,24.000000,24.590000,17.994267,25916200
2002-05-01,24.730000,24.945000,22.965000,23.459999,17.167381,27157000
2002-06-01,23.799999,23.830000,22.020000,23.450001,17.160053,20719600
2002-07-01,23.500000,23.740000,16.799999,19.700001,14.622034,33920400
2002-08-01,19.700001,20.395000,17.725000,19.424999,14.417914,23122200
2002-09-01,19.350000,19.350000,16.670000,17.049999,12.655111,31471200
2002-10-01,17.049999,20.760000,16.100000,20.500000,15.479630,39402400
2002-11-01,20.400000,22.500000,20.049999,21.549999,16.272482,25279400
2002-12-01,21.545000,21.684999,20.410000,21.495001,16.230955,19456000
2003-01-01,21.674999,22.850000,18.500000,19.280001,14.788642,29777800
2003-02-01,19.295000,19.660000,17.715000,18.065001,13.856681,22422400
2003-03-01,18.420000,18.500000,13.000000,13.730000,10.531538,65584200
2003-04-01,13.855000,15.425000,13.720000,14.745000,11.541271,42237000
2003-05-01,14.750000,17.475000,14.585000,17.424999,13.638979,32458000
2003-06-01,17.500000,19.799999,17.459999,19.510000,15.270956,38718600
2003-07-01,19.549999,22.049999,18.950001,21.709999,17.302954,52051200
2003-08-01,21.600000,22.775000,20.455000,22.500000,17.932577,23185600
2003-09-01,22.500000,22.969999,19.400000,19.725000,15.720904,32834400
2003-10-01,19.725000,25.000000,19.725000,24.844999,20.099226,46615000
2003-11-01,24.840000,25.500000,23.860001,24.920000,20.159897,23097000
2003-12-01,24.924999,28.995001,24.799999,28.530001,23.080324,28856600
2004-01-01,28.520000,29.815001,25.879999,26.639999,21.816809,30546600
2004-02-01,26.750000,28.730000,26.375000,27.670000,22.660336,23358800
2004-03-01,27.670000,28.295000,25.295000,26.575001,21.763582,34747600
2004-04-01,26.575001,29.389999,25.965000,27.590000,22.864494,34930400
2004-05-01,27.715000,28.235001,26.004999,27.325001,22.644876,22485600
2004-06-01,27.340000,30.105000,27.219999,29.674999,24.592384,26163200
2004-07-01,29.674999,31.000000,28.575001,30.650000,25.691830,25963800
2004-08-01,30.500000,33.055000,30.320000,31.745001,26.609694,27303600
2004-09-01,31.825001,32.349998,30.285000,32.134998,26.936602,21690400
2004-10-01,32.174999,34.724998,31.084999,34.075001,28.855106,23389200
2004-11-01,34.075001,36.880001,33.945000,36.310001,30.747726,21116200
2004-12-01,36.435001,37.459999,35.730000,36.900002,31.247349,21597600
2005-01-01,36.599998,36.775002,34.224998,35.990002,30.776384,25128000
2005-02-01,36.005001,39.419998,35.915001,38.674999,33.072426,20268000
