Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,9.937500,10.500000,9.437500,9.625000,3.439904,7381900
2000-02-01,9.625000,10.375000,9.562500,10.000000,3.668190,4181700
2000-03-01,10.000000,10.062500,9.500000,10.062500,3.691115,4429500
2000-04-01,10.062500,10.250000,9.750000,10.000000,3.668190,10452500
2000-05-01,10.062500,11.062500,9.937500,10.750000,4.049638,4771600
2000-06-01,10.687500,11.750000,10.687500,11.015600,4.149692,5442500
2000-07-01,11.125000,11.750000,11.062500,11.500000,4.332171,4069400
2000-08-01,11.437500,11.687500,10.812500,10.812500,4.169116,5249300
2000-09-01,10.750000,11.062500,10.687500,10.875000,4.193214,4574900
2000-10-01,10.937500,10.937500,9.937500,10.500000,4.048621,4777400
2000-11-01,10.375000,10.375000,9.375000,9.437500,3.735845,10750600
2000-12-01,9.437500,11.125000,9.375000,10.812500,4.280140,6667500
2001-01-01,10.812500,11.800000,10.562500,11.020000,4.362279,6357000
2001-02-01,11.300000,12.090000,11.150000,12.060000,4.892951,6181500
2001-03-01,12.000000,12.700000,11.890000,12.700000,5.152609,6015600
2001-04-01,12.450000,12.990000,11.900000,12.770000,5.181011,7181600
2001-05-01,12.720000,13.540000,12.660000,13.160000,5.458087,5774300
2001-06-01,13.260000,14.380000,13.200000,14.350000,5.951639,5672900
2001-07-01,14.250000,14.310000,13.700000,14.000000,5.806476,9351300
2001-08-01,14.020000,14.540000,13.860000,14.500000,6.131942,5668100
2001-09-01,14.450000,14.600000,13.740000,14.280000,6.038904,6078500
2001-10-01,14.300000,14.770000,13.860000,14.290000,6.043132,12780000
2001-11-01,14.250000,14.530000,13.930000,14.390000,6.202532,5365400
2001-12-01,14.400000,14.850000,14.250000,14.400000,6.206843,5711000
2002-01-01,14.480000,14.600000,14.000000,14.340000,6.180981,12787200
2002-02-01,14.240000,14.320000,13.940000,14.100000,6.193176,6800400
2002-03-01,14.150000,16.010000,14.110000,15.840000,6.957438,6999400
2002-04-01,15.650000,16.809999,15.230000,16.700001,7.335176,11094200
2002-05-01,16.700001,16.770000,15.230000,15.850000,7.081955,8811300
2002-06-01,15.800000,16.049999,15.500000,15.750000,7.037271,8106000
2002-07-01,15.750000,16.360001,13.180000,16.200001,7.238342,15140500
2002-08-01,16.049999,16.650000,15.000000,16.610001,7.556380,5908300
2002-09-01,16.620001,16.620001,15.450000,15.910000,7.237930,5339700
2002-10-01,15.950000,16.020000,13.660000,14.430000,6.564633,11360900
2002-11-01,14.410000,15.900000,14.400000,15.520000,7.197402,5936100
2002-12-01,15.580000,16.420000,15.270000,16.360001,7.586952,8148300
2003-01-01,16.370001,16.490000,15.300000,15.990000,7.415363,18190900
2003-02-01,15.980000,16.020000,15.130000,15.570000,7.346271,6054200
2003-03-01,15.580000,16.760000,15.210000,15.980000,7.539717,6296300
2003-04-01,15.980000,17.150000,15.980000,16.690001,7.874714,8309500
2003-05-01,16.700001,17.719999,16.400000,17.100000,8.209538,8880700
2003-06-01,17.020000,17.490000,16.680000,17.219999,8.267143,8396300
2003-07-01,17.290001,18.480000,17.070000,18.030001,8.656016,7606400
2003-08-01,17.850000,18.350000,17.510000,18.320000,8.936338,8257500
2003-09-01,18.629999,18.959999,17.750000,18.309999,8.931465,8898800
2003-10-01,18.299999,18.700001,17.389999,17.450001,8.511963,9378000
2003-11-01,17.500000,18.500000,17.500000,18.450001,9.139117,6623400
2003-12-01,18.480000,19.530001,18.459999,19.200001,9.510621,7680300
2004-01-01,19.230000,19.410000,17.850000,18.500000,9.163884,9364800
2004-02-01,18.730000,19.170000,18.350000,18.870001,9.493248,7971700
2004-03-01,18.870001,19.700001,18.860001,19.620001,9.870568,11303100
2004-04-01,19.650000,19.980000,17.100000,17.950001,9.030411,18621800
2004-05-01,18.049999,19.990000,17.940001,19.940001,10.196700,12357900
2004-06-01,19.790001,19.980000,19.020000,19.780001,10.114878,12540000
2004-07-01,19.780001,20.150000,18.830000,19.389999,9.915447,10297900
2004-08-01,19.480000,21.379999,19.309999,21.230000,11.019984,9941000
2004-09-01,21.150000,21.370001,19.230000,19.830000,10.293282,14208800
2004-10-01,19.889999,21.299999,19.510000,21.080000,10.942123,12788900
2004-11-01,21.240000,23.270000,21.020000,22.990000,12.110052,10932900
2004-12-01,22.990000,24.799999,22.780001,24.799999,13.063474,9123400
2005-01-01,24.680000,24.750000,21.559999,22.219999,11.704453,11580300
2005-02-01,22.250000,22.980000,21.629999,22.100000,11.793681,13020900
2005-03-01,22.100000,23.059999,20.549999,20.870001,11.137285,11599300
2005-04-01,21.370001,22.389999,20.570000,22.150000,11.820359,12273300
2005-05-01,22.209999,23.959999,22.040001,23.049999,12.475452,12418900
2005-06-01,23.150000,24.150000,22.940001,24.049999,13.016689,13483500
2005-07-01,24.020000,25.620001,23.900000,25.450001,13.774415,12658800
2005-08-01,25.600000,25.969999,22.820000,23.680000,12.972857,13005300
2005-09-01,23.730000,24.350000,22.700001,23.700001,12.983818,10823200
2005-10-01,23.719999,23.969999,20.879999,22.129999,12.123702,21044300
2005-11-01,22.030001,22.990000,21.280001,22.389999,12.438908,14016900
2005-12-01,22.500000,23.670000,22.500000,23.440001,13.022237,19187300
2006-01-01,23.570000,25.750000,23.410000,25.410000,14.116681,19348000
2006-02-01,25.309999,27.190001,24.559999,26.750000,15.041567,15061200
2006-03-01,26.750000,29.049999,26.540001,28.540001,16.048073,14393400
2006-04-01,28.559999,28.820000,26.820000,27.190001,15.288972,15957400
2006-05-01,27.299999,28.000000,25.500000,27.010000,15.362009,23174800
2006-06-01,27.000000,28.180000,26.469999,28.010000,15.930763,15335500
2006-07-01,28.010000,28.650000,26.969999,27.850000,15.839759,9500200
2006-08-01,28.000000,30.809999,27.330000,30.510000,17.544546,19058000
2006-09-01,30.510000,30.809999,29.610001,30.200001,17.366282,11270300
2006-10-01,30.209999,32.549999,29.950001,32.369999,18.614119,17930600
2006-11-01,32.380001,33.599998,30.400000,33.580002,19.504414,24690600
