Date,Open,High,Low,Close,Adj Close,Volume
2015-06-01,57.167313,57.167313,54.356247,54.869808,48.288864,2023200
2015-07-01,54.725651,64.989998,51.797459,56.815929,50.001568,42415300
2015-08-01,57.095234,58.329578,48.184521,53.473286,47.059830,36097900
2015-09-01,52.707451,56.752861,43.967926,46.346519,41.061012,35789600
2015-10-01,49.752232,52.121811,45.040092,48.436794,42.912899,39393600
2015-11-01,48.256599,49.409855,41.706459,45.616722,40.414440,33257800
2015-12-01,45.751869,46.941166,38.516983,41.102802,36.734306,47524900
2016-01-01,40.373005,41.179386,28.407965,31.786648,28.408285,61278800
2016-02-01,31.345167,31.768627,26.786198,30.426165,27.192400,54614100
2016-03-01,30.795567,36.622219,30.615372,35.165329,31.833178,56648700
2016-04-01,34.940086,40.080189,32.002884,37.706100,34.133190,42235500
2016-05-01,37.661049,41.099998,34.543652,39.610001,35.856682,43903600
2016-06-01,39.610001,41.529999,35.770000,38.869999,35.557434,32793400
2016-07-01,38.849998,44.139999,36.330002,42.910000,39.253143,31334100
2016-08-01,42.880001,48.880001,40.630001,47.900002,43.817890,47646200
2016-09-01,48.009998,49.180000,45.639999,48.480000,44.731174,38517800
2016-10-01,48.470001,49.070000,44.310001,46.189999,42.618244,32623300
2016-11-01,46.189999,51.500000,43.790001,51.200001,47.240833,36388600
2016-12-01,51.610001,53.560001,50.250000,50.770000,47.221561,32324000
2017-01-01,51.349998,56.119999,50.779999,53.360001,49.630547,28045900
2017-02-01,53.470001,55.669998,52.070000,53.720001,49.965374,34095700
2017-03-01,54.230000,55.060001,50.529999,52.029999,48.755314,35715000
2017-04-01,51.930000,56.320000,49.230000,53.560001,50.189022,30866500
2017-05-01,53.700001,55.400002,51.220001,54.419998,50.994884,29663400
2017-06-01,54.400002,58.619999,53.970001,56.660000,53.488731,29679400
2017-07-01,57.099998,60.360001,56.369999,57.419998,54.206196,22386000
2017-08-01,57.549999,59.730000,54.049999,56.910000,53.724743,28855500
2017-09-01,57.209999,59.020000,54.669998,56.730000,53.936260,30609900
2017-10-01,56.959999,61.500000,56.759998,61.330002,58.309731,33172300
2017-11-01,61.330002,62.610001,58.139999,62.410000,59.336540,29740300
2017-12-01,62.270000,64.870003,60.540001,63.209999,60.535809,31978000
