Date,Open,High,Low,Close,Adj Close,Volume
2002-10-01,13.000000,13.150000,12.040000,12.610000,7.726647,22912200
2002-11-01,12.590000,13.240000,10.760000,12.820000,7.855325,8332400
2002-12-01,12.940000,14.390000,12.310000,13.110000,8.033021,3004700
2003-01-01,13.010000,14.800000,12.760000,13.750000,8.425173,2315700
2003-02-01,13.780000,14.650000,13.350000,14.220000,8.713160,1776800
2003-03-01,14.100000,15.500000,13.820000,15.400000,9.436192,2520500
2003-04-01,15.250000,17.430000,14.680000,17.000000,10.416574,3398600
2003-05-01,17.000000,19.110001,16.379999,18.830000,11.537890,4501200
2003-06-01,18.900000,19.000000,17.049999,17.740000,10.870004,5321000
2003-07-01,16.400000,18.000000,15.900000,17.049999,10.447214,14917800
2003-08-01,17.090000,17.270000,14.990000,16.650000,10.202118,7182500
2003-09-01,16.700001,18.500000,16.240000,18.180000,11.139609,7785800
2003-10-01,18.190001,22.900000,18.190001,20.160000,12.352834,7253700
2003-11-01,20.250000,24.990000,19.260000,24.889999,15.251089,9703500
2003-12-01,24.990000,28.610001,24.459999,28.010000,17.162838,8010100
2004-01-01,28.020000,30.150000,27.500000,29.530001,18.094206,6547100
2004-02-01,29.480000,36.869999,29.350000,36.340000,22.266960,12145200
2004-03-01,35.950001,40.259998,33.660000,35.000000,21.445894,12818500
2004-04-01,35.180000,40.900002,34.599998,39.930000,24.466696,10552700
2004-05-01,40.560001,42.160000,35.820000,38.660000,23.688519,17368100
2004-06-01,38.750000,43.770000,36.919998,38.630001,23.670134,14834700
2004-07-01,38.799999,38.799999,34.389999,35.779999,21.923826,7619400
2004-08-01,35.459999,39.220001,34.180000,38.599998,23.651751,7171500
2004-09-01,38.520000,52.970001,38.250000,51.689999,31.672516,15235200
2004-10-01,52.040001,58.750000,50.509998,58.150002,35.630814,18741000
2004-11-01,58.009998,64.300003,56.500000,58.090000,35.594048,28647500
2004-12-01,58.090000,72.989998,57.669998,66.919998,41.004543,40665400
2005-01-01,66.849998,69.480003,60.400002,65.559998,40.171207,25215000
2005-02-01,65.970001,75.050003,65.489998,71.570000,43.853786,20743000
2005-03-01,71.989998,76.449997,67.419998,67.739998,41.506981,26428400
2005-04-01,67.790001,68.000000,51.700001,52.939999,32.438438,50707300
2005-05-01,53.230000,53.299999,42.320000,46.849998,28.706852,67819800
2005-06-01,47.040001,56.900002,46.500000,47.270000,28.964211,57993500
2005-07-01,47.419998,58.200001,47.160000,56.299999,34.497246,27751100
2005-08-01,56.320000,58.049999,45.980000,47.720001,29.239943,33688000
2005-09-01,47.500000,51.450001,43.270000,45.150002,27.665195,28218700
2005-10-01,45.220001,49.849998,42.060001,46.630001,28.572054,33251200
2005-11-01,46.639999,61.500000,46.310001,55.830002,34.209270,28743000
2005-12-01,56.270000,58.169998,53.900002,54.849998,33.608772,14755400
2006-01-01,54.849998,65.339996,52.439999,64.580002,39.570728,21926900
2006-02-01,64.120003,68.419998,59.139999,66.449997,40.716557,18541400
2006-03-01,66.430000,78.750000,64.050003,76.849998,47.089043,32350600
2006-04-01,77.019997,80.190002,74.080002,76.110001,46.635609,16292700
2006-05-01,76.550003,79.870003,69.040001,71.199997,43.627071,30315000
2006-06-01,71.370003,75.449997,64.870003,73.300003,44.913822,20906500
2006-07-01,73.879997,74.220001,60.820000,64.010002,39.221474,23729700
2006-08-01,63.500000,77.919998,61.200001,77.410004,47.432198,34000400
2006-09-01,77.419998,78.860001,65.410004,68.010002,41.672440,44689700
2006-10-01,69.300003,74.750000,66.519997,73.540001,45.060863,28992500
2006-11-01,73.930000,96.500000,71.699997,87.849998,53.829174,55285000
2006-12-01,88.180000,98.449997,86.220001,93.849998,61.420673,38652100
2007-01-01,94.389999,112.400002,94.050003,111.739998,73.128883,35229500
2007-02-01,112.540001,114.599998,95.650002,98.019997,64.149757,31743400
2007-03-01,95.779999,101.000000,89.059998,94.860001,62.081673,36085200
2007-04-01,95.000000,106.400002,95.000000,102.209999,66.891953,19193100
2007-05-01,102.110001,107.980003,93.220001,96.500000,63.154995,41729200
2007-06-01,97.000000,99.779999,85.529999,89.650002,58.671963,36956900
2007-07-01,90.250000,103.070000,88.410004,96.559998,63.194244,37551300
2007-08-01,96.529999,125.860001,94.050003,123.730003,80.975838,56786900
2007-09-01,123.709999,168.800003,120.250000,157.559998,103.116058,48820700
2007-10-01,159.449997,176.139999,144.000000,161.429993,105.648781,60964100
